排行,權證標的代號,權證標的名稱,發行檔數
1,00738U,元大道瓊白銀,74
2,3037,欣興,72
3,00708L,元大S&P黃金正2,55
4,00635U,元大S&P黃金,38
5,8271,宇瞻,38
6,2383,台光電,34
7,4958,臻鼎-KY,31
8,2303,聯電,30
9,2454,聯發科,30
10,3017,奇鋐,26
11,6451,訊芯-KY,26
12,3661,世芯-KY,25
13,2049,上銀,23
14,2368,金像電,22
15,3715,定穎投控,22
16,2330,台積電,20
17,1795,美時,19
18,2317,鴻海,19
19,3533,嘉澤,19
20,2374,佳能,17
21,1326,台化,16
22,6213,聯茂,16
23,2409,友達,15
24,2464,盟立,15
25,6669,緯穎,15
26,1303,南亞,14
27,1513,中興電,14
28,3019,亞光,14
29,3044,健鼎,14
30,3231,緯創,14
31,IX0001,臺股指數,14
32,00631L,元大台灣50正2,13
33,1590,亞德客-KY,13
34,1717,長興,13
35,2353,宏碁,13
36,6271,同欣電,13
37,6282,康舒,13
38,8112,至上,13
39,8210,勤誠,13
40,2355,敬鵬,12
41,3034,聯詠,12
42,0050,元大台灣50,11
43,1301,台塑,11
44,00763U,街口道瓊銅,10
45,1503,士電,10
46,2313,華通,10
47,2327,國巨*,10
48,1514,亞力,9
49,3711,日月光投控,9
50,5234,達興材料,9
51,1560,中砂,8
52,1605,華新,8
53,2329,華泰,8
54,3167,大量,8
55,6409,旭隼,8
56,6753,龍德造船,8
57,2027,大成鋼,7
58,2324,仁寶,7
59,3028,增你強,7
60,4968,立積,7
61,5388,中磊,7
62,6139,亞翔,7
63,6239,力成,7
64,6415,矽力*-KY,7
65,1609,大亞,6
66,2002,中鋼,6
67,2233,宇隆,6
68,2345,智邦,6
69,2371,大同,6
70,2441,超豐,6
71,5243,乙盛-KY,6
72,6472,保瑞,6
73,6805,富世達,6
74,6830,汎銓,6
75,00715L,街口布蘭特油正2,5
76,2009,第一銅,5
77,2605,新興,5
78,3305,昇貿,5
79,3450,聯鈞,5
80,3532,台勝科,5
81,3665,貿聯-KY,5
82,4763,材料*-KY,5
83,00670L,富邦NASDAQ正2,4
84,1711,永光,4
85,2301,光寶科,4
86,2467,志聖,4
87,2481,強茂,4
88,2634,漢翔,4
89,2731,雄獅,4
90,3023,信邦,4
91,6781,AES-KY,4
92,8103,瀚荃,4
93,8422,可寧衛*,4
94,00674R,元大S&P黃金反1,3
95,00693U,街口S&P黃豆,3
96,00830,國泰費城半導體,3
97,2059,川湖,3
98,2328,廣宇,3
99,2357,華碩,3
100,2402,毅嘉,3
101,2404,漢唐,3
102,2449,京元電子,3
103,2457,飛宏,3
104,2618,長榮航,3
105,3016,嘉晶,3
106,3036,文曄,3
107,3055,蔚華科,3
108,3376,新日興,3
109,4576,大銀微系統,3
110,4585,達明,3
111,5269,祥碩,3
112,6197,佳必琪,3
113,6505,台塑化,3
114,00650L,復華香港正2,2
115,1504,東元,2
116,2356,英業達,2
117,2359,所羅門,2
118,2377,微星,2
119,2436,偉詮電,2
120,2495,普安,2
121,2603,長榮,2
122,2610,華航,2
123,2891,中信金,2
124,3008,大立光,2
125,3706,神達,2
126,3708,上緯投控,2
127,4739,康普,2
128,4916,事欣科,2
129,4977,眾達-KY,2
130,5469,瀚宇博,2
131,6209,今國光,2
132,6269,台郡,2
133,6706,惠特,2
134,6944,兆聯實業,2
135,8028,昇陽半導體,2
136,8039,台虹,2
137,8081,致新,2
138,8131,福懋科,2
139,00632R,元大台灣50反1,1
140,00637L,元大滬深300正2,1
141,00638R,元大滬深300反1,1
142,00640L,富邦日本正2,1
143,00642U,元大S&P石油,1
144,00655L,國泰中國A50正2,1
145,00664R,國泰臺灣加權反1,1
146,00891,中信關鍵半導體,1
147,00929,復華台灣科技優息,1
148,1101,台泥,1
149,1319,東陽,1
150,1608,華榮,1
151,1708,東鹼,1
152,2351,順德,1
153,2360,致茂,1
154,2363,矽統,1
155,2375,凱美,1
156,2419,仲琦,1
157,2472,立隆電,1
158,2543,皇昌,1
159,2606,裕民,1
160,2615,萬海,1
161,2881,富邦金,1
162,2885,元大金,1
163,2887,台新新光金,1
164,2890,永豐金,1
165,3010,華立,1
166,3030,德律,1
167,3090,日電貿,1
168,3413,京鼎,1
169,3416,融程電,1
170,3563,牧德,1
171,3605,宏致,1
172,3645,達邁,1
173,3673,TPK-KY,1
174,4571,鈞興-KY,1
175,4746,台耀,1
176,4906,正文,1
177,4919,新唐,1
178,6120,達運,1
179,6191,精成科,1
180,6196,帆宣,1
181,6257,矽格,1
182,6414,樺漢,1
183,6456,GIS-KY,1
184,6862,三集瑞-KY,1
185,6869,雲豹能源,1
186,6937,天虹,1
187,9904,寶成,1
188,9914,美利達,1
189,9939,宏全,1
190,9945,潤泰新,1
191,9958,世紀鋼,1
192,IX0027,電子類,1
,,合計,"1,430"
