排行,權證標的代號,權證標的名稱,發行檔數
1,3661,世芯-KY,123
2,2308,台達電,100
3,3443,創意,95
4,6669,緯穎,94
5,2330,台積電,91
6,2492,華新科,86
7,2303,聯電,84
8,IX0001,臺股指數,80
9,2409,友達,79
10,2383,台光電,73
11,2408,南亞科,64
12,2368,金像電,60
13,3017,奇鋐,59
14,8046,南電,59
15,2327,國巨*,53
16,3042,晶技,52
17,0050,元大台灣50,51
18,2449,京元電子,51
19,2344,華邦電,49
20,1303,南亞,48
21,2301,光寶科,48
22,2345,智邦,46
23,4958,臻鼎-KY,46
24,6515,穎崴,46
25,3653,健策,44
26,2360,致茂,43
27,3231,緯創,43
28,6442,光聖,42
29,8028,昇陽半導體,41
30,3711,日月光投控,40
31,2317,鴻海,39
32,2615,萬海,39
33,6239,力成,39
34,6531,愛普*,39
35,00631L,元大台灣50正2,38
36,3665,貿聯-KY,38
37,6770,力積電,38
38,2404,漢唐,37
39,2481,強茂,36
40,7769,鴻勁,35
41,1560,中砂,34
42,2313,華通,33
43,3006,晶豪科,32
44,3481,群創,32
45,1519,華城,31
46,2059,川湖,31
47,5269,祥碩,31
48,6706,惠特,31
49,3016,嘉晶,29
50,4576,大銀微系統,29
51,3036,文曄,28
52,3533,嘉澤,28
53,3376,新日興,27
54,1301,台塑,26
55,2421,建準,25
56,2489,瑞軒,25
57,3583,辛耘,25
58,2357,華碩,24
59,3034,聯詠,24
60,3715,定穎投控,24
61,6139,亞翔,24
62,2324,仁寶,23
63,2363,矽統,23
64,7750,新代,23
65,1326,台化,22
66,2351,順德,22
67,2354,鴻準,22
68,6861,睿生光電,22
69,2395,研華,21
70,00632R,元大台灣50反1,20
71,2049,上銀,20
72,2353,宏碁,20
73,2609,陽明,20
74,3035,智原,20
75,6196,帆宣,20
76,7788,松川精密,20
77,6197,佳必琪,19
78,2376,技嘉,18
79,3605,宏致,18
80,6257,矽格,18
81,6831,邁科,18
82,00981A,主動統一台股增長,17
83,2337,旺宏,17
84,2603,長榮,17
85,3044,健鼎,17
86,6209,今國光,17
87,6505,台塑化,17
88,6789,采鈺,17
89,1717,長興,16
90,2476,鉅祥,16
91,4977,眾達-KY,16
92,6472,保瑞,16
93,6672,騰輝電子-KY,16
94,2338,光罩,15
95,2884,玉山金,15
96,3706,神達,15
97,6415,矽力*-KY,15
98,6526,達發,15
99,00715L,街口布蘭特油正2,14
100,2305,全友,14
