排行,權證標的代號,權證標的名稱,發行檔數
1,2308,台達電,62
2,1303,南亞,56
3,3037,欣興,43
4,2059,川湖,41
5,3661,世芯-KY,41
6,2330,台積電,37
7,2454,聯發科,31
8,2317,鴻海,29
9,IX0001,臺股指數,29
10,6805,富世達,28
11,6669,緯穎,27
12,6770,力積電,25
13,2345,智邦,23
14,3017,奇鋐,23
15,2368,金像電,22
16,2383,台光電,20
17,2612,中航,20
18,0050,元大台灣50,19
19,2449,京元電子,19
20,2605,新興,19
21,3231,緯創,19
22,2327,國巨*,18
23,3665,貿聯-KY,18
24,1560,中砂,17
25,2637,慧洋-KY,17
26,6213,聯茂,17
27,6781,AES-KY,17
28,2337,旺宏,16
29,2606,裕民,16
30,3189,景碩,16
31,3711,日月光投控,16
32,6139,亞翔,14
33,1301,台塑,13
34,2404,漢唐,13
35,6531,愛普*,13
36,8150,南茂,13
37,8210,勤誠,13
38,00631L,元大台灣50正2,12
39,1605,華新,12
40,6706,惠特,12
41,2486,一詮,11
42,8046,南電,11
43,8499,鼎炫-KY,11
44,00632R,元大台灣50反1,10
45,2359,所羅門,10
46,8112,至上,10
47,2603,長榮,9
48,8039,台虹,9
49,2009,第一銅,8
50,2313,華通,8
51,2493,揚博,8
52,3715,定穎投控,8
53,6215,和椿,8
54,6890,來億-KY,8
55,6415,矽力*-KY,7
56,6451,訊芯-KY,7
57,2356,英業達,6
58,2367,燿華,6
59,3030,德律,6
60,5469,瀚宇博,6
61,6691,洋基工程,6
62,00664R,國泰臺灣加權反1,5
63,1504,東元,5
64,2301,光寶科,5
65,2303,聯電,5
66,2324,仁寶,5
67,2360,致茂,5
68,2455,全新,5
69,2630,亞航,5
70,2882,國泰金,5
71,3090,日電貿,5
72,3376,新日興,5
73,3706,神達,5
74,5269,祥碩,5
75,6409,旭隼,5
76,8028,昇陽半導體,5
77,1101,台泥,4
78,1326,台化,4
79,2371,大同,4
80,2374,佳能,4
81,2388,威盛,4
82,2421,建準,4
83,2481,強茂,4
84,2618,長榮航,4
85,3013,晟銘電,4
86,4583,台灣精銳,4
87,4739,康普,4
88,5284,jpp-KY,4
89,6789,采鈺,4
90,6944,兆聯實業,4
91,00637L,元大滬深300正2,3
92,00642U,元大S&P石油,3
93,00665L,富邦恒生國企正2,3
94,1312,國喬,3
95,1536,和大,3
96,1608,華榮,3
97,2027,大成鋼,3
98,2474,可成,3
99,2610,華航,3
100,2615,萬海,3
101,2887,台新新光金,3
102,2889,國票金,3
103,3010,華立,3
104,3413,京鼎,3
105,3533,嘉澤,3
106,3694,海華,3
107,4770,上品,3
108,8374,羅昇,3
109,IX0027,電子類,3
110,00663L,國泰臺灣加權正2,2
111,00706L,元大S&P日圓正2,2
112,1717,長興,2
113,2049,上銀,2
114,2316,楠梓電,2
115,2357,華碩,2
116,2409,友達,2
117,2419,仲琦,2
118,2467,志聖,2
119,2472,立隆電,2
120,2498,宏達電,2
121,2609,陽明,2
122,2753,八方雲集,2
123,2884,玉山金,2
124,2885,元大金,2
125,2891,中信金,2
126,3006,晶豪科,2
127,3034,聯詠,2
128,3044,健鼎,2
129,3406,玉晶光,2
130,3532,台勝科,2
131,4763,材料*-KY,2
132,4968,立積,2
133,4977,眾達-KY,2
134,6166,凌華,2
135,6191,精成科,2
136,6257,矽格,2
137,6269,台郡,2
138,6472,保瑞,2
139,6962,奕力-KY,2
140,9904,寶成,2
141,0052,富邦科技,1
142,00635U,元大S&P黃金,1
143,00655L,國泰中國A50正2,1
144,00669R,國泰美國道瓊反1,1
145,00712,復華富時不動產,1
146,00752,中信中國50,1
147,1216,統一,1
148,1409,新纖,1
149,1597,直得,1
150,1708,東鹼,1
151,2002,中鋼,1
152,2228,劍麟,1
153,2233,宇隆,1
154,2312,金寶,1
155,2363,矽統,1
156,2365,昆盈,1
157,2369,菱生,1
158,2392,正崴,1
159,2401,凌陽,1
160,2402,毅嘉,1
161,2428,興勤,1
162,2464,盟立,1
163,2548,華固,1
164,2634,漢翔,1
165,2834,臺企銀,1
166,2845,遠東銀,1
167,2880,華南金,1
168,2890,永豐金,1
169,2892,第一金,1
170,3019,亞光,1
171,3032,偉訓,1
172,3035,智原,1
173,3380,明泰,1
174,3515,華擎,1
175,3563,牧德,1
176,3673,TPK-KY,1
177,4576,大銀微系統,1
178,4958,臻鼎-KY,1
179,6196,帆宣,1
180,6239,力成,1
181,6271,同欣電,1
182,6285,啟碁,1
183,6753,龍德造船,1
184,6757,台灣虎航,1
185,6923,中台,1
186,8045,達運光電,1
187,8114,振樺電,1
,,合計,"1,386"
