排行,權證標的代號,權證標的名稱,發行檔數
1,IX0001,臺股指數,176
2,2330,台積電,158
3,3017,奇鋐,121
4,2313,華通,96
5,0050,元大台灣50,85
6,6669,緯穎,82
7,00715L,街口布蘭特油正2,78
8,2451,創見,77
9,3665,貿聯-KY,73
10,2317,鴻海,70
11,2345,智邦,67
12,3715,定穎投控,65
13,6285,啟碁,65
14,3563,牧德,63
15,00642U,元大S&P石油,58
16,3030,德律,58
17,3189,景碩,56
18,2603,長榮,55
19,3661,世芯-KY,54
20,3533,嘉澤,53
21,4919,新唐,50
22,6213,聯茂,48
23,8039,台虹,46
24,2605,新興,44
25,2308,台達電,43
26,3711,日月光投控,42
27,4958,臻鼎-KY,41
28,8112,至上,41
29,2329,華泰,40
30,2454,聯發科,40
31,2059,川湖,39
32,2368,金像電,39
33,00632R,元大台灣50反1,37
34,6451,訊芯-KY,37
35,2327,國巨*,35
36,1303,南亞,34
37,6789,采鈺,34
38,1795,美時,33
39,2609,陽明,33
40,3583,辛耘,33
41,8210,勤誠,33
42,2301,光寶科,31
43,6456,GIS-KY,31
44,3653,健策,30
45,6531,愛普*,30
46,1711,永光,29
47,6239,力成,29
48,6781,AES-KY,29
49,2615,萬海,28
50,6139,亞翔,28
51,6944,兆聯實業,28
52,1326,台化,27
53,1519,華城,27
54,6197,佳必琪,27
55,2404,漢唐,26
56,4977,眾達-KY,26
57,3036,文曄,25
58,6706,惠特,25
59,00708L,元大S&P黃金正2,24
60,1304,台聚,24
61,2402,毅嘉,24
62,2449,京元電子,24
63,2421,建準,23
64,3231,緯創,23
65,6505,台塑化,23
66,00635U,元大S&P黃金,22
67,2481,強茂,22
68,8028,昇陽半導體,21
69,5269,祥碩,20
70,1301,台塑,19
71,2316,楠梓電,19
72,6282,康舒,19
73,6415,矽力*-KY,19
74,00673R,元大S&P原油反1,18
75,1717,長興,18
76,2409,友達,18
77,00637L,元大滬深300正2,17
78,2355,敬鵬,17
79,3034,聯詠,17
80,3376,新日興,17
81,6257,矽格,17
82,6438,迅得,17
83,8261,富鼎,17
84,8271,宇瞻,17
85,3008,大立光,16
86,1708,東鹼,15
87,2376,技嘉,15
88,3702,大聯大,15
89,6271,同欣電,15
90,00738U,元大道瓊白銀,14
91,2458,義隆,14
92,3026,禾伸堂,14
93,3035,智原,14
94,4739,康普,14
95,8150,南茂,14
96,2303,聯電,13
97,5284,jpp-KY,13
98,2049,上銀,12
99,2369,菱生,12
100,3413,京鼎,12
101,4906,正文,12
102,00663L,國泰臺灣加權正2,11
103,2231,為升,11
104,2351,順德,11
105,6830,汎銓,11
106,00633L,富邦上証正2,10
107,1312,國喬,10
108,2357,華碩,10
109,2492,華新科,10
110,3645,達邁,10
111,4576,大銀微系統,10
112,2388,威盛,9
113,2464,盟立,9
114,2467,志聖,9
115,2495,普安,9
116,2543,皇昌,9
117,3005,神基,9
118,00650L,復華香港正2,8
119,3013,晟銘電,8
120,3019,亞光,8
121,3033,威健,8
