排行,權證標的代號,權證標的名稱,發行檔數
1,2408,南亞科,108
2,2344,華邦電,97
3,2330,台積電,93
4,IX0001,臺股指數,89
5,2303,聯電,74
6,2317,鴻海,74
7,2409,友達,71
8,1303,南亞,54
9,3231,緯創,46
10,0050,元大台灣50,43
11,3006,晶豪科,41
12,3711,日月光投控,41
13,2449,京元電子,40
14,6282,康舒,40
15,3017,奇鋐,38
16,2301,光寶科,35
17,2356,英業達,35
18,2404,漢唐,35
19,6139,亞翔,35
20,6669,緯穎,35
21,6805,富世達,34
22,00631L,元大台灣50正2,32
23,2324,仁寶,32
24,2357,華碩,31
25,2377,微星,31
26,8261,富鼎,31
27,2379,瑞昱,30
28,2474,可成,30
29,2481,強茂,29
30,1605,華新,28
31,3042,晶技,28
32,3376,新日興,28
33,3406,玉晶光,28
34,6213,聯茂,27
35,2313,華通,26
36,2345,智邦,26
37,2353,宏碁,26
38,2376,技嘉,25
39,6269,台郡,24
40,2493,揚博,23
41,00632R,元大台灣50反1,22
42,6197,佳必琪,22
43,1519,華城,21
44,6409,旭隼,21
45,1503,士電,20
46,6781,AES-KY,20
47,2316,楠梓電,19
48,2882,國泰金,19
49,3035,智原,19
50,8150,南茂,19
51,4967,十銓,18
52,7788,松川精密,18
53,2610,華航,15
54,3034,聯詠,15
55,3706,神達,15
56,1504,東元,14
57,2312,金寶,14
58,2883,凱基金,14
59,3583,辛耘,14
60,6202,盛群,14
61,1514,亞力,13
62,2369,菱生,13
63,2428,興勤,13
64,3059,華晶科,13
65,3305,昇貿,13
66,3673,TPK-KY,13
67,6285,啟碁,13
68,6789,采鈺,13
69,8112,至上,13
70,00981A,主動統一台股增長,12
71,2618,長榮航,12
72,2881,富邦金,12
73,4551,智伸科,12
74,5269,祥碩,12
75,8210,勤誠,12
76,00708L,元大S&P黃金正2,11
77,1513,中興電,11
78,2367,燿華,11
79,3533,嘉澤,11
80,6196,帆宣,11
81,6278,台表科,11
82,00635U,元大S&P黃金,10
83,2363,矽統,10
84,2489,瑞軒,10
85,3044,健鼎,10
86,6209,今國光,10
87,6456,GIS-KY,10
88,6719,力智,10
89,1312,國喬,9
90,2388,威盛,9
91,2467,志聖,9
92,2476,鉅祥,9
93,2887,台新新光金,9
94,2891,中信金,9
95,5243,乙盛-KY,9
96,6472,保瑞,9
97,2401,凌陽,8
98,2402,毅嘉,8
99,2457,飛宏,8
100,2498,宏達電,8
101,2890,永豐金,8
102,3013,晟銘電,8
103,3019,亞光,8
104,00637L,元大滬深300正2,7
105,00830,國泰費城半導體,7
106,1409,新纖,7
107,1708,東鹼,7
108,1711,永光,7
109,1802,台玻,7
110,1905,華紙,7
111,2323,中環,7
112,2352,佳世達,7
113,2609,陽明,7
114,4906,正文,7
115,4938,和碩,7
116,6414,樺漢,7
117,8131,福懋科,7
118,8271,宇瞻,7
119,IX0027,電子類,7
120,1560,中砂,6
121,1718,中纖,6
122,2049,上銀,6
123,2359,所羅門,6
124,2441,超豐,6
125,2885,元大金,6
126,3014,聯陽,6
127,4576,大銀微系統,6
128,8081,致新,6
129,9958,世紀鋼,6
130,0052,富邦科技,5
131,00642U,元大S&P石油,5
132,00663L,國泰臺灣加權正2,5
133,00715L,街口布蘭特油正2,5
134,1609,大亞,5
135,2328,廣宇,5
136,2351,順德,5
137,2355,敬鵬,5
138,2374,佳能,5
139,2436,偉詮電,5
140,2603,長榮,5
141,2884,玉山金,5
142,3030,德律,5
143,3715,定穎投控,5
144,4977,眾達-KY,5
145,5388,中磊,5
146,6412,群電,5
147,6944,兆聯實業,5
148,7711,永擎,5
149,8016,矽創,5
150,8110,華東,5
151,00706L,元大S&P日圓正2,4
152,00738U,元大道瓊白銀,4
153,00753L,中信中國50正2,4
154,1319,東陽,4
155,1795,美時,4
156,2371,大同,4
157,2395,研華,4
158,2439,美律,4
159,2485,兆赫,4
160,2634,漢翔,4
161,2637,慧洋-KY,4
162,4960,誠美材,4
163,6189,豐藝,4
164,6257,矽格,4
165,6691,洋基工程,4
166,6706,惠特,4
167,6862,三集瑞-KY,4
168,7749,意騰-KY,4
169,8070,長華*,4
170,00633L,富邦上証正2,3
171,00664R,國泰臺灣加權反1,3
172,00665L,富邦恒生國企正2,3
173,00674R,元大S&P黃金反1,3
174,1476,儒鴻,3
175,1477,聚陽,3
176,1582,信錦,3
177,1717,長興,3
178,2347,聯強,3
179,2354,鴻準,3
180,2385,群光,3
181,2421,建準,3
182,2834,臺企銀,3
183,2892,第一金,3
184,3005,神基,3
185,3036,文曄,3
186,3048,益登,3
187,3515,華擎,3
188,6176,瑞儀,3
189,6191,精成科,3
190,6672,騰輝電子-KY,3
191,6757,台灣虎航,3
192,8215,明基材,3
193,9105,泰金寶-DR,3
194,IX0039,金融類,3
195,00655L,國泰中國A50正2,2
196,00891,中信關鍵半導體,2
197,00919,群益台灣精選高息,2
198,00929,復華台灣科技優息,2
199,00982A,主動群益台灣強棒,2
200,1301,台塑,2
201,1307,三芳,2
202,1326,台化,2
203,1402,遠東新,2
204,1590,亞德客-KY,2
205,1608,華榮,2
206,1714,和桐,2
207,1723,中碳,2
208,2002,中鋼,2
209,2027,大成鋼,2
210,2233,宇隆,2
211,2340,台亞,2
212,2458,義隆,2
213,2548,華固,2
214,2605,新興,2
215,2615,萬海,2
216,2886,兆豐金,2
217,3022,威強電,2
218,3028,增你強,2
219,3596,智易,2
220,3708,上緯投控,2
221,4526,東台,2
222,4739,康普,2
223,4763,材料*-KY,2
224,4915,致伸,2
225,5284,jpp-KY,2
226,5469,瀚宇博,2
227,6869,雲豹能源,2
228,6873,泓德能源,2
229,8039,台虹,2
230,9945,潤泰新,2
231,0056,元大高股息,1
232,00647L,元大S&P500正2,1
233,00648R,元大S&P500反1,1
234,00650L,復華香港正2,1
235,00662,富邦NASDAQ,1
236,00670L,富邦NASDAQ正2,1
237,00673R,元大S&P原油反1,1
238,00680L,元大美債20正2,1
239,00685L,群益臺灣加權正2,1
240,00712,復華富時不動產,1
241,00757,統一FANG+,1
242,00763U,街口道瓊銅,1
243,00881,國泰台灣科技龍頭,1
244,1216,統一,1
245,1304,台聚,1
246,1305,華夏,1
247,1309,台達化,1
248,1313,聯成,1
249,1522,堤維西,1
250,1597,直得,1
251,1618,合機,1
252,1710,東聯,1
253,2009,第一銅,1
254,2034,允強,1
255,2103,台橡,1
