排行,權證標的代號,權證標的名稱,發行檔數
1,2330,台積電,78
2,2408,南亞科,76
3,2344,華邦電,75
4,3017,奇鋐,69
5,1303,南亞,67
6,3008,大立光,56
7,2301,光寶科,54
8,IX0001,臺股指數,53
9,6770,力積電,52
10,2368,金像電,49
11,6805,富世達,47
12,2337,旺宏,46
13,6669,緯穎,46
14,3231,緯創,44
15,3665,貿聯-KY,43
16,4958,臻鼎-KY,43
17,2317,鴻海,42
18,2327,國巨*,42
19,6239,力成,42
20,2303,聯電,40
21,2359,所羅門,39
22,2049,上銀,37
23,2313,華通,36
24,3711,日月光投控,35
25,3481,群創,31
26,3583,辛耘,30
27,3016,嘉晶,29
28,8210,勤誠,29
29,0050,元大台灣50,28
30,3006,晶豪科,28
31,6442,光聖,28
32,6415,矽力*-KY,27
33,2493,揚博,26
34,3042,晶技,26
35,2345,智邦,25
36,2376,技嘉,25
37,2449,京元電子,25
38,2481,強茂,23
39,2603,長榮,23
40,2615,萬海,23
41,6139,亞翔,23
42,2357,華碩,22
43,2464,盟立,22
44,8112,至上,22
45,3533,嘉澤,21
46,2324,仁寶,20
47,6672,騰輝電子-KY,20
48,7788,松川精密,20
49,2377,微星,19
50,2395,研華,19
51,3044,健鼎,19
52,3036,文曄,18
53,3605,宏致,18
54,00631L,元大台灣50正2,17
55,2409,友達,17
56,2478,大毅,17
57,6414,樺漢,17
58,00981A,主動統一台股增長,16
59,6830,汎銓,16
60,2354,鴻準,15
61,6206,飛捷,15
62,6781,AES-KY,15
63,6196,帆宣,14
64,2316,楠梓電,13
65,2451,創見,13
66,6472,保瑞,13
67,1590,亞德客-KY,12
68,2363,矽統,12
69,3033,威健,12
70,3715,定穎投控,12
71,6834,天二科技,12
72,00632R,元大台灣50反1,11
73,2609,陽明,11
74,4722,國精化,11
75,6269,台郡,11
76,1519,華城,10
77,1714,和桐,10
78,1802,台玻,10
79,2356,英業達,10
80,2421,建準,10
81,2441,超豐,10
82,2634,漢翔,10
