排行,權證標的代號,權證標的名稱,發行檔數
1,2330,台積電,60
2,8422,可寧衛*,59
3,IX0001,臺股指數,51
4,2313,華通,49
5,2409,友達,44
6,2303,聯電,42
7,3661,世芯-KY,38
8,2308,台達電,35
9,6239,力成,34
10,8150,南茂,34
11,6282,康舒,31
12,0050,元大台灣50,28
13,2454,聯發科,28
14,3037,欣興,27
15,2312,金寶,26
16,3008,大立光,26
17,2337,旺宏,25
18,2367,燿華,23
19,2441,超豐,23
20,3167,大量,23
21,6669,緯穎,23
22,2404,漢唐,22
23,1605,華新,21
24,2317,鴻海,21
25,6257,矽格,21
26,00738U,元大道瓊白銀,20
27,2327,國巨*,20
28,1560,中砂,18
29,2455,全新,18
30,3711,日月光投控,18
31,6139,亞翔,18
32,6415,矽力*-KY,18
33,2059,川湖,17
34,3450,聯鈞,17
35,2329,華泰,16
36,2360,致茂,16
37,2379,瑞昱,16
38,3189,景碩,16
39,5269,祥碩,16
40,6209,今國光,16
41,8028,昇陽半導體,16
42,8112,至上,16
43,00637L,元大滬深300正2,15
44,3715,定穎投控,15
45,8210,勤誠,15
46,00631L,元大台灣50正2,14
47,6116,彩晶,14
48,1303,南亞,13
49,1717,長興,13
50,6691,洋基工程,13
51,00632R,元大台灣50反1,12
52,2493,揚博,12
53,8039,台虹,12
54,8131,福懋科,12
55,2371,大同,11
56,2467,志聖,11
57,6531,愛普*,11
58,2449,京元電子,10
59,2485,兆赫,10
60,3035,智原,10
61,3090,日電貿,10
62,3532,台勝科,10
63,00635U,元大S&P黃金,9
64,1513,中興電,9
65,3231,緯創,9
66,3376,新日興,9
67,3443,創意,9
68,3563,牧德,9
69,4958,臻鼎-KY,9
70,6706,惠特,9
71,1101,台泥,8
72,2345,智邦,8
73,2402,毅嘉,8
74,3017,奇鋐,8
75,3305,昇貿,8
76,3665,貿聯-KY,8
77,6213,聯茂,8
78,6271,同欣電,8
79,6944,兆聯實業,8
80,00708L,元大S&P黃金正2,7
81,2002,中鋼,7
82,2419,仲琦,7
83,2472,立隆電,7
84,2634,漢翔,7
85,3036,文曄,7
86,00633L,富邦上証正2,6
87,00763U,街口道瓊銅,6
88,1503,士電,6
89,1711,永光,6
90,2331,精英,6
91,3044,健鼎,6
92,3048,益登,6
93,3533,嘉澤,6
94,3592,瑞鼎,6
95,6409,旭隼,6
96,6781,AES-KY,6
97,1590,亞德客-KY,5
98,2009,第一銅,5
99,2301,光寶科,5
