排行,權證標的代號,權證標的名稱,發行檔數
1,2441,超豐,12
2,8131,福懋科,11
3,6209,今國光,7
4,8422,可寧衛*,7
5,2449,京元電子,6
6,6257,矽格,6
7,00632R,元大台灣50反1,5
8,00738U,元大道瓊白銀,5
9,2330,台積電,5
10,2467,志聖,5
11,3036,文曄,5
12,3443,創意,5
13,3090,日電貿,4
14,6770,力積電,4
15,IX0001,臺股指數,4
16,2404,漢唐,3
17,2472,立隆電,3
18,3231,緯創,3
19,3592,瑞鼎,3
20,4585,達明,3
21,6214,精誠,3
22,8039,台虹,3
23,2105,正新,2
24,2323,中環,2
25,2337,旺宏,2
26,2409,友達,2
27,2485,兆赫,2
28,2867,三商壽,2
29,3037,欣興,2
30,3661,世芯-KY,2
31,3711,日月光投控,2
32,4977,眾達-KY,2
33,5234,達興材料,2
34,6197,佳必琪,2
35,6605,帝寶,2
36,6944,兆聯實業,2
37,7780,大研生醫,2
38,9921,巨大,2
39,IX0039,金融類,2
40,00633L,富邦上証正2,1
41,00635U,元大S&P黃金,1
42,00708L,元大S&P黃金正2,1
43,00763U,街口道瓊銅,1
44,1215,卜蜂,1
45,1304,台聚,1
46,1442,名軒,1
47,1560,中砂,1
48,2201,裕隆,1
49,2233,宇隆,1
50,2313,華通,1
51,2317,鴻海,1
52,2367,燿華,1
53,2371,大同,1
54,2375,凱美,1
55,2379,瑞昱,1
56,2402,毅嘉,1
57,2454,聯發科,1
58,2495,普安,1
59,2605,新興,1
60,3019,亞光,1
61,3048,益登,1
62,3055,蔚華科,1
63,3189,景碩,1
64,3406,玉晶光,1
65,3563,牧德,1
66,3665,貿聯-KY,1
67,4763,材料*-KY,1
68,6120,達運,1
69,6139,亞翔,1
70,6271,同欣電,1
71,6282,康舒,1
72,6531,愛普*,1
73,6669,緯穎,1
74,6789,采鈺,1
75,6957,裕慶-KY,1
76,8028,昇陽半導體,1
77,8046,南電,1
78,8112,至上,1
79,8150,南茂,1
80,8210,勤誠,1
81,IX0027,電子類,1
,,合計,188
