Code,Name,Industry
1101,台泥,水泥工業
1102,亞泥,水泥工業
1103,嘉泥,水泥工業
1104,環泥,水泥工業
1108,幸福,水泥工業
1109,信大,水泥工業
1110,東泥,水泥工業
1201,味全,食品工業
1203,味王,食品工業
1210,大成,食品工業
1213,大飲,食品工業
1215,卜蜂,食品工業
1216,統一,食品工業
1217,愛之味,食品工業
1218,泰山,食品工業
1219,福壽,食品工業
1220,台榮,食品工業
1225,福懋油,食品工業
1227,佳格,食品工業
1229,聯華,食品工業
1231,聯華食,食品工業
1232,大統益,食品工業
1233,天仁,食品工業
1234,黑松,食品工業
1235,興泰,食品工業
1236,宏亞,食品工業
1256,鮮活果汁-KY,食品工業
1301,台塑,塑膠工業
1303,南亞,塑膠工業
1304,台聚,塑膠工業
1305,華夏,塑膠工業
1307,三芳,塑膠工業
1308,亞聚,塑膠工業
1309,台達化,塑膠工業
1310,台苯,塑膠工業
1312,國喬,塑膠工業
1313,聯成,塑膠工業
1314,中石化,塑膠工業
1315,達新,塑膠工業
1316,上曜,建材營造業
1319,東陽,汽車工業
1321,大洋,塑膠工業
1323,永裕,塑膠工業
1324,地球,塑膠工業
1325,恆大,塑膠工業
1326,台化,塑膠工業
1337,再生-KY,塑膠工業
1338,廣華-KY,汽車工業
1339,昭輝,汽車工業
1340,勝悅-KY,塑膠工業
1341,富林-KY,塑膠工業
1342,八貫,其他業
1402,遠東新,紡織纖維
1409,新纖,紡織纖維
1410,南染,紡織纖維
1413,宏洲,紡織纖維
1414,東和,紡織纖維
1416,廣豐,其他業
1417,嘉裕,紡織纖維
1418,東華,紡織纖維
1419,新紡,紡織纖維
1423,利華,紡織纖維
1432,大魯閣,運動休閒
1434,福懋,紡織纖維
1435,中福,其他業
1436,華友聯,建材營造業
1437,勤益控,其他業
1438,三地開發,建材營造業
1439,雋揚,建材營造業
1440,南紡,紡織纖維
1441,大東,紡織纖維
1442,名軒,建材營造業
1443,立益物流,其他業
1444,力麗,紡織纖維
1445,大宇,紡織纖維
1446,宏和,紡織纖維
1447,力鵬,紡織纖維
1449,佳和,紡織纖維
1451,年興,紡織纖維
1452,宏益,紡織纖維
1453,大將,建材營造業
1454,台富,紡織纖維
1455,集盛,紡織纖維
1456,怡華,建材營造業
1457,宜進,紡織纖維
1459,聯發,紡織纖維
1460,宏遠,紡織纖維
1463,強盛新,紡織纖維
1464,得力,紡織纖維
1465,偉全,紡織纖維
1466,聚隆,紡織纖維
1467,南緯,紡織纖維
1468,昶和,紡織纖維
1470,大統新創,紡織纖維
1471,首利,電子零組件業
1472,三洋實業,建材營造業
1473,台南,紡織纖維
1474,弘裕,紡織纖維
1475,業旺,紡織纖維
1476,儒鴻,紡織纖維
1477,聚陽,紡織纖維
1503,士電,電機機械
1504,東元,電機機械
1506,正道,電機機械
1512,瑞利,汽車工業
1513,中興電,電機機械
1514,亞力,電機機械
1515,力山,電機機械
1516,川飛,其他業
1517,利奇,電機機械
1519,華城,電機機械
1521,大億,汽車工業
1522,堤維西,汽車工業
1524,耿鼎,汽車工業
1525,江申,汽車工業
1526,日馳,電機機械
1527,鑽全,電機機械
1528,恩德,電機機械
1529,樂事綠能,電機機械
1530,亞崴,電機機械
1531,高林股,電機機械
1532,勤美,電機機械
1533,車王電,汽車工業
1535,中宇,電機機械
1536,和大,汽車工業
1537,廣隆,電機機械
1538,正峰,電機機械
1539,巨庭,電機機械
1540,喬福,電機機械
1541,錩泰,電機機械
1558,伸興,電機機械
1560,中砂,電機機械
1563,巧新,汽車工業
1568,倉佑,汽車工業
1582,信錦,電子零組件業
1583,程泰,電機機械
1587,吉茂,汽車工業
