排行,權證標的代號,權證標的名稱,發行檔數
1,IX0001,臺股指數,14
2,00715L,街口布蘭特油正2,10
3,2451,創見,10
4,2467,志聖,9
5,00642U,元大S&P石油,7
6,2330,台積電,7
7,3017,奇鋐,7
8,3563,牧德,7
9,1717,長興,6
10,2338,光罩,6
11,2605,新興,6
12,3450,聯鈞,6
13,6285,啟碁,6
14,1795,美時,5
15,2603,長榮,5
16,6789,采鈺,5
17,00632R,元大台灣50反1,4
18,2402,毅嘉,4
19,2615,萬海,4
20,3030,德律,4
21,3665,貿聯-KY,4
22,4958,臻鼎-KY,4
23,5269,祥碩,4
24,6669,緯穎,4
25,0050,元大台灣50,3
26,00708L,元大S&P黃金正2,3
27,1326,台化,3
28,1519,華城,3
29,3661,世芯-KY,3
30,3715,定穎投控,3
31,6213,聯茂,3
32,6531,愛普*,3
33,6706,惠特,3
34,8039,台虹,3
35,00635U,元大S&P黃金,2
36,00673R,元大S&P原油反1,2
37,00738U,元大道瓊白銀,2
38,1303,南亞,2
39,1503,士電,2
40,1514,亞力,2
41,2317,鴻海,2
42,2379,瑞昱,2
43,2404,漢唐,2
44,2436,偉詮電,2
45,2454,聯發科,2
46,2481,強茂,2
47,3008,大立光,2
48,3533,嘉澤,2
49,3711,日月光投控,2
50,6271,同欣電,2
51,6456,GIS-KY,2
52,6505,台塑化,2
53,6805,富世達,2
54,8210,勤誠,2
55,00637L,元大滬深300正2,1
56,00650L,復華香港正2,1
57,00693U,街口S&P黃豆,1
58,1402,遠東新,1
59,1708,東鹼,1
60,2002,中鋼,1
61,2027,大成鋼,1
62,2049,上銀,1
63,2301,光寶科,1
64,2345,智邦,1
65,2357,華碩,1
66,2376,技嘉,1
67,2409,友達,1
68,2457,飛宏,1
69,2472,立隆電,1
70,2515,中工,1
71,2543,皇昌,1
72,2609,陽明,1
73,3028,增你強,1
74,3380,明泰,1
75,3406,玉晶光,1
76,3583,辛耘,1
77,3708,上緯投控,1
78,4576,大銀微系統,1
79,4919,新唐,1
80,5434,崇越,1
81,5469,瀚宇博,1
82,6197,佳必琪,1
83,6215,和椿,1
84,6239,力成,1
85,6257,矽格,1
86,6409,旭隼,1
87,6415,矽力*-KY,1
88,6449,鈺邦,1
89,6691,洋基工程,1
90,6753,龍德造船,1
91,6781,AES-KY,1
92,6937,天虹,1
93,6944,兆聯實業,1
94,8103,瀚荃,1
95,8150,南茂,1
,,合計,259
