排行,權證標的代號,權證標的名稱,發行檔數
261,2887,台新新光金,1
262,2891,中信金,1
263,2892,第一金,1
264,3029,零壹,1
265,3209,全科,1
266,3312,弘憶股,1
267,3504,揚明光,1
268,4526,東台,1
269,4739,康普,1
270,4766,南寶,1
271,5243,乙盛-KY,1
272,5284,jpp-KY,1
273,5292,華懋,1
274,5434,崇越,1
275,5534,長虹,1
276,6116,彩晶,1
277,6191,精成科,1
278,6491,晶碩,1
279,6658,聯策,1
280,6861,睿生光電,1
281,6873,泓德能源,1
282,7722,LINEPAY,1
283,7749,意騰-KY,1
284,8131,福懋科,1
285,9105,泰金寶-DR,1
286,9938,百和,1
,,合計,"2,829"
