排行,權證標的代號,權證標的名稱,發行檔數
1,3008,大立光,132
2,3017,奇鋐,123
3,2408,南亞科,118
4,2330,台積電,117
5,2308,台達電,106
6,1303,南亞,103
7,2344,華邦電,101
8,2327,國巨*,92
9,2301,光寶科,91
10,2368,金像電,81
11,IX0001,臺股指數,81
12,6805,富世達,80
13,3665,貿聯-KY,79
14,2303,聯電,77
15,6770,力積電,77
16,6669,緯穎,70
17,4958,臻鼎-KY,68
18,2317,鴻海,65
19,2337,旺宏,62
20,2615,萬海,61
21,3231,緯創,58
22,6239,力成,58
23,3711,日月光投控,57
24,2313,華通,54
25,2359,所羅門,52
26,6442,光聖,52
27,0050,元大台灣50,50
28,2609,陽明,49
29,3406,玉晶光,49
30,2049,上銀,48
31,2603,長榮,48
32,2376,技嘉,47
33,2345,智邦,46
34,3481,群創,45
35,2449,京元電子,44
36,3533,嘉澤,44
37,3583,辛耘,41
38,2481,強茂,40
39,6415,矽力*-KY,39
40,8210,勤誠,39
41,3605,宏致,38
42,3016,嘉晶,37
43,6472,保瑞,37
44,2324,仁寶,36
45,6139,亞翔,36
46,7788,松川精密,36
47,6672,騰輝電子-KY,35
48,2409,友達,32
49,3044,健鼎,32
50,6781,AES-KY,32
51,2377,微星,31
52,2493,揚博,31
53,2357,華碩,30
54,00631L,元大台灣50正2,29
55,3006,晶豪科,28
56,1519,華城,27
57,2351,順德,27
58,2354,鴻準,27
59,2360,致茂,27
60,2395,研華,27
61,8112,至上,27
62,00708L,元大S&P黃金正2,26
63,3042,晶技,26
64,3036,文曄,25
65,4967,十銓,25
66,4977,眾達-KY,25
67,2363,矽統,24
68,2451,創見,24
69,2634,漢翔,24
70,2464,盟立,22
71,2356,英業達,21
72,00981A,主動統一台股增長,20
73,1590,亞德客-KY,20
74,2478,大毅,20
75,6196,帆宣,20
76,6505,台塑化,20
77,2606,裕民,19
78,1802,台玻,18
79,2404,漢唐,18
80,6269,台郡,18
81,2637,慧洋-KY,17
82,3563,牧德,17
83,6414,樺漢,17
84,00632R,元大台灣50反1,16
85,00685L,群益臺灣加權正2,16
86,00738U,元大道瓊白銀,16
87,2002,中鋼,16
88,3034,聯詠,16
89,6206,飛捷,16
90,6830,汎銓,16
91,2316,楠梓電,15
92,2484,希華,15
93,2605,新興,15
94,3376,新日興,15
95,3715,定穎投控,15
96,00635U,元大S&P黃金,14
97,2476,鉅祥,14
98,3035,智原,14
99,3702,大聯大,14
100,6197,佳必琪,14
101,6285,啟碁,14
102,6409,旭隼,14
103,6715,嘉基,14
104,1717,長興,13
105,2027,大成鋼,13
106,2441,超豐,13
107,3033,威健,13
108,6834,天二科技,13
109,1503,士電,12
110,1711,永光,12
111,2392,正崴,12
112,2421,建準,12
113,2467,志聖,12
114,2645,長榮航太,12
115,4576,大銀微系統,12
116,4938,和碩,12
117,6257,矽格,12
118,6271,同欣電,12
119,8150,南茂,12
120,8271,宇瞻,12
121,1560,中砂,11
122,1605,華新,11
123,2371,大同,11
124,2426,鼎元,11
125,2428,興勤,11
126,2489,瑞軒,11
127,4722,國精化,11
128,5269,祥碩,11
129,6278,台表科,11
130,6456,GIS-KY,11
131,7822,倍利科,11
132,1714,和桐,10
133,1795,美時,10
134,2630,亞航,10
135,3019,亞光,10
