排行,權證標的代號,權證標的名稱,發行檔數
1,2308,台達電,120
2,IX0001,臺股指數,115
3,2330,台積電,107
4,2317,鴻海,97
5,2454,聯發科,95
6,1303,南亞,88
7,3661,世芯-KY,80
8,6770,力積電,79
9,2404,漢唐,74
10,2345,智邦,73
11,2059,川湖,72
12,2313,華通,71
13,6669,緯穎,71
14,3037,欣興,69
15,6139,亞翔,60
16,3017,奇鋐,57
17,6805,富世達,51
18,2368,金像電,49
19,8039,台虹,46
20,0050,元大台灣50,45
21,1802,台玻,45
22,2327,國巨*,44
23,3231,緯創,41
24,6781,AES-KY,40
25,1560,中砂,38
26,2383,台光電,37
27,2337,旺宏,36
28,3665,貿聯-KY,34
29,3030,德律,33
30,00631L,元大台灣50正2,32
31,8210,勤誠,31
32,2606,裕民,29
33,2612,中航,29
34,6213,聯茂,29
35,3711,日月光投控,28
36,3189,景碩,27
37,6531,愛普*,27
38,00632R,元大台灣50反1,25
39,2486,一詮,24
40,2605,新興,24
41,6944,兆聯實業,24
42,8150,南茂,24
43,2402,毅嘉,23
44,2449,京元電子,23
45,3090,日電貿,23
46,00738U,元大道瓊白銀,22
47,3715,定穎投控,22
48,2367,燿華,21
49,3450,聯鈞,21
50,6196,帆宣,21
51,1301,台塑,20
52,1605,華新,20
53,2455,全新,19
54,2637,慧洋-KY,19
55,2887,台新新光金,19
56,3706,神達,19
57,6691,洋基工程,19
58,3533,嘉澤,18
59,8046,南電,18
60,8499,鼎炫-KY,18
61,2303,聯電,17
62,2371,大同,17
63,2388,威盛,17
64,2467,志聖,17
65,5469,瀚宇博,17
66,8112,至上,17
67,4763,材料*-KY,16
68,6415,矽力*-KY,16
69,1504,東元,15
70,2301,光寶科,15
71,2603,長榮,15
72,3008,大立光,15
73,6451,訊芯-KY,15
74,2357,華碩,14
75,2882,國泰金,14
76,3376,新日興,14
77,2498,宏達電,13
78,6890,來億-KY,13
79,2359,所羅門,12
80,2360,致茂,12
81,2481,強茂,12
82,5284,jpp-KY,12
83,6706,惠特,12
84,8028,昇陽半導體,12
85,00715L,街口布蘭特油正2,11
86,2493,揚博,11
87,2548,華固,11
88,2645,長榮航太,11
89,2891,中信金,11
90,4916,事欣科,11
91,4977,眾達-KY,11
92,1326,台化,10
93,2630,亞航,10
94,3013,晟銘電,10
95,2009,第一銅,9
96,2324,仁寶,9
97,2610,華航,9
98,3006,晶豪科,9
99,3034,聯詠,9
100,3167,大量,9
101,3515,華擎,9
102,6215,和椿,9
103,6271,同欣電,9
104,6409,旭隼,9
105,0052,富邦科技,8
106,1216,統一,8
107,1717,長興,8
108,2316,楠梓電,8
109,2374,佳能,8
110,2618,長榮航,8
111,2884,玉山金,8
112,2890,永豐金,8
113,3563,牧德,8
114,6285,啟碁,8
115,6472,保瑞,8
116,00664R,國泰臺灣加權反1,7
117,2002,中鋼,7
118,2329,華泰,7
119,3010,華立,7
120,3044,健鼎,7
121,5269,祥碩,7
122,6753,龍德造船,7
123,6830,汎銓,7
124,IX0027,電子類,7
125,00633L,富邦上証正2,6
126,00637L,元大滬深300正2,6
127,00650L,復華香港正2,6
128,1608,華榮,6
129,2356,英業達,6
130,2421,建準,6
131,2472,立隆電,6
132,2609,陽明,6
133,2615,萬海,6
134,2881,富邦金,6
135,3019,亞光,6
136,3694,海華,6
137,4958,臻鼎-KY,6
138,5234,達興材料,6
139,6789,采鈺,6
140,00642U,元大S&P石油,5
141,00706L,元大S&P日圓正2,5
142,1513,中興電,5
143,2027,大成鋼,5
144,2331,精英,5
145,2883,凱基金,5
146,3048,益登,5
147,3481,群創,5
148,6239,力成,5
149,6282,康舒,5
150,00663L,國泰臺灣加權正2,4
151,00674R,元大S&P黃金反1,4
152,00919,群益台灣精選高息,4
153,1101,台泥,4
154,1319,東陽,4
155,2354,鴻準,4
156,2474,可成,4
157,2520,冠德,4
158,2885,元大金,4
159,3305,昇貿,4
160,3406,玉晶光,4
161,3413,京鼎,4
162,4583,台灣精銳,4
163,4739,康普,4
164,4906,正文,4
165,9904,寶成,4
166,00635U,元大S&P黃金,3
167,00640L,富邦日本正2,3
168,00647L,元大S&P500正2,3
169,00655L,國泰中國A50正2,3
170,00665L,富邦恒生國企正2,3
171,00708L,元大S&P黃金正2,3
172,00763U,街口道瓊銅,3
173,1312,國喬,3
174,1477,聚陽,3
175,1503,士電,3
176,1514,亞力,3
177,1536,和大,3
178,2049,上銀,3
179,2312,金寶,3
180,2376,技嘉,3
181,2409,友達,3
182,2419,仲琦,3
183,2889,國票金,3
184,3035,智原,3
185,3532,台勝科,3
186,3708,上緯投控,3
187,4770,上品,3
188,4961,天鈺,3
189,5434,崇越,3
190,5534,長虹,3
191,5871,中租-KY,3
192,6191,精成科,3
193,6257,矽格,3
194,6269,台郡,3
195,6278,台表科,3
196,8374,羅昇,3
197,9945,潤泰新,3
198,IX0039,金融類,3
199,00712,復華富時不動產,2
200,00753L,中信中國50正2,2
201,2233,宇隆,2
202,2375,凱美,2
203,2377,微星,2
204,2492,華新科,2
205,2753,八方雲集,2
206,2880,華南金,2
207,2892,第一金,2
208,3032,偉訓,2
