排行,權證標的代號,權證標的名稱,發行檔數
1,2330,台積電,78
2,2368,金像電,56
3,IX0001,臺股指數,56
4,4958,臻鼎-KY,50
5,3661,世芯-KY,48
6,3450,聯鈞,46
7,2454,聯發科,45
8,2345,智邦,41
9,6285,啟碁,40
10,00631L,元大台灣50正2,38
11,3008,大立光,38
12,3583,辛耘,38
13,2308,台達電,37
14,2409,友達,36
15,0050,元大台灣50,34
16,6213,聯茂,33
17,3017,奇鋐,32
18,3665,貿聯-KY,32
19,6139,亞翔,31
20,3026,禾伸堂,30
21,1560,中砂,29
22,2317,鴻海,29
23,4977,眾達-KY,29
24,4576,大銀微系統,28
25,1519,華城,26
26,1717,長興,26
27,2472,立隆電,26
28,3030,德律,24
29,7750,新代,24
30,7769,鴻勁,24
31,2402,毅嘉,23
32,6257,矽格,22
33,1582,信錦,21
34,2344,華邦電,21
35,2351,順德,21
36,2408,南亞科,21
37,2481,強茂,20
38,3042,晶技,20
39,2327,國巨*,19
40,2449,京元電子,19
41,3406,玉晶光,19
42,3481,群創,19
43,6919,康霈*,19
44,6944,兆聯實業,19
45,3532,台勝科,18
46,3711,日月光投控,18
47,3715,定穎投控,18
48,4722,國精化,18
49,4919,新唐,18
50,6770,力積電,18
51,6831,邁科,18
52,8028,昇陽半導體,18
53,2049,上銀,17
54,3673,TPK-KY,17
55,8110,華東,17
56,1304,台聚,15
57,3563,牧德,15
58,4764,雙鍵,15
59,6278,台表科,15
60,6937,天虹,15
61,00715L,街口布蘭特油正2,14
62,2376,技嘉,14
63,2395,研華,14
64,3533,嘉澤,14
65,5243,乙盛-KY,14
66,6781,AES-KY,14
67,00642U,元大S&P石油,13
68,6196,帆宣,13
69,1802,台玻,12
70,2355,敬鵬,12
71,2419,仲琦,12
72,6415,矽力*-KY,12
73,6805,富世達,12
74,1795,美時,11
75,2367,燿華,11
76,2476,鉅祥,11
77,3376,新日興,11
78,5269,祥碩,11
79,5284,jpp-KY,11
80,8039,台虹,11
81,8210,勤誠,11
82,2369,菱生,10
83,2404,漢唐,10
84,2436,偉詮電,10
85,6669,緯穎,10
86,1303,南亞,9
87,2301,光寶科,9
88,2303,聯電,9
89,2313,華通,9
90,2388,威盛,9
91,2464,盟立,9
92,4967,十銓,9
93,6191,精成科,9
94,6239,力成,9
95,6456,GIS-KY,9
96,1326,台化,8
97,1723,中碳,8
98,2059,川湖,8
99,2492,華新科,8
100,5388,中磊,8
101,6271,同欣電,8
102,6472,保瑞,8
103,6672,騰輝電子-KY,8
104,8261,富鼎,8
105,1710,東聯,7
106,2329,華泰,7
107,3380,明泰,7
108,4906,正文,7
109,5292,華懋,7
110,8112,至上,7
111,00664R,國泰臺灣加權反1,6
112,1305,華夏,6
113,1308,亞聚,6
114,1476,儒鴻,6
115,2340,台亞,6
116,2493,揚博,6
117,3013,晟銘電,6
118,3028,增你強,6
119,4766,南寶,6
120,5234,達興材料,6
121,6526,達發,6
122,6789,采鈺,6
123,1313,聯成,5
124,1773,勝一,5
125,2474,可成,5
