排行,權證標的代號,權證標的名稱,發行檔數
1,6669,緯穎,63
2,2492,華新科,59
3,2308,台達電,50
4,2330,台積電,50
5,2303,聯電,42
6,2368,金像電,40
7,2409,友達,40
8,IX0001,臺股指數,40
9,7769,鴻勁,35
10,3042,晶技,34
11,6515,穎崴,33
12,0050,元大台灣50,30
13,2327,國巨*,29
14,2408,南亞科,29
15,2301,光寶科,28
16,6442,光聖,28
17,2360,致茂,27
18,3017,奇鋐,27
19,4958,臻鼎-KY,27
20,3231,緯創,26
21,1303,南亞,25
22,2481,強茂,25
23,3665,貿聯-KY,25
24,8028,昇陽半導體,25
25,2615,萬海,24
26,2345,智邦,23
27,6239,力成,23
28,2449,京元電子,22
29,3711,日月光投控,21
30,3715,定穎投控,21
31,1519,華城,20
32,3376,新日興,20
33,4576,大銀微系統,20
34,1301,台塑,19
35,2313,華通,19
36,3583,辛耘,19
37,5269,祥碩,19
38,6770,力積電,19
39,00631L,元大台灣50正2,18
40,1326,台化,18
41,2344,華邦電,18
42,3605,宏致,18
43,2363,矽統,17
44,2404,漢唐,17
45,3036,文曄,17
46,6789,采鈺,16
47,2357,華碩,15
48,2317,鴻海,14
49,3481,群創,14
50,6831,邁科,14
51,7788,松川精密,14
52,2049,上銀,13
53,2354,鴻準,13
54,2376,技嘉,12
55,2395,研華,12
56,2421,建準,12
57,6415,矽力*-KY,12
58,00632R,元大台灣50反1,11
59,1409,新纖,11
60,1717,長興,11
61,2324,仁寶,11
62,2351,順德,11
63,3016,嘉晶,11
64,3044,健鼎,11
65,6139,亞翔,11
66,6269,台郡,11
67,2498,宏達電,10
68,2609,陽明,10
69,2884,玉山金,10
70,3019,亞光,10
71,3034,聯詠,10
72,3090,日電貿,10
73,3533,嘉澤,10
74,3563,牧德,10
75,3706,神達,10
76,4977,眾達-KY,10
77,2377,微星,9
78,2379,瑞昱,9
79,2489,瑞軒,9
80,2887,台新新光金,9
81,6196,帆宣,9
82,6672,騰輝電子-KY,9
83,7750,新代,9
84,1560,中砂,8
85,1597,直得,8
86,2337,旺宏,8
87,2476,鉅祥,8
88,2882,國泰金,8
89,3035,智原,8
90,1605,華新,7
91,1802,台玻,7
92,2316,楠梓電,7
93,2385,群光,7
94,2388,威盛,7
95,2436,偉詮電,7
96,2472,立隆電,7
97,2603,長榮,7
98,2637,慧洋-KY,7
99,3030,德律,7
100,4770,上品,7
101,4938,和碩,7
102,6271,同欣電,7
103,6472,保瑞,7
104,6706,惠特,7
105,6781,AES-KY,7
106,00673R,元大S&P原油反1,6
107,2353,宏碁,6
108,2883,凱基金,6
109,4764,雙鍵,6
110,4906,正文,6
111,6197,佳必琪,6
112,6257,矽格,6
113,6505,台塑化,6
114,00635U,元大S&P黃金,5
115,00715L,街口布蘭特油正2,5
116,00830,國泰費城半導體,5
117,1101,台泥,5
118,1312,國喬,5
119,2305,全友,5
120,2356,英業達,5
121,2359,所羅門,5
122,2467,志聖,5
123,2881,富邦金,5
124,3013,晟銘電,5
125,4961,天鈺,5
126,6209,今國光,5
127,8103,瀚荃,5
128,8210,勤誠,5
129,00637L,元大滬深300正2,4
130,00981A,主動統一台股增長,4
131,1504,東元,4
132,2312,金寶,4
133,2338,光罩,4
134,2891,中信金,4
135,3545,敦泰,4
136,3702,大聯大,4
137,4722,國精化,4
138,4763,材料*-KY,4
139,4967,十銓,4
140,6116,彩晶,4
141,6278,台表科,4
142,6285,啟碁,4
143,6409,旭隼,4
144,6449,鈺邦,4
145,6526,達發,4
146,00633L,富邦上証正2,3
147,00708L,元大S&P黃金正2,3
148,2009,第一銅,3
149,2371,大同,3
150,2478,大毅,3
151,2605,新興,3
152,2618,長榮航,3
153,2886,兆豐金,3
154,3005,神基,3
155,3023,信邦,3
156,3033,威健,3
157,3673,TPK-KY,3
158,4919,新唐,3
159,5284,jpp-KY,3
160,5434,崇越,3
161,6414,樺漢,3
162,6456,GIS-KY,3
163,6861,睿生光電,3
164,6937,天虹,3
165,9105,泰金寶-DR,3
166,9945,潤泰新,3
167,00670L,富邦NASDAQ正2,2
168,00738U,元大道瓊白銀,2
169,00852L,國泰美國道瓊正2,2
170,00881,國泰台灣科技龍頭,2
171,00891,中信關鍵半導體,2
172,1319,東陽,2
173,1402,遠東新,2
174,1503,士電,2
175,1513,中興電,2
176,1714,和桐,2
177,1727,中華化,2
178,1795,美時,2
179,2002,中鋼,2
180,2375,凱美,2
181,2439,美律,2
182,2474,可成,2
183,2634,漢翔,2
184,2645,長榮航太,2
185,2885,元大金,2
186,3380,明泰,2
187,3413,京鼎,2
188,3701,大眾控,2
189,5871,中租-KY,2
190,6176,瑞儀,2
191,6214,精誠,2
192,6525,捷敏-KY,2
193,6579,研揚,2
194,6658,聯策,2
195,6691,洋基工程,2
196,6753,龍德造船,2
197,6834,天二科技,2
198,9904,寶成,2
199,9958,世紀鋼,2
200,006204,永豐臺灣加權,1
201,00640L,富邦日本正2,1
202,00650L,復華香港正2,1
203,00663L,國泰臺灣加權正2,1
204,00664R,國泰臺灣加權反1,1
205,00676R,富邦臺灣加權反1,1
206,00685L,群益臺灣加權正2,1
207,00763U,街口道瓊銅,1
208,00885,富邦越南,1
209,1305,華夏,1
210,1313,聯成,1
211,1514,亞力,1
212,1710,東聯,1
213,1773,勝一,1
214,2027,大成鋼,1
215,2323,中環,1
216,2328,廣宇,1
217,2352,佳世達,1
218,2393,億光,1
219,2401,凌陽,1
220,2419,仲琦,1
221,2428,興勤,1
222,2451,創見,1
223,2485,兆赫,1
224,2493,揚博,1
225,2520,冠德,1
226,2606,裕民,1
227,2610,華航,1
228,2890,永豐金,1
229,2892,第一金,1
230,3015,全漢,1
231,3022,威強電,1
232,3305,昇貿,1
233,3312,弘憶股,1
234,3504,揚明光,1
235,3645,達邁,1
236,4585,達明,1
237,4739,康普,1
238,4968,立積,1
239,5234,達興材料,1
240,5243,乙盛-KY,1
241,5292,華懋,1
242,6177,達麗,1
243,6191,精成科,1
244,6282,康舒,1
245,6412,群電,1
246,6438,迅得,1
247,6491,晶碩,1
248,6605,帝寶,1
249,6670,復盛應用,1
250,6757,台灣虎航,1
251,6944,兆聯實業,1
252,7822,倍利科,1
253,8112,至上,1
254,8114,振樺電,1
255,8131,福懋科,1
256,8150,南茂,1
257,8261,富鼎,1
258,8271,宇瞻,1
259,8473,山林水,1
,,合計,"2,212"
