排行,權證標的代號,權證標的名稱,發行檔數
1,3037,欣興,85
2,00738U,元大道瓊白銀,80
3,00708L,元大S&P黃金正2,62
4,00635U,元大S&P黃金,44
5,8271,宇瞻,41
6,2330,台積電,40
7,2383,台光電,39
8,2454,聯發科,39
9,4958,臻鼎-KY,37
10,2303,聯電,34
11,2313,華通,30
12,3017,奇鋐,29
13,3661,世芯-KY,28
14,1326,台化,27
15,2049,上銀,26
16,2317,鴻海,26
17,2368,金像電,26
18,6451,訊芯-KY,26
19,3715,定穎投控,25
20,1795,美時,24
21,2464,盟立,21
22,3167,大量,21
23,2374,佳能,20
24,3019,亞光,20
25,3533,嘉澤,20
26,6271,同欣電,20
27,1303,南亞,19
28,2409,友達,19
29,2353,宏碁,18
30,3034,聯詠,18
31,3711,日月光投控,18
32,0050,元大台灣50,17
33,1513,中興電,17
34,2345,智邦,17
35,6213,聯茂,17
36,6282,康舒,17
37,6669,緯穎,17
38,1717,長興,16
39,8210,勤誠,16
40,1590,亞德客-KY,15
41,8112,至上,15
42,IX0001,臺股指數,15
43,3044,健鼎,14
44,3231,緯創,14
45,6415,矽力*-KY,14
46,00631L,元大台灣50正2,13
47,1301,台塑,13
48,2027,大成鋼,13
49,00763U,街口道瓊銅,12
50,2355,敬鵬,12
51,5234,達興材料,12
52,1503,士電,10
53,2327,國巨*,10
54,2329,華泰,10
55,3665,貿聯-KY,10
56,6139,亞翔,10
57,6830,汎銓,10
58,1514,亞力,9
59,2002,中鋼,9
60,2371,大同,9
61,6753,龍德造船,9
62,1560,中砂,8
63,1605,華新,8
64,2441,超豐,8
65,3028,增你強,8
66,3033,威健,8
67,3036,文曄,8
68,3532,台勝科,8
69,5243,乙盛-KY,8
70,6239,力成,8
71,6409,旭隼,8
72,1609,大亞,7
73,2233,宇隆,7
74,2324,仁寶,7
75,3450,聯鈞,7
76,4968,立積,7
77,5388,中磊,7
78,00715L,街口布蘭特油正2,6
79,2481,強茂,6
80,3305,昇貿,6
81,4763,材料*-KY,6
82,6197,佳必琪,6
83,6209,今國光,6
84,6472,保瑞,6
85,6805,富世達,6
86,2009,第一銅,5
87,2059,川湖,5
88,2301,光寶科,5
89,2449,京元電子,5
90,2467,志聖,5
91,2605,新興,5
92,2634,漢翔,5
93,3023,信邦,5
94,3376,新日興,5
95,6781,AES-KY,5
96,8103,瀚荃,5
97,00670L,富邦NASDAQ正2,4
98,1504,東元,4
99,1711,永光,4
100,2328,廣宇,4
101,2731,雄獅,4
102,6269,台郡,4
103,8422,可寧衛*,4
104,00674R,元大S&P黃金反1,3
105,00693U,街口S&P黃豆,3
106,00830,國泰費城半導體,3
107,2357,華碩,3
108,2363,矽統,3
109,2377,微星,3
110,2402,毅嘉,3
111,2404,漢唐,3
112,2436,偉詮電,3
113,2457,飛宏,3
114,2618,長榮航,3
115,2881,富邦金,3
116,3008,大立光,3
117,3016,嘉晶,3
118,3055,蔚華科,3
119,4576,大銀微系統,3
120,4585,達明,3
121,5269,祥碩,3
122,6505,台塑化,3
123,6937,天虹,3
124,00640L,富邦日本正2,2
125,00650L,復華香港正2,2
126,2356,英業達,2
127,2359,所羅門,2
128,2360,致茂,2
129,2375,凱美,2
130,2379,瑞昱,2
131,2495,普安,2
132,2603,長榮,2
133,2610,華航,2
134,2885,元大金,2
135,2891,中信金,2
136,3010,華立,2
137,3706,神達,2
138,3708,上緯投控,2
139,4739,康普,2
140,4916,事欣科,2
141,4977,眾達-KY,2
142,5469,瀚宇博,2
143,6414,樺漢,2
144,6706,惠特,2
145,6789,采鈺,2
146,6944,兆聯實業,2
147,8028,昇陽半導體,2
148,8039,台虹,2
149,8081,致新,2
150,8131,福懋科,2
151,0052,富邦科技,1
152,00632R,元大台灣50反1,1
153,00637L,元大滬深300正2,1
154,00638R,元大滬深300反1,1
155,00642U,元大S&P石油,1
156,00655L,國泰中國A50正2,1
157,00664R,國泰臺灣加權反1,1
158,00891,中信關鍵半導體,1
159,00929,復華台灣科技優息,1
160,1101,台泥,1
161,1319,東陽,1
162,1536,和大,1
163,1608,華榮,1
164,1708,東鹼,1
165,2351,順德,1
166,2388,威盛,1
167,2393,億光,1
168,2419,仲琦,1
169,2472,立隆電,1
170,2543,皇昌,1
171,2606,裕民,1
172,2615,萬海,1
173,2887,台新新光金,1
174,2890,永豐金,1
175,3030,德律,1
176,3035,智原,1
177,3062,建漢,1
178,3090,日電貿,1
179,3413,京鼎,1
180,3416,融程電,1
181,3563,牧德,1
182,3605,宏致,1
183,3645,達邁,1
184,3673,TPK-KY,1
185,4571,鈞興-KY,1
186,4746,台耀,1
187,4906,正文,1
188,4919,新唐,1
189,6120,達運,1
190,6191,精成科,1
191,6196,帆宣,1
192,6257,矽格,1
193,6456,GIS-KY,1
194,6862,三集瑞-KY,1
195,6869,雲豹能源,1
196,9904,寶成,1
197,9914,美利達,1
198,9939,宏全,1
199,9945,潤泰新,1
200,9958,世紀鋼,1
201,IX0027,電子類,1
,,合計,"1,792"
