排行,權證標的代號,權證標的名稱,發行檔數
1,3008,大立光,70
2,2330,台積電,61
3,IX0001,臺股指數,55
4,2408,南亞科,46
5,4958,臻鼎-KY,41
6,8261,富鼎,38
7,3017,奇鋐,37
8,6239,力成,36
9,1301,台塑,35
10,2368,金像電,34
11,2337,旺宏,33
12,3711,日月光投控,33
13,8150,南茂,32
14,3042,晶技,31
15,3665,貿聯-KY,28
16,6770,力積電,28
17,0050,元大台灣50,27
18,00631L,元大台灣50正2,27
19,1326,台化,27
20,2472,立隆電,27
21,2379,瑞昱,26
22,2409,友達,24
23,2375,凱美,23
24,6505,台塑化,23
25,8039,台虹,23
26,2634,漢翔,22
27,2645,長榮航太,22
28,4916,事欣科,21
29,2345,智邦,20
30,2404,漢唐,20
31,2449,京元電子,20
32,4919,新唐,20
33,00685L,群益臺灣加權正2,19
34,2363,矽統,19
35,6753,龍德造船,19
36,3006,晶豪科,18
37,6669,緯穎,18
38,6805,富世達,18
39,2313,華通,17
40,2406,國碩,17
41,3605,宏致,17
42,6271,同欣電,17
43,6672,騰輝電子-KY,17
44,1802,台玻,16
45,2317,鴻海,16
46,2464,盟立,16
47,6209,今國光,16
48,6409,旭隼,16
49,6525,捷敏-KY,16
50,3563,牧德,15
51,6139,亞翔,15
52,6257,矽格,15
53,1717,長興,14
54,2395,研華,14
55,2630,亞航,14
56,3413,京鼎,14
57,6196,帆宣,14
58,00981A,主動統一台股增長,13
59,2458,義隆,13
60,6278,台表科,13
61,6789,采鈺,13
62,2428,興勤,12
63,3019,亞光,12
64,7788,松川精密,12
65,8016,矽創,12
66,1795,美時,11
67,2049,上銀,11
68,2351,順德,11
69,2357,華碩,11
70,2359,所羅門,11
71,3406,玉晶光,11
72,4989,榮科,11
73,6197,佳必琪,11
74,2231,為升,10
75,2476,鉅祥,10
76,2484,希華,10
77,2495,普安,10
78,3035,智原,10
79,3533,嘉澤,10
80,6472,保瑞,10
81,00637L,元大滬深300正2,9
82,1727,中華化,9
83,3055,蔚華科,9
84,4739,康普,9
85,5471,松翰,9
86,6191,精成科,9
87,6285,啟碁,9
88,6781,AES-KY,9
89,00632R,元大台灣50反1,8
90,2301,光寶科,8
91,2441,超豐,8
92,3005,神基,8
93,3015,全漢,8
94,3048,益登,8
95,3231,緯創,8
96,3312,弘憶股,8
97,3706,神達,8
98,6719,力智,8
99,8131,福懋科,8
100,1514,亞力,7
101,1609,大亞,7
102,2103,台橡,7
103,2338,光罩,7
104,2367,燿華,7
105,2369,菱生,7
106,2436,偉詮電,7
107,3034,聯詠,7
108,4576,大銀微系統,7
109,4763,材料*-KY,7
110,6202,盛群,7
111,6706,惠特,7
112,00708L,元大S&P黃金正2,6
113,00738U,元大道瓊白銀,6
114,1536,和大,6
115,1597,直得,6
116,2352,佳世達,6
117,2377,微星,6
118,2402,毅嘉,6
119,2603,長榮,6
120,3022,威強電,6
121,3030,德律,6
122,3135,凌航,6
123,3715,定穎投控,6
124,4968,立積,6
125,5434,崇越,6
126,6155,鈞寶,6
127,6412,群電,6
128,00830,國泰費城半導體,5
129,1710,東聯,5
130,1809,中釉,5
131,2401,凌陽,5
132,2474,可成,5
133,2912,統一超,5
134,3003,健和興,5
135,3023,信邦,5
136,3059,華晶科,5
137,3376,新日興,5
138,3617,碩天,5
139,4771,望隼,5
140,4906,正文,5
141,4961,天鈺,5
142,5269,祥碩,5
143,6449,鈺邦,5
144,6526,達發,5
145,6579,研揚,5
146,8105,凌巨,5
147,8210,勤誠,5
148,8271,宇瞻,5
149,8926,台汽電,5
150,9105,泰金寶-DR,5
151,0052,富邦科技,4
152,1503,士電,4
153,1519,華城,4
154,1560,中砂,4
155,1708,東鹼,4
156,2329,華泰,4
157,2399,映泰,4
158,2497,怡利電,4
159,2637,慧洋-KY,4
160,2646,星宇航空,4
161,2851,中再保,4
162,2887,台新新光金,4
163,2890,永豐金,4
164,3004,豐達科,4
