排行,權證標的代號,權證標的名稱,發行檔數
1,2330,台積電,148
2,IX0001,臺股指數,107
3,2408,南亞科,87
4,3006,晶豪科,75
5,2303,聯電,72
6,4958,臻鼎-KY,70
7,2327,國巨*,68
8,2344,華邦電,66
9,2317,鴻海,60
10,3008,大立光,54
11,6669,緯穎,54
12,0050,元大台灣50,50
13,6770,力積電,44
14,00631L,元大台灣50正2,43
15,2454,聯發科,42
16,6285,啟碁,40
17,00981A,主動統一台股增長,39
18,2345,智邦,39
19,2449,京元電子,39
20,2464,盟立,38
21,3481,群創,37
22,2301,光寶科,34
23,2313,華通,34
24,6239,力成,34
25,2368,金像電,33
26,2472,立隆電,33
27,3035,智原,33
28,2485,兆赫,32
29,4967,十銓,32
30,2059,川湖,31
31,2376,技嘉,30
32,2395,研華,30
33,3231,緯創,30
34,8210,勤誠,30
35,3711,日月光投控,29
36,2377,微星,28
37,2404,漢唐,28
38,2492,華新科,28
39,3034,聯詠,27
40,3090,日電貿,27
41,1802,台玻,25
42,8150,南茂,25
43,1560,中砂,23
44,2451,創見,23
45,3661,世芯-KY,23
46,6526,達發,23
47,2356,英業達,22
48,3036,文曄,22
49,2049,上銀,21
50,2481,強茂,21
51,3030,德律,21
52,5269,祥碩,21
53,8028,昇陽半導體,20
54,2367,燿華,19
55,3305,昇貿,19
56,3533,嘉澤,19
57,6197,佳必琪,19
58,6257,矽格,19
59,2355,敬鵬,18
60,2363,矽統,18
61,2388,威盛,18
62,2409,友達,18
63,6271,同欣電,18
64,00632R,元大台灣50反1,17
65,1519,華城,17
66,2316,楠梓電,17
67,3665,貿聯-KY,17
68,2354,鴻準,16
69,3033,威健,16
70,4977,眾達-KY,16
71,2351,順德,15
72,2357,華碩,15
73,3406,玉晶光,15
74,3563,牧德,15
75,3673,TPK-KY,15
76,6719,力智,15
77,8261,富鼎,15
78,1717,長興,14
79,2441,超豐,14
80,6282,康舒,14
81,2324,仁寶,13
82,2478,大毅,13
83,4722,國精化,13
84,6196,帆宣,13
85,6412,群電,13
86,6449,鈺邦,13
87,6472,保瑞,13
88,6781,AES-KY,13
89,1582,信錦,12
90,1605,華新,12
91,2375,凱美,12
92,3048,益登,12
93,8016,矽創,12
94,2379,瑞昱,11
95,6937,天虹,11
96,2312,金寶,10
97,2359,所羅門,10
98,4906,正文,10
99,6414,樺漢,10
100,6706,惠特,10
101,6715,嘉基,10
102,7749,意騰-KY,10
103,2328,廣宇,9
104,4585,達明,9
105,5284,jpp-KY,9
106,6139,亞翔,9
107,1303,南亞,8
108,2233,宇隆,8
109,2401,凌陽,8
110,2421,建準,8
111,2476,鉅祥,8
112,2498,宏達電,8
113,2615,萬海,8
114,3044,健鼎,8
115,3702,大聯大,8
116,6116,彩晶,8
117,6209,今國光,8
118,6215,和椿,8
119,00663L,國泰臺灣加權正2,7
120,00680L,元大美債20正2,7
121,00830,國泰費城半導體,7
122,2027,大成鋼,7
123,2458,義隆,7
124,2603,長榮,7
125,3016,嘉晶,7
126,3019,亞光,7
127,3059,華晶科,7
128,6176,瑞儀,7
129,8114,振樺電,7
130,2428,興勤,6
131,2493,揚博,6
132,3376,新日興,6
133,4770,上品,6
134,5243,乙盛-KY,6
135,00708L,元大S&P黃金正2,5
136,1503,士電,5
137,1514,亞力,5
138,2340,台亞,5
139,2353,宏碁,5
140,3515,華擎,5
141,5234,達興材料,5
142,0052,富邦科技,4
143,00664R,國泰臺灣加權反1,4
144,00693U,街口S&P黃豆,4
145,00715L,街口布蘭特油正2,4
146,00738U,元大道瓊白銀,4
147,1597,直得,4
148,2231,為升,4
149,2436,偉詮電,4
150,2881,富邦金,4
151,3017,奇鋐,4
152,3023,信邦,4
153,3715,定穎投控,4
154,4551,智伸科,4
155,4739,康普,4
156,4961,天鈺,4
157,6191,精成科,4
158,6206,飛捷,4
159,8081,致新,4
160,8131,福懋科,4
161,00637L,元大滬深300正2,3
162,00642U,元大S&P石油,3
163,00655L,國泰中國A50正2,3
164,00885,富邦越南,3
165,00982A,主動群益台灣強棒,3
166,1504,東元,3
167,1513,中興電,3
168,1795,美時,3
169,1905,華紙,3
170,2352,佳世達,3
171,2369,菱生,3
172,2374,佳能,3
173,2609,陽明,3
174,2882,國泰金,3
175,3010,華立,3
176,3028,增你強,3
177,3209,全科,3
178,3413,京鼎,3
179,3605,宏致,3
180,3706,神達,3
181,4571,鈞興-KY,3
182,4583,台灣精銳,3
183,8039,台虹,3
184,8110,華東,3
185,IX0027,電子類,3
186,00635U,元大S&P黃金,2
187,00673R,元大S&P原油反1,2
188,00706L,元大S&P日圓正2,2
189,2329,華泰,2
190,2543,皇昌,2
191,2891,中信金,2
192,3005,神基,2
193,3014,聯陽,2
194,3416,融程電,2
195,3545,敦泰,2
196,3645,達邁,2
197,3701,大眾控,2
198,4938,和碩,2
199,6202,盛群,2
200,6409,旭隼,2
201,6672,騰輝電子-KY,2
202,6944,兆聯實業,2
203,6962,奕力-KY,2
204,8070,長華*,2
