股票代號,股票名稱,融資買進,融資賣出,融資現金償還,融資前日餘額,融資今日餘額,融資限額,融券買進,融券賣出,融券現券償還,融券前日餘額,融券今日餘額,融券限額,資券互抵,註記
"00400A","主動國泰動能高息","1109","827","5","12076","12353","453410","","8","","","8","453410","6"," "
"00401A","主動摩根台灣鑫收","7","28","","1122","1101","60223","","","","2","2","60223",""," "
"00402A","主動安聯美國科技","1","6","","3456","3451","192656","","","","1","1","192656",""," "
"00403A","主動統一升級50","2018","3022","43","108131","107084","3882754","49","72","","1232","1255","3882754","77"," "
"00404A","主動聯博動能50","24","51","","2385","2358","84948","","","","","","84948",""," "
"00405A","主動富邦台灣龍耀","727","2159","5","24551","23114","737936","150","425","","420","695","737936","291"," "
"00406A","主動中信台灣收益","45","187","","5876","5734","194640","","","","","","194640","10"," "
"00407A","主動凱基台灣","521","911","","43199","42809","674309","13","27","","59","73","674309",""," "
"0050","元大台灣50","282","375","12","13411","13306","5233875","48","22","","968","942","5233875","14"," "
"0051","元大中型100","","","","3","3","6125","","","","","","6125",""," "
"0052","富邦科技","414","1060","21","11598","10931","643625","4","11","","75","82","643625","17"," "
"0053","元大電子","","","","12","12","1372","","","","","","1372",""," "
"0055","元大MSCI金融","24","46","3","218","193","22538","","","","","","22538",""," "
"0056","元大高股息","281","114","3","7701","7865","3450883","2","","1","48","45","3450883","2"," "
"0057","富邦摩台","","","","","","381","","","","","","381",""," "
"0061","元大寶滬深","","1","","16","15","24404","","","","","","24404",""," "
"006203","元大MSCI台灣","","","","","","2554","","","","","","2554",""," "
"006204","永豐臺灣加權","","","","","","375","","","","","","375",""," "
"006205","富邦上証","","","","50","50","23984","","","","1","1","23984",""," "
"006206","元大上證50","","","","8","8","6944","","","","","","6944",""," "
"006207","復華滬深","","","","2","2","5223","","","","","","5223",""," "
"006208","富邦台50","9","13","","321","317","457385","","","","15","15","457385","","X "
"00631L","元大台灣50正2","9012","12958","115","232104","228043","1666837","822","766","","18059","18003","1666837","1011"," "
"00632R","元大台灣50反1","12202","9710","77","287616","290031","594801","7","58","","7751","7802","594801","324"," "
"00633L","富邦上証正2","136","36","","7410","7510","29614","10","1","","665","656","29614","28"," "
"00634R","富邦上証反1","","","","2120","2120","11814","","","","","","11814",""," "
"00635U","期元大S&P黃金","94","177","","7066","6983","75878","10","6","","272","268","75878",""," "
"00636","國泰中國A50","1","","","121","122","24706","","","","","","24706",""," "
"00637L","元大滬深300正2","519","497","","84219","84241","190276","66","31","","8559","8524","190276","206"," "
"00638R","元大滬深300反1","","","","719","719","6112","","","","4","4","6112",""," "
"00639","富邦深100","5","","","524","529","24600","","","","7","7","24600",""," "
"00640L","富邦日本正2","4","1","","214","217","1854","","","","48","48","1854",""," "
"00641R","富邦日本反1","136","165","","10530","10501","19939","","","","507","507","19939","10"," "
"00642U","期元大S&P石油","272","583","","3448","3137","26330","432","8","","1437","1013","26330","12"," "
"00643","群益深証中小","","","","886","886","18125","","","","","","18125",""," "
"00645","富邦日本","","","","20","20","10999","","","","","","10999",""," "
"00646","元大S&P500","","1","","66","65","141371","","","","2","2","141371",""," "
"00647L","元大S&P500正2","1","","","42","43","1604","","","","","","1604",""," "
"00648R","元大S&P500反1","29","90","","11030","10969","35172","","","","210","210","35172",""," "
"00650L","復華香港正2","317","301","","16656","16672","34459","14","20","","593","599","34459","14"," "
"00651R","復華香港反1","72","","","1403","1475","8048","","","15","109","94","8048",""," "
"00652","富邦印度","","1","","56","55","16508","","","","","","16508",""," "
"00653L","富邦印度正2","7","78","","2403","2332","3850","1","","","5","4","3850","1"," "
"00654R","富邦印度反1","2","","","545","547","4866","","","","62","62","4866",""," "
"00655L","國泰中國A50正2","11","36","","2097","2072","14614","1","1","","245","245","14614",""," "
"00656R","國泰中國A50反1","","","","153","153","5089","","","","","","5089",""," "
"00657","國泰日經225","","","","","","1646","","","","","","1646",""," "
"00660","元大歐洲50","","","","","","1882","","","","","","1882",""," "
"00661","元大日經225","","","","13","13","5856","","","","","","5856",""," "
"00662","富邦NASDAQ","1","5","","1130","1126","216132","","","","6","6","216132",""," "
"00663L","國泰臺灣加權正2","254","248","12","9259","9253","36165","33","129","","1769","1865","36165","21"," "
"00664R","國泰臺灣加權反1","1094","5047","55","94404","90396","196393","","2","","824","826","196393","48"," "
"00665L","富邦恒生國企正2","1052","3954","","78114","75212","134241","78","5","","921","848","134241","251"," "
"00666R","富邦恒生國企反1","","","","371","371","3656","","","","12","12","3656",""," "
"00668","國泰美國道瓊","","","","","","1870","","","","","","1870",""," "
"00669R","國泰美國道瓊反1","12","237","","14685","14460","51279","","","","116","116","51279","1"," "
"00670L","富邦NASDAQ正2","38","4","6","1107","1135","18536","","5","","152","157","18536",""," "
"00671R","富邦NASDAQ反1","","602","","127198","126596","135096","","","","2526","2526","135096","","O "
"00673R","期元大S&P原油反1","1132","2426","10","44581","43277","118512","24","103","","700","779","118512","61"," "
"00674R","期元大S&P黃金反1","1","13","","353","341","3855","","","","9","9","3855",""," "
"00675L","富邦臺灣加權正2","47","46","","2904","2905","27196","6","35","","332","361","27196","8"," "
"00676R","富邦臺灣加權反1","489","78","","18489","18900","43208","","","","350","350","43208",""," "
"00678","群益那斯達克生技","2","3","","31","30","2112","","","","","","2112",""," "
"00680L","元大美債20正2","338","165","","66775","66948","376269","10","","","631","621","376269",""," "
"00681R","元大美債20反1","","","","7","7","1898","","","","","","1898",""," "
"00682U","期元大美元指數","","","","12","12","1911","","","","","","1911",""," "
"00683L","期元大美元指正2","","","","105","105","2858","","","","","","2858",""," "
"00684R","期元大美元指反1","","","","21","21","2422","","","","","","2422",""," "
"00685L","群益臺灣加權正2","8636","6227","17","128516","130908","1143834","290","3289","","2364","5363","1143834","276"," "
"00686R","群益臺灣加權反1","1412","254","","13948","15106","47944","","31","","48","79","47944","1"," "
"00688L","國泰20年美債正2","198","19","","24944","25123","159903","","","","58","58","159903",""," "
"00689R","國泰20年美債反1","","","","","","1722","","","","","","1722","","X "
"00690","兆豐藍籌30","2","","","93","95","20207","","","","","","20207",""," "
"00692","富邦公司治理","","","","79","79","153570","","","","","","153570","","X "
"00693U","期街口S&P黃豆","11","56","","2520","2475","21291","","","","1","1","21291",""," "
"00700","富邦恒生國企","","","","185","185","8745","","","","","","8745",""," "
"00701","國泰股利精選30","7","","","22","29","43347","","","","","","43347",""," "
"00702","國泰標普低波高息","1","","","","1","1672","","","","","","1672","","X "
"00703","台新MSCI中國","","","","1","1","2387","","","","","","2387",""," "
"00706L","期元大S&P日圓正2","190","110","","7470","7550","39442","","","","359","359","39442",""," "
"00707R","期元大S&P日圓反1","","","","","","1463","","","","","","1463","","X "
"00708L","期元大S&P黃金正2","358","342","105","11160","11071","31143","9","21","","815","827","31143","9"," "
"00709","富邦歐洲","","","","3","3","3865","","","","","","3865",""," "
"00710B","復華彭博非投等債","","","","10","10","45190","","","","","","45190",""," "
"00711B","復華彭博新興債","","","","3","3","218065","","","","","","218065",""," "
"00712","復華富時不動產","48","839","","15839","15048","1311377","","","","7","7","1311377",""," "
"00713","元大台灣高息低波","","1","","248","247","435253","","","","","","435253",""," "
"00714","群益道瓊美國地產","","","","2","2","5266","","","","","","5266","","X "
"00715L","期街口布蘭特正2","1700","1881","1","13342","13160","31422","87","1025","","3661","4599","31422","35"," "
"00717","富邦美國特別股","","","","","","31401","","","","","","31401","","X "
"00728","第一金工業30","","","","2","2","9605","","","","","","9605",""," "
"00730","富邦臺灣優質高息","1","","","12","13","17761","","","","","","17761","","X "
"00731","復華富時高息低波","","","","3","3","5525","","","","","","5525",""," "
"00733","富邦臺灣中小","","4","5","81","72","16491","1","","","10","9","16491",""," "
"00735","國泰臺韓科技","105","92","25","4033","4021","27072","3","7","1","12","15","27072","4","X "
"00736","國泰新興市場","","","","","","1556","","","","","","1556","","X "
"00737","國泰AI機器人","","6","","64","58","5634","","","","","","5634",""," "
"00738U","期元大道瓊白銀","403","370","6","13371","13398","62074","55","68","","402","415","62074","101"," "
"00739","元大MSCI A股","","","","","","6497","","","","","","6497",""," "
"00752","中信中國50","12","9","","858","861","72554","","1","","5","6","72554",""," "
"00753L","中信中國50正2","1316","2355","7","91284","90238","192289","15","180","","1115","1280","192289","27"," "
"00757","統一FANG+","","20","","496","476","69373","","","","16","16","69373",""," "
"00762","元大全球AI","","1","","56","55","12062","","","","","","12062",""," "
"00763U","期街口道瓊銅","3","15","","1526","1514","12391","","","","94","94","12391","20"," "
"00770","國泰北美科技","10","","","49","59","19864","","","","","","19864",""," "
