股票代號,股票名稱,融資買進,融資賣出,融資現金償還,融資前日餘額,融資今日餘額,融資限額,融券買進,融券賣出,融券現券償還,融券前日餘額,融券今日餘額,融券限額,資券互抵,註記
"00400A","主動國泰動能高息","3862","1192","5","10971","13636","542410","","","2","2","","542410","","X "
"00401A","主動摩根台灣鑫收","52","9","","1314","1357","58848","","1","","1","2","58848",""," "
"00402A","主動安聯美國科技","4","119","","2386","2271","185281","","","","1","1","185281","5"," "
"00403A","主動統一升級50","35559","13632","351","143191","164767","4570629","292","177","6","1603","1482","4570629","286"," "
"00404A","主動聯博動能50","178","131","","2108","2155","92573","1","","","1","","92573",""," "
"00405A","主動富邦台灣龍耀","9128","3728","79","35762","41083","918186","282","87","","894","699","918186","109"," "
"00406A","主動中信台灣收益","3161","2462","5","15430","16124","447265","","6","","","6","447265","49"," "
"00407A","主動凱基台灣","2618","2731","","37475","37362","808684","18","29","","114","125","808684","1"," "
"00408A","主動第一金優股息","5","11","","256","250","42783","","","","","","42783",""," "
"00410A","主動永豐科技趨勢","","","","","","70590","","","","","","70590",""," "
"0050","元大台灣50","6158","6386","70","33974","33676","5621750","149","404","","585","840","5621750","338"," "
"0051","元大中型100","","","","6","6","6125","","","","","","6125",""," "
"0052","富邦科技","709","791","30","12872","12760","676750","14","18","","67","71","676750","5"," "
"0053","元大電子","3","","","14","17","1372","","","","","","1372",""," "
"0055","元大MSCI金融","19","9","","51","61","22413","","","","","","22413",""," "
"0056","元大高股息","508","873","26","9655","9264","3589508","52","141","","84","173","3589508","2"," "
"0057","富邦摩台","","","","","","381","","","","","","381",""," "
"0061","元大寶滬深","","","","13","13","24154","","","","","","24154",""," "
"006203","元大MSCI台灣","","","","","","2554","","","","","","2554",""," "
"006204","永豐臺灣加權","","","","","","375","","","","","","375",""," "
"006205","富邦上証","","3","","68","65","23734","","","","1","1","23734",""," "
"006206","元大上證50","","","","8","8","6819","","","","","","6819",""," "
"006207","復華滬深","","","","2","2","5223","","","","","","5223",""," "
"006208","富邦台50","42","41","","472","473","466510","","1","","1","2","466510",""," "
"00631L","元大台灣50正2","45888","41163","241","283412","287896","1980837","3982","7133","","12849","16000","1980837","2509"," "
"00632R","元大台灣50反1","41357","28447","108","230312","243114","525426","7349","260","","19241","12152","525426","857"," "
"00633L","富邦上証正2","59","380","","8090","7769","29614","9","8","","751","750","29614","9"," "
"00634R","富邦上証反1","11","56","","2261","2216","11814","","","","17","17","11814",""," "
"00635U","期元大S&P黃金","47","151","","6623","6519","75503","6","","","239","233","75503",""," "
"00636","國泰中國A50","","","","164","164","23956","","","","","","23956",""," "
"00637L","元大滬深300正2","575","2890","37","88925","86573","185526","15","23","","7011","7019","185526","45"," "
"00638R","元大滬深300反1","100","1","","786","885","6112","","","","4","4","6112","1"," "
"00639","富邦深100","20","41","","366","345","24350","","","","8","8","24350",""," "
"00640L","富邦日本正2","8","4","","149","153","1729","","","","36","36","1729",""," "
"00641R","富邦日本反1","75","143","","10547","10479","20189","","15","","512","527","20189",""," "
"00642U","期元大S&P石油","149","193","","3384","3340","22205","32","7","","750","725","22205",""," "
"00643","群益深証中小","","","","440","440","18250","","","","","","18250",""," "
"00645","富邦日本","1","10","","30","21","10874","","","","","","10874",""," "
"00646","元大S&P500","4","21","","79","62","142746","","","","2","2","142746",""," "
"00647L","元大S&P500正2","1","1","","30","30","1604","","","","","","1604",""," "
"00648R","元大S&P500反1","962","3536","1","14916","12341","35547","","","","115","115","35547","350"," "
"00650L","復華香港正2","361","366","","10991","10986","26084","4","34","","1367","1397","26084",""," "
"00651R","復華香港反1","3","","","1546","1549","8048","15","","","71","56","8048",""," "
"00652","富邦印度","1","1","","33","33","16133","","","","","","16133",""," "
"00653L","富邦印度正2","3","3","3","2319","2316","3600","","","","1","1","3600","","@ "
"00654R","富邦印度反1","","6","","645","639","4866","15","","","80","65","4866",""," "
"00655L","國泰中國A50正2","27","77","","2017","1967","14489","2","2","","212","212","14489","1"," "
"00656R","國泰中國A50反1","","","","164","164","5089","1","","","1","","5089",""," "
"00657","國泰日經225","","","","","","1646","","","","","","1646",""," "
"00660","元大歐洲50","6","","","","6","1882","","","","","","1882",""," "
"00661","元大日經225","","","","18","18","5856","","","","","","5856",""," "
"00662","富邦NASDAQ","3","6","","1253","1250","217507","1","","","7","6","217507",""," "
"00663L","國泰臺灣加權正2","1926","1346","1","11618","12197","43915","700","543","","1644","1487","43915","40"," "
"00664R","國泰臺灣加權反1","7354","3638","28","60461","64149","179643","682","40","","1377","735","179643","633"," "
"00665L","富邦恒生國企正2","1018","2275","20","56372","55095","104991","114","69","","1998","1953","104991","15"," "
"00666R","富邦恒生國企反1","25","1","","702","726","3656","","","","12","12","3656",""," "
"00668","國泰美國道瓊","","","","12","12","1870","","","","","","1870",""," "
"00669R","國泰美國道瓊反1","92","499","","14288","13881","51279","1","","","68","67","51279",""," "
"00670L","富邦NASDAQ正2","99","38","","1144","1205","19036","8","7","","135","134","19036","1"," "
"00671R","富邦NASDAQ反1","","120","","123423","123303","133971","84","90","","2342","2348","133971","","O "
"00673R","期元大S&P原油反1","1497","3574","","54123","52046","137887","3","27","","239","263","137887","6"," "
"00674R","期元大S&P黃金反1","","11","","185","174","3855","1","","","18","17","3855",""," "
"00675L","富邦臺灣加權正2","218","332","3","3388","3271","28946","77","94","1","297","313","28946","14"," "
"00676R","富邦臺灣加權反1","2972","540","","16835","19267","40333","374","","","909","535","40333","11"," "
"00678","群益那斯達克生技","","2","","29","27","2112","","","","","","2112",""," "
"00680L","元大美債20正2","775","874","2","65140","65039","372394","5","6","","120","121","372394",""," "
"00681R","元大美債20反1","","","","4","4","1898","","","","","","1898",""," "
"00682U","期元大美元指數","","","","44","44","1911","","","","","","1911",""," "
"00683L","期元大美元指正2","","","","82","82","2858","","","","","","2858",""," "
"00684R","期元大美元指反1","","","","21","21","2422","","","","","","2422",""," "
"00685L","群益臺灣加權正2","27549","42966","89","225928","210422","1703834","4503","3618","10","8093","7198","1703834","1352"," "
"00686R","群益臺灣加權反1","2482","6940","","16795","12337","52444","32","","","105","73","52444","180"," "
"00688L","國泰20年美債正2","562","55","","28128","28635","158278","1","","","6","5","158278",""," "
"00689R","國泰20年美債反1","","","","","","1722","","","","","","1722","","X "
"00690","兆豐藍籌30","7","4","","84","87","21082","","","","","","21082",""," "
"00692","富邦公司治理","","2","","103","101","153820","","","","","","153820",""," "
"00693U","期街口S&P黃豆","23","19","","1911","1915","19041","","","","7","7","19041",""," "
"00700","富邦恒生國企","","3","","165","162","8745","","","","","","8745",""," "
"00701","國泰股利精選30","","5","","20","15","42722","","","","","","42722",""," "
"00702","國泰標普低波高息","","","","","","1672","","","","","","1672","","X "
