股票代號,股票名稱,融資買進,融資賣出,融資現金償還,融資前日餘額,融資今日餘額,融資限額,融券買進,融券賣出,融券現券償還,融券前日餘額,融券今日餘額,融券限額,資券互抵,註記
"00400A","主動國泰動能高息","425","117","100","11446","11654","489410","27","","","55","28","489410","2"," "
"00401A","主動摩根台灣鑫收","24","1","","1144","1167","57598","","","","2","2","57598",""," "
"00402A","主動安聯美國科技","5","8","","2343","2340","186906","","","","","","186906",""," "
"00403A","主動統一升級50","8525","3173","8","118694","124038","4225504","111","155","","1695","1739","4225504","63"," "
"00404A","主動聯博動能50","18","2","","2195","2211","91073","","","","","","91073",""," "
"00405A","主動富邦台灣龍耀","4414","406","2","25116","29122","832061","85","397","","197","509","832061","91"," "
"00406A","主動中信台灣收益","2112","99","20","9262","11255","320640","","","","","","320640","2","X "
"00407A","主動凱基台灣","813","1854","","41509","40468","756809","1","13","","139","151","756809",""," "
"00408A","主動第一金優股息","10","","","134","144","42033","","","","","","42033",""," "
"0050","元大台灣50","1272","17588","7","48790","32467","5407625","49","139","1","107","196","5407625","21"," "
"0051","元大中型100","","","","3","3","6125","","","","","","6125",""," "
"0052","富邦科技","377","214","","11667","11830","657500","6","12","","88","94","657500","2"," "
"0053","元大電子","","","","14","14","1372","","","","","","1372",""," "
"0055","元大MSCI金融","","","","49","49","22413","","","","","","22413",""," "
"0056","元大高股息","285","208","1","8589","8665","3550008","3","6","","20","23","3550008","2"," "
"0057","富邦摩台","","","","","","381","","","","","","381",""," "
"0061","元大寶滬深","","","","15","15","24154","","","","","","24154",""," "
"006203","元大MSCI台灣","","","","","","2554","","","","","","2554",""," "
"006204","永豐臺灣加權","","","","","","375","","","","","","375",""," "
"006205","富邦上証","","","","75","75","23734","","","","1","1","23734",""," "
"006206","元大上證50","","","","8","8","6819","","","","","","6819",""," "
"006207","復華滬深","","","","2","2","5223","","","","","","5223",""," "
"006208","富邦台50","21","2","2","391","408","461135","1","","","3","2","461135",""," "
"00631L","元大台灣50正2","14297","8172","61","253145","259209","1865837","2037","2863","1","16646","17471","1865837","1111"," "
"00632R","元大台灣50反1","10739","16978","7","311418","305172","600676","44","994","","6663","7613","600676","920"," "
"00633L","富邦上証正2","44","9","","7483","7518","29614","3","1","","780","778","29614",""," "
"00634R","富邦上証反1","1","1","","2188","2188","11814","","","","","","11814",""," "
"00635U","期元大S&P黃金","74","55","1","6799","6817","76253","16","1","","268","253","76253",""," "
"00636","國泰中國A50","","","","147","147","24081","","","","","","24081",""," "
"00637L","元大滬深300正2","328","142","2","82885","83069","183151","50","39","","8408","8397","183151","14"," "
