股票代號,股票名稱,融資買進,融資賣出,融資現金償還,融資前日餘額,融資今日餘額,融資限額,融券買進,融券賣出,融券現券償還,融券前日餘額,融券今日餘額,融券限額,資券互抵,註記
"00400A","主動國泰動能高息","185","636","26","10935","10458","377410","11","30","","37","56","377410","4"," "
"00401A","主動摩根台灣鑫收","1","3","","897","895","64348","","3","","","3","64348",""," "
"00402A","主動安聯美國科技","717","1082","","5217","4852","232906","","","3260","3260","","232906","3"," "
"00403A","主動統一升級50","12400","3280","19","131287","140388","4398879","117","1250","","1187","2320","4398879","399"," "
"00404A","主動聯博動能50","269","5","2","1137","1399","69448","","","","","","69448",""," "
"00405A","主動富邦台灣龍耀","12449","1464","2","21992","32975","614436","1436","110","","7947","6621","614436","75"," "
"00406A","主動中信台灣收益","1491","","","","1491","186640","","","","","","186640","2"," "
"0050","元大台灣50","1725","504","20","11182","12383","5096000","310","64","","1422","1176","5096000","89"," "
"0051","元大中型100","1","2","","6","5","6125","","","","","","6125",""," "
"0052","富邦科技","404","405","2","11121","11118","638125","21","27","","79","85","638125","26"," "
"0053","元大電子","","","","10","10","1372","","","","","","1372",""," "
"0055","元大MSCI金融","15","63","","236","188","21038","","","","","","21038",""," "
"0056","元大高股息","379","186","2","4275","4466","3396883","17","8","","215","206","3396883","5"," "
"0057","富邦摩台","","","","","","381","","","","","","381",""," "
"0061","元大寶滬深","","","","25","25","25154","","","","","","25154",""," "
"006203","元大MSCI台灣","","","","","","2554","","","","","","2554",""," "
"006204","永豐臺灣加權","","","","","","375","","","","","","375",""," "
"006205","富邦上証","","","","20","20","24359","","","","1","1","24359",""," "
"006206","元大上證50","","1","","12","11","7194","","","","","","7194",""," "
"006207","復華滬深","","","","3","3","5348","","","","","","5348",""," "
"006208","富邦台50","11","7","","264","268","457385","","","","29","29","457385",""," "
"00631L","元大台灣50正2","17844","14669","487","182014","184702","1453337","2543","2033","","15372","14862","1453337","1230"," "
"00632R","元大台灣50反1","26301","36182","30","298459","288548","585176","79","642","","5837","6400","585176","825"," "
"00633L","富邦上証正2","41","33","1","7393","7400","29364","2","6","","724","728","29364","2"," "
"00634R","富邦上証反1","1","","","2131","2132","11814","","","","","","11814",""," "
"00635U","期元大S&P黃金","246","43","10","5013","5206","71003","3","101","","274","372","71003","1"," "
"00636","國泰中國A50","","","","81","81","25581","","","","","","25581",""," "
"00637L","元大滬深300正2","920","245","","75248","75923","190026","40","35","","10210","10205","190026","638"," "
"00638R","元大滬深300反1","","46","","898","852","6737","","","","4","4","6737",""," "
"00639","富邦深100","","4","","513","509","26350","","","","7","7","26350",""," "
"00640L","富邦日本正2","67","1","","190","256","1854","","","","56","56","1854",""," "
"00641R","富邦日本反1","48","166","","8610","8492","18689","","","","510","510","18689",""," "
"00642U","期元大S&P石油","462","727","3","7974","7706","27205","30","45","","2668","2683","27205",""," "
"00643","群益深証中小","","","","1048","1048","19518","","","","","","19518",""," "
"00645","富邦日本","","","","20","20","11374","","","","","","11374",""," "
"00646","元大S&P500","55","","","44","99","140871","3","","","5","2","140871",""," "
"00647L","元大S&P500正2","","","","45","45","1604","","","","","","1604",""," "
"00648R","元大S&P500反1","42","2607","","11997","9432","36672","","8","","155","163","36672",""," "
"00650L","復華香港正2","189","485","","18419","18123","31959","38","5","","884","851","31959","12"," "
"00651R","復華香港反1","20","27","","1813","1806","8048","","","","240","240","8048",""," "
"00652","富邦印度","","","","165","165","16883","","","","","","16883",""," "
"00653L","富邦印度正2","7","","","2477","2484","4225","","2","","1","3","4225",""," "
"00654R","富邦印度反1","5","3","","659","661","4866","","","","65","65","4866",""," "
"00655L","國泰中國A50正2","17","37","","2144","2124","14864","1","1","34","326","292","14864",""," "
"00656R","國泰中國A50反1","","","","253","253","5089","","","","","","5089",""," "
"00657","國泰日經225","","","","","","1646","","","","","","1646",""," "
"00660","元大歐洲50","","","","","","1882","","","","","","1882",""," "
"00661","元大日經225","1","","","12","13","5856","","","","","","5856",""," "
"00662","富邦NASDAQ","3","1","","993","995","198132","","","","1","1","198132",""," "
"00663L","國泰臺灣加權正2","990","228","4","6941","7699","38415","290","196","","1677","1583","38415","172"," "
"00664R","國泰臺灣加權反1","3977","17732","","114614","100859","195643","11","45","","1449","1483","195643","509"," "
"00665L","富邦恒生國企正2","2191","1479","40","85512","86184","122741","33","6","","555","528","122741","63","@ "
"00666R","富邦恒生國企反1","","","","414","414","3656","","","","12","12","3656",""," "
"00668","國泰美國道瓊","69","","","10","79","1883","","","","","","1883",""," "
"00669R","國泰美國道瓊反1","39","551","","15544","15032","52154","","1","","119","120","52154",""," "
"00670L","富邦NASDAQ正2","48","29","","1066","1085","18536","5","3","","151","149","18536",""," "
"00671R","富邦NASDAQ反1","","70","","130714","130644","136346","2","6","","2672","2676","136346","","O "
"00673R","期元大S&P原油反1","2709","2342","","86889","87256","176262","14","1","","691","678","176262",""," "
"00674R","期元大S&P黃金反1","65","30","","153","188","4105","","","","","","4105",""," "
"00675L","富邦臺灣加權正2","677","96","","1914","2495","29071","20","3","","390","373","29071","8"," "
"00676R","富邦臺灣加權反1","831","1850","","22437","21418","43208","1","18","","351","368","43208","30"," "
"00678","群益那斯達克生技","","","","17","17","1987","","","","","","1987",""," "
"00680L","元大美債20正2","346","602","1","70798","70541","423269","","26","","523","549","423269",""," "
"00681R","元大美債20反1","","","","25","25","1898","","","","","","1898",""," "
"00682U","期元大美元指數","","","","5","5","1911","","","","","","1911",""," "
"00683L","期元大美元指正2","6","2","","93","97","2858","","","","1","1","2858",""," "
"00684R","期元大美元指反1","","","","21","21","2422","","","","","","2422",""," "
"00685L","群益臺灣加權正2","230","218","4","2079","2087","21159","71","88","","78","95","21159","27"," "
"00686R","群益臺灣加權反1","601","701","","16583","16483","46569","","","","69","69","46569","155"," "
"00688L","國泰20年美債正2","5","262","","26365","26108","174778","","","","60","60","174778",""," "
"00689R","國泰20年美債反1","","","","1","1","1722","","","","","","1722",""," "
"00690","兆豐藍籌30","1","1","","73","73","20082","","","","","","20082",""," "
"00692","富邦公司治理","","3","","58","55","153695","","","","","","153695",""," "
"00693U","期街口S&P黃豆","91","107","","2875","2859","23041","","","","1","1","23041",""," "
"00700","富邦恒生國企","","4","","187","183","8870","","","","","","8870","1"," "
"00701","國泰股利精選30","","8","","29","21","43847","","","","","","43847",""," "
"00702","國泰標普低波高息","","","","","","1672","","","","","","1672",""," "
"00703","台新MSCI中國","","","","1","1","2387","","","","","","2387",""," "
"00706L","期元大S&P日圓正2","76","14","","5103","5165","39067","13","","","53","40","39067",""," "
"00707R","期元大S&P日圓反1","","","","","","1463","","","","","","1463","","X "
"00708L","期元大S&P黃金正2","970","588","29","8381","8734","27018","14","43","","746","775","27018","2"," "
"00709","富邦歐洲","","","","2","2","3865","","","","","","3865",""," "
"00710B","復華彭博非投等債","","","","10","10","45315","","","","","","45315","","X "
"00711B","復華彭博新興債","","","","3","3","218065","","","","","","218065","","X "
"00712","復華富時不動產","181","165","15","17216","17217","1324877","","","","","","1324877","","X "
"00713","元大台灣高息低波","8","4","","127","131","443878","","","","","","443878",""," "
"00714","群益道瓊美國地產","","","","16","16","5516","","","","","","5516",""," "
"00715L","期街口布蘭特正2","882","1427","8","14875","14322","31422","63","209","","5224","5370","31422","44"," "
"00717","富邦美國特別股","","","","","","31651","","","","","","31651","","X "
"00728","第一金工業30","","","","","","9730","","","","","","9730","","X "
"00730","富邦臺灣優質高息","","","","2","2","18636","","","","","","18636","","X "
"00731","復華富時高息低波","","","","3","3","6150","","","","","","6150",""," "
"00733","富邦臺灣中小","19","4","","66","81","17741","","4","","5","9","17741","1"," "
"00735","國泰臺韓科技","159","368","","3536","3327","25697","20","5","","56","41","25697","12"," "
"00736","國泰新興市場","","","","","","1556","","","","","","1556",""," "
"00737","國泰AI機器人","","","","68","68","5634","","","","","","5634",""," "
"00738U","期元大道瓊白銀","231","294","17","12832","12752","59449","34","19","","386","371","59449",""," "
"00739","元大MSCI A股","","","","","","6497","","","","","","6497",""," "
"00752","中信中國50","2","3","","1203","1202","75679","4","","","6","2","75679",""," "
"00753L","中信中國50正2","1047","748","41","101415","101673","183164","47","51","1","998","1001","183164","204"," "
"00757","統一FANG+","1","6","2","374","367","72873","","","","6","6","72873","4"," "
"00762","元大全球AI","","3","","46","43","11812","","","","","","11812",""," "
"00763U","期街口道瓊銅","59","39","","1573","1593","12766","1","","","106","105","12766",""," "
"00770","國泰北美科技","5","","","40","45","20364","","","","","","20364",""," "
"00771","元大US高息特別股","","","","1","1","3556","","","","","","3556",""," "
"00775B","台新投等債15+","","","","","","58025","","","","","","58025","","X "
"00783","富邦中証500","","","","446","446","2257","","","","","","2257",""," "
"00830","國泰費城半導體","96","169","7","3440","3360","173616","29","41","","286","298","173616","4"," "
"00850","元大臺灣ESG永續","1","","","6","7","104111","","","","","","104111",""," "
