股票代號,股票名稱,融資買進,融資賣出,融資現金償還,融資前日餘額,融資今日餘額,融資限額,融券買進,融券賣出,融券現券償還,融券前日餘額,融券今日餘額,融券限額,資券互抵,註記
"00400A","主動國泰動能高息","2419","3313","","15178","14284","376160","","5","","34","39","376160","69"," "
"00401A","主動摩根台灣鑫收","6","1","","942","947","63223","","","","","","63223",""," "
"00403A","主動統一升級50","10494","9849","855","162453","162243","4449254","122","218","","1396","1492","4449254","290"," "
"0050","元大台灣50","734","1377","18","9838","9177","4787750","21","47","","1303","1329","4787750","16"," "
"0051","元大中型100","1","2","","14","13","6125","","","","","","6125",""," "
"0052","富邦科技","468","516","2","10627","10577","632250","4","17","","84","97","632250","5"," "
"0053","元大電子","","","","9","9","1247","","","","","","1247",""," "
"0055","元大MSCI金融","1","30","","89","60","20163","","","","","","20163",""," "
"0056","元大高股息","375","659","1","3738","3453","3394008","6","6","","356","356","3394008","1"," "
"0057","富邦摩台","","","","","","381","","","","","","381",""," "
"0061","元大寶滬深","3","","","32","35","25404","","","","","","25404",""," "
"006203","元大MSCI台灣","","","","","","2554","","","","","","2554",""," "
"006204","永豐臺灣加權","","","","","","375","","","","","","375",""," "
"006205","富邦上証","","","","20","20","24859","","","","1","1","24859",""," "
"006206","元大上證50","","","","12","12","7194","","","","","","7194",""," "
"006207","復華滬深","","","","5","5","5473","","","","","","5473",""," "
"006208","富邦台50","6","4","","155","157","457260","","","","28","28","457260",""," "
"00631L","元大台灣50正2","17317","10974","86","146143","152400","1196837","1371","1287","5","15530","15441","1196837","719"," "
"00632R","元大台灣50反1","10094","8007","499","297840","299428","598301","434","448","","4247","4261","598301","819"," "
"00633L","富邦上証正2","493","592","","7430","7331","30489","1","30","","774","803","30489","3"," "
"00634R","富邦上証反1","","","","2109","2109","11814","","","","23","23","11814",""," "
"00635U","期元大S&P黃金","186","18","","4616","4784","71253","","","","262","262","71253","1"," "
"00636","國泰中國A50","","","","58","58","26331","","","","","","26331",""," "
"00637L","元大滬深300正2","798","2347","15","76465","74901","188276","39","572","40","10834","11327","188276","9"," "
"00638R","元大滬深300反1","2","","","970","972","6862","","","","4","4","6862",""," "
"00639","富邦深100","76","80","","559","555","27350","","","","7","7","27350",""," "
