股票代號,股票名稱,融資買進,融資賣出,融資現金償還,融資前日餘額,融資今日餘額,融資限額,融券買進,融券賣出,融券現券償還,融券前日餘額,融券今日餘額,融券限額,資券互抵,註記
"00400A","主動國泰動能高息","821","2051","","12024","10794","388285","","9","","45","54","388285",""," "
"00401A","主動摩根台灣鑫收","10","12","","1029","1027","62598","2","","","3","1","62598",""," "
"00402A","主動安聯美國科技","50","413","10","4245","3872","210656","","2","","2","4","210656",""," "
"00403A","主動統一升級50","15130","16137","19","123019","121993","3928504","166","76","","1902","1812","3928504","126"," "
"00404A","主動聯博動能50","207","559","","2570","2218","77948","5","","","5","","77948","4"," "
"00405A","主動富邦台灣龍耀","1870","2504","11","21927","21282","623061","15","2","","90","77","623061","79"," "
"00406A","主動中信台灣收益","482","203","1","3163","3441","177265","","","","","","177265","1"," "
"00407A","主動凱基台灣","","","","","","198684","","","","","","198684",""," "
"0050","元大台灣50","708","1008","28","11934","11606","5115375","84","82","1","1224","1221","5115375","27"," "
"0051","元大中型100","1","","","2","3","6125","","","","","","6125",""," "
"0052","富邦科技","402","814","","11070","10658","637250","4","5","","72","73","637250","16"," "
"0053","元大電子","","","","10","10","1372","","","","","","1372",""," "
"0055","元大MSCI金融","48","35","","265","278","22413","","","","","","22413",""," "
"0056","元大高股息","713","569","","4416","4560","3396383","54","3","","258","207","3396383","3"," "
"0057","富邦摩台","","","","","","381","","","","","","381",""," "
"0061","元大寶滬深","","","","15","15","24779","","","","","","24779",""," "
"006203","元大MSCI台灣","","","","","","2554","","","","","","2554",""," "
"006204","永豐臺灣加權","","","","","","375","","","","","","375",""," "
"006205","富邦上証","","","","60","60","24359","","","","1","1","24359",""," "
"006206","元大上證50","","3","","11","8","7069","","","","","","7069",""," "
"006207","復華滬深","","","","3","3","5348","","","","","","5348",""," "
"006208","富邦台50","4","8","","196","192","457260","2","","","20","18","457260",""," "
"00631L","元大台灣50正2","19986","19122","169","178614","179309","1435087","1766","1857","","14566","14657","1435087","469"," "
"00632R","元大台灣50反1","19472","11480","223","286724","294493","609676","357","895","","6380","6918","609676","489"," "
"00633L","富邦上証正2","159","169","","7228","7218","28864","18","4","1","754","739","28864","7"," "
"00634R","富邦上証反1","7","","","2103","2110","11814","","","","","","11814",""," "
"00635U","期元大S&P黃金","249","67","","5906","6088","72878","2","11","","292","301","72878",""," "
"00636","國泰中國A50","15","","","74","89","25456","","","","","","25456",""," "
"00637L","元大滬深300正2","5804","1588","","73857","78073","185526","274","16","","11002","10744","185526","24"," "
"00638R","元大滬深300反1","","","","862","862","6737","","","","4","4","6737",""," "
"00639","富邦深100","41","14","","544","571","25600","","","","7","7","25600",""," "
"00640L","富邦日本正2","6","11","","238","233","1854","","","","52","52","1854",""," "
"00641R","富邦日本反1","257","26","","9248","9479","18689","","","","490","490","18689",""," "
"00642U","期元大S&P石油","258","244","6","8816","8824","27580","114","7","","1816","1709","27580",""," "
"00643","群益深証中小","1","7","","1100","1094","18768","","","","","","18768",""," "
"00645","富邦日本","","","","20","20","10999","","","","","","10999",""," "
"00646","元大S&P500","","1","","46","45","140121","","","","2","2","140121",""," "
"00647L","元大S&P500正2","","29","","81","52","1604","","","","","","1604",""," "
"00648R","元大S&P500反1","66","28","","10593","10631","35922","","","","210","210","35922",""," "
"00650L","復華香港正2","1115","184","","17362","18293","32459","73","78","","375","380","32459","22"," "
"00651R","復華香港反1","2","1","","1772","1773","8048","","4","","175","179","8048",""," "
"00652","富邦印度","1","1","","58","58","16883","","","","","","16883",""," "
"00653L","富邦印度正2","3","13","","2508","2498","3975","1","","","6","5","3975","","@ "
