股票代號,股票名稱,融資買進,融資賣出,融資現金償還,融資前日餘額,融資今日餘額,融資限額,融券買進,融券賣出,融券現券償還,融券前日餘額,融券今日餘額,融券限額,資券互抵,註記
"00400A","主動國泰動能高息","546","1340","","10371","9577","431660","","","","","","431660","","X "
"00401A","主動摩根台灣鑫收","6","3","1","1131","1133","60348","","","","2","2","60348",""," "
"00402A","主動安聯美國科技","116","","","3402","3518","196281","","","","1","1","196281",""," "
"00403A","主動統一升級50","3403","5494","49","104329","102189","3875004","119","241","","1368","1490","3875004","203"," "
"00404A","主動聯博動能50","31","149","","2440","2322","84198","","","","","","84198","1"," "
"00405A","主動富邦台灣龍耀","743","446","","18711","19008","657436","95","54","","222","181","657436","50"," "
"00406A","主動中信台灣收益","245","179","","4596","4662","183765","","3","","10","13","183765",""," "
"00407A","主動凱基台灣","3191","539","7","39060","41705","618434","","","","11","11","618434","1"," "
"0050","元大台灣50","547","314","3","12985","13215","5194625","121","78","1","1118","1074","5194625","56"," "
"0051","元大中型100","","","","3","3","6125","","","","","","6125",""," "
"0052","富邦科技","931","100","11","11364","12184","642750","5","2","","80","77","642750","17"," "
"0053","元大電子","","","","11","11","1372","","","","","","1372",""," "
"0055","元大MSCI金融","20","10","","219","229","22538","","","","","","22538",""," "
"0056","元大高股息","1259","179","3","6614","7691","3426633","33","46","","81","94","3426633","2"," "
"0057","富邦摩台","","","","","","381","","","","","","381",""," "
"0061","元大寶滬深","1","","","15","16","24529","","","","","","24529",""," "
"006203","元大MSCI台灣","","","","","","2554","","","","","","2554",""," "
"006204","永豐臺灣加權","","","","","","375","","","","","","375",""," "
"006205","富邦上証","","","","50","50","23984","","","","1","1","23984",""," "
"006206","元大上證50","","","","8","8","6944","","","","","","6944",""," "
"006207","復華滬深","","","","2","2","5223","","","","","","5223",""," "
"006208","富邦台50","19","8","","334","345","457385","","","","16","16","457385","6"," "
"00631L","元大台灣50正2","15117","13808","75","235418","236652","1636087","2378","1679","","18424","17725","1636087","1048"," "
"00632R","元大台灣50反1","12174","19631","161","290760","283142","604801","283","501","","6456","6674","604801","231"," "
"00633L","富邦上証正2","129","99","","7403","7433","29739","50","21","","694","665","29739","5"," "
"00634R","富邦上証反1","10","","","2081","2091","11814","","","","","","11814",""," "
"00635U","期元大S&P黃金","398","99","","6668","6967","74628","15","17","","286","288","74628","10"," "
"00636","國泰中國A50","7","","","113","120","24706","","","","","","24706",""," "
"00637L","元大滬深300正2","1177","888","","85796","86085","191276","36","175","","8603","8742","191276","263"," "
"00638R","元大滬深300反1","","1","","720","719","6112","","","","4","4","6112",""," "
"00639","富邦深100","7","","","515","522","24725","","","","7","7","24725","1"," "
"00640L","富邦日本正2","4","5","","237","236","1854","","","","48","48","1854",""," "
"00641R","富邦日本反1","92","6","","10022","10108","18939","","","","507","507","18939",""," "
"00642U","期元大S&P石油","113","571","","6309","5851","26580","6","8","","1509","1511","26580",""," "
"00643","群益深証中小","2","3","","888","887","18125","","","","","","18125",""," "
"00645","富邦日本","","","","20","20","10999","","","","","","10999",""," "
"00646","元大S&P500","","2","","70","68","140621","","","","2","2","140621",""," "
"00647L","元大S&P500正2","","","","45","45","1604","","","","","","1604",""," "
"00648R","元大S&P500反1","1301","10","","9588","10879","35172","","","","210","210","35172",""," "
"00650L","復華香港正2","311","337","","18914","18888","34959","","43","","374","417","34959","5"," "
"00651R","復華香港反1","9","42","","1465","1432","8048","31","42","","109","120","8048",""," "
"00652","富邦印度","","","","59","59","16508","","","","","","16508",""," "
"00653L","富邦印度正2","40","25","10","2448","2453","3850","","","","9","9","3850","","@ "
"00654R","富邦印度反1","","2","","542","540","4866","","","","62","62","4866",""," "
"00655L","國泰中國A50正2","80","84","","2242","2238","14614","","3","","247","250","14614",""," "
"00656R","國泰中國A50反1","4","","","153","157","5089","","","","","","5089",""," "
"00657","國泰日經225","","","","","","1646","","","","","","1646",""," "
"00660","元大歐洲50","","","","","","1882","","","","","","1882",""," "
"00661","元大日經225","","","","14","14","5856","","","","","","5856",""," "
"00662","富邦NASDAQ","3","1","","1189","1191","214382","","","","7","7","214382",""," "
"00663L","國泰臺灣加權正2","614","1046","","9998","9566","36790","195","133","","1588","1526","36790","24"," "
"00664R","國泰臺灣加權反1","463","1615","","89794","88642","196393","156","90","","739","673","196393","129"," "
"00665L","富邦恒生國企正2","1594","2258","","83339","82675","142116","","","","511","511","142116","55"," "
"00666R","富邦恒生國企反1","5","","","351","356","3656","","","","12","12","3656",""," "
"00668","國泰美國道瓊","","5","","5","","1870","","","","","","1870",""," "
"00669R","國泰美國道瓊反1","96","126","","14461","14431","51279","","","","116","116","51279",""," "
"00670L","富邦NASDAQ正2","50","18","","1260","1292","19036","22","12","","157","147","19036","1"," "
"00671R","富邦NASDAQ反1","","7","","127301","127294","135096","4","35","","2547","2578","135096","","O "
"00673R","期元大S&P原油反1","825","3056","","61208","58977","127012","16","67","","721","772","127012","33"," "
"00674R","期元大S&P黃金反1","37","102","","311","246","3855","2","","","10","8","3855",""," "
"00675L","富邦臺灣加權正2","111","283","2","3079","2905","27196","10","4","","310","304","27196","21"," "
"00676R","富邦臺灣加權反1","377","484","","19603","19496","43208","20","2","","336","318","43208","18"," "
"00678","群益那斯達克生技","6","","","16","22","2112","","","","","","2112",""," "
"00680L","元大美債20正2","1571","925","400","64246","64492","376269","","","","666","666","376269",""," "
"00681R","元大美債20反1","","2","","9","7","1898","","","","","","1898",""," "
"00682U","期元大美元指數","","","","12","12","1911","","","","","","1911",""," "
"00683L","期元大美元指正2","2","1","","164","165","2858","","","","1","1","2858",""," "
"00684R","期元大美元指反1","","","","21","21","2422","","","","","","2422",""," "
"00685L","群益臺灣加權正2","","","1","3601","3600","31034","","","","","","31034","","!"
"00686R","群益臺灣加權反1","175","2901","","18874","16148","47944","","1","","59","60","47944",""," "
"00688L","國泰20年美債正2","547","33","","23493","24007","159903","","","","59","59","159903",""," "
"00689R","國泰20年美債反1","","","","","","1722","","","","","","1722","","X "
"00690","兆豐藍籌30","1","1","","83","83","20207","","","","","","20207",""," "
"00692","富邦公司治理","2","4","","73","71","153570","","","","","","153570",""," "
"00693U","期街口S&P黃豆","35","21","","2558","2572","21791","","","","3","3","21791",""," "
"00700","富邦恒生國企","","","","187","187","8745","","","","","","8745",""," "
"00701","國泰股利精選30","","","","31","31","43472","","","","","","43472",""," "
"00702","國泰標普低波高息","2","","","1","3","1672","","","","","","1672",""," "
"00703","台新MSCI中國","","1","","2","1","2387","","","","","","2387",""," "
"00706L","期元大S&P日圓正2","386","376","","7838","7848","39567","","50","","283","333","39567",""," "
"00707R","期元大S&P日圓反1","","","","","","1463","","","","","","1463","","X "
"00708L","期元大S&P黃金正2","876","816","1","10722","10781","30268","23","32","","772","781","30268","7"," "
"00709","富邦歐洲","","","","2","2","3865","","","","","","3865",""," "
"00710B","復華彭博非投等債","","","","10","10","45190","","","","","","45190",""," "
"00711B","復華彭博新興債","","","","3","3","218065","","","","","","218065",""," "
"00712","復華富時不動產","20","74","6","15736","15676","1331502","","","","7","7","1331502",""," "
"00713","元大台灣高息低波","4","","","247","251","436128","","","","","","436128",""," "
"00714","群益道瓊美國地產","","","","2","2","5266","","","","","","5266",""," "
"00715L","期街口布蘭特正2","731","582","48","13136","13237","31797","84","244","","3059","3219","31797","2"," "
"00717","富邦美國特別股","","","","","","31651","","","","","","31651",""," "
"00728","第一金工業30","1","","","","1","9730","","","","","","9730",""," "
"00730","富邦臺灣優質高息","1","2","","12","11","17761","","","","","","17761",""," "
"00731","復華富時高息低波","","","","4","4","5525","","","","","","5525",""," "
"00733","富邦臺灣中小","8","6","","30","32","16741","","","","","","16741",""," "
"00735","國泰臺韓科技","211","150","","3809","3870","26822","80","8","","128","56","26822","6"," "
"00736","國泰新興市場","","","","1","1","1556","","","","","","1556",""," "
"00737","國泰AI機器人","","","","54","54","5634","","","","","","5634",""," "
"00738U","期元大道瓊白銀","405","293","1","13479","13590","61824","1","9","","390","398","61824","1"," "
"00739","元大MSCI A股","","","","","","6497","","","","","","6497",""," "
"00752","中信中國50","5","10","","985","980","72929","","","","2","2","72929",""," "
"00753L","中信中國50正2","1277","1006","5","94427","94693","193414","4","103","","690","789","193414","16"," "
"00757","統一FANG+","26","8","","400","418","71248","","","","6","6","71248",""," "
"00762","元大全球AI","3","","","50","53","11937","","","","","","11937",""," "
"00763U","期街口道瓊銅","26","46","","1597","1577","12391","","","","94","94","12391",""," "
"00770","國泰北美科技","","3","","52","49","19864","","","","","","19864",""," "
"00771","元大US高息特別股","","","","1","1","3556","","","","","","3556",""," "
"00775B","新光投等債15+","","","","","","58025","","","","","","58025","","X "
"00783","富邦中証500","","","","383","383","1757","","","","","","1757",""," "
"00830","國泰費城半導體","732","79","13","4410","5050","182866","19","5","","288","274","182866","22"," "
"00850","元大臺灣ESG永續","","","","16","16","103861","","","","","","103861",""," "
"00851","台新全球AI","","","","2","2","1381","","","","","","1381",""," "
"00852L","國泰美國道瓊正2","1","1","","37","37","2216","","","","56","56","2216",""," "
"00861","元大全球未來通訊","1","","","21","22","17103","","","","","","17103",""," "
"00865B","國泰US短期公債","","","","","","67936","","","","","","67936",""," "
"00875","國泰網路資安","","","","4","4","3372","","","","","","3372",""," "
"00876","元大全球5G","2","","","30","32","18756","","","","","","18756",""," "
"00878","國泰永續高股息","41","32","1","2553","2561","4585947","","","","38","38","4585947",""," "
"00881","國泰台灣科技龍頭","17","25","3","1253","1242","593350","5","","","14","9","593350","3"," "
"00882","中信中國高股息","92","54","2","3259","3295","509587","2","","","2","","509587",""," "
"00885","富邦越南","7","9","","558","556","155684","2","","","142","140","155684",""," "
"00891","中信關鍵半導體","364","109","30","3984","4209","413272","18","7","","50","39","413272","12"," "
"00892","富邦台灣半導體","1003","14","","874","1863","70948","","","","2","2","70948",""," "
"00893","國泰智能電動車","","","","67","67","91346","","","","23","23","91346",""," "
"00894","中信小資高價30","3","11","","602","594","37127","","","","29","29","37127",""," "
"00895","富邦未來車","","","","69","69","37354","","","","11","11","37354",""," "
"00896","中信綠能及電動車","","103","","1727","1624","99220","","","","","","99220","1"," "
"00897","富邦基因免疫生技","189","","","289","478","36128","","","","1","1","36128",""," "
"00898","國泰基因免疫革命","256","","","337","593","36994","","","","","","36994",""," "
"00899","FT潔淨能源","","","","64","64","4283","","","","","","4283",""," "
"00900","富邦特選高股息30","30","","","297","327","413881","","","","4","4","413881","6"," "
"00901","永豐智能車供應鏈","1","","","","1","15837","","","","","","15837",""," "
"00902","中信電池及儲能","11","","10","2319","2320","56374","","","","40","40","56374",""," "
"00903","富邦元宇宙","1","","","19","20","12555","","","","","","12555",""," "
"00904","新光臺灣半導體30","22","1","","667","688","42153","","","","1","1","42153",""," "
"00905","FT臺灣Smart","10","5","","293","298","86206","","","","","","86206","1"," "
"00907","永豐優息存股","","","","148","148","40908","","","","","","40908",""," "
"00908","富邦入息REITs+","","","","","","8854","","","","","","8854",""," "
"00909","國泰數位支付服務","36","1","","1004","1039","26801","28","","","49","21","26801",""," "
"00910","第一金太空衛星","74","71","","3218","3221","33109","4","1","","10","7","33109",""," "
"00911","兆豐洲際半導體","36","3","","124","157","5350","","","","","","5350",""," "
"00912","中信臺灣智慧50","7","6","","43","44","14563","","","","","","14563",""," "
"00913","兆豐台灣晶圓製造","26","13","","1130","1143","10191","","","","","","10191",""," "
"00915","凱基優選高股息30","","","","30","30","132495","","","","","","132495",""," "
"00916","國泰全球品牌50","10","24","","889","875","35104","","","","52","52","35104",""," "
"00917","中信特選金融","","2","","89","87","15619","","","","","","15619",""," "
"00918","大華優利高填息30","40","95","","5952","5897","887066","100","","","112","12","887066",""," "
"00919","群益台灣精選高息","71","540","6","9198","8723","4518908","","85","","18","103","4518908","2"," "
"00920","富邦ESG綠色電力","","","","26","26","5070","","","","","","5070",""," "
"00921","兆豐龍頭等權重","","1","","2","1","13942","","","","","","13942",""," "
"00922","國泰台灣領袖50","108","27","","1307","1388","519046","","1","","45","46","519046","2"," "
"00923","群益台ESG低碳50","3","5","","182","180","212730","","","","1","1","212730",""," "
"00924","復華S&P500成長","2","3","","111","110","111025","","","","","","111025",""," "
"00926","凱基全球菁英55","","","","27","27","22245","","","","","","22245",""," "
"00927","群益半導體收益","1428","971","11","13015","13461","259849","61","","","65","4","259849","29"," "
"00929","復華台灣科技優息","586","121","","3434","3899","1137284","","","","","","1137284","33"," "
"00930","永豐ESG低碳高息","","","","21","21","33569","","","","","","33569",""," "
"00932","兆豐永續高息等權","","","","2","2","31195","","","","","","31195",""," "
"00934","中信成長高股息","61","","","632","693","102506","","","","","","102506",""," "
"00935","野村臺灣新科技50","338","89","1","5671","5919","190626","23","43","","82","102","190626",""," "
"00936","台新永續高息中小","","","","10","10","51949","","","","","","51949",""," "
"00938","凱基優選30","","","","6","6","23379","","","","","","23379",""," "
"00939","統一台灣高息動能","6","8","","206","204","300744","1","","","1","","300744",""," "
"00940","元大台灣價值高息","7","297","","1609","1319","1384716","","","","","","1384716","","X "
"00941","中信上游半導體","21","58","","299","262","110947","1","2","","2","3","110947",""," "
"00943","兆豐電子高息等權","1","","","26","27","10472","","","","","","10472",""," "
"00944","野村趨勢動能高息","1","","","7","8","14020","","","","","","14020",""," "
"00945B","凱基美國非投等債","","1","","332","331","205579","","","","","","205579",""," "
"00946","群益科技高息成長","2","22","","628","608","118686","","","","","","118686",""," "
"00947","台新臺灣IC設計","358","515","","8098","7941","68091","30","","","35","5","68091","4"," "
"00949","復華日本龍頭","2","","","103","105","44607","","","","","","44607",""," "
