股票代號,股票名稱,融資買進,融資賣出,融資現金償還,融資前日餘額,融資今日餘額,融資限額,融券買進,融券賣出,融券現券償還,融券前日餘額,融券今日餘額,融券限額,資券互抵,註記
"00400A","主動國泰動能高息","1089","391","2","10794","11490","483160","4","8","","11","15","483160",""," "
"00401A","主動摩根台灣鑫收","2","13","","1118","1107","57598","","","","2","2","57598",""," "
"00402A","主動安聯美國科技","3","34","","2382","2351","185031","","","","","","185031",""," "
"00403A","主動統一升級50","2344","18711","32","135571","119172","4212004","3137","558","24176","28919","2164","4212004","538"," "
"00404A","主動聯博動能50","21","43","3","2222","2197","91073","","","","","","91073",""," "
"00405A","主動富邦台灣龍耀","532","2868","23","28143","25784","825061","13","119","","260","366","825061","145"," "
"00406A","主動中信台灣收益","1026","970","5","9013","9064","287015","20","1","","20","1","287015","30"," "
"00407A","主動凱基台灣","641","1417","1","43664","42887","752934","1","14","","121","134","752934","1"," "
"00408A","主動第一金優股息","13","203","","326","136","41908","","","","","","41908",""," "
"0050","元大台灣50","573","9207","103","57630","48893","5401125","10","240","","48","278","5401125","109"," "
"0051","元大中型100","","","","3","3","6125","","","","","","6125",""," "
"0052","富邦科技","306","695","1","12222","11832","657250","11","10","1","97","95","657250","4"," "
"0053","元大電子","","","","14","14","1372","","","","","","1372",""," "
"0055","元大MSCI金融","2","3","","101","100","22413","","","","","","22413",""," "
"0056","元大高股息","133","1792","19","10531","8853","3550758","","5","","14","19","3550758","6"," "
"0057","富邦摩台","","","","","","381","","","","","","381",""," "
"0061","元大寶滬深","","","","15","15","24279","","","","","","24279",""," "
"006203","元大MSCI台灣","","","","","","2554","","","","","","2554","","X "
"006204","永豐臺灣加權","","","","","","375","","","","","","375",""," "
"006205","富邦上証","","3","","78","75","23734","","","","1","1","23734",""," "
"006206","元大上證50","","","","8","8","6819","","","","","","6819",""," "
"006207","復華滬深","","","","2","2","5223","","","","","","5223",""," "
"006208","富邦台50","7","21","","413","399","460885","","","","1","1","460885",""," "
"00631L","元大台灣50正2","11787","21302","253","266017","256249","1855212","775","2391","1","14697","16312","1855212","965"," "
"00632R","元大台灣50反1","24121","8535","48","286232","301770","585051","1935","195","","9150","7410","585051","446"," "
"00633L","富邦上証正2","32","415","","7881","7498","29614","6","75","1","712","780","29614","10"," "
"00634R","富邦上証反1","11","7","","2193","2197","11814","","","","","","11814",""," "
"00635U","期元大S&P黃金","214","150","","6828","6892","76378","9","3","","272","266","76378",""," "
"00636","國泰中國A50","","3","","150","147","24456","","","","","","24456",""," "
"00637L","元大滬深300正2","444","2457","","84534","82521","183401","16","346","","8103","8433","183401","9"," "
"00638R","元大滬深300反1","","4","","667","663","6112","","","","4","4","6112",""," "
"00639","富邦深100","7","10","","478","475","24350","","1","","7","8","24350",""," "
"00640L","富邦日本正2","","10","","227","217","1729","","","","38","38","1729",""," "
"00641R","富邦日本反1","124","15","","10086","10195","20189","9","","","505","496","20189",""," "
"00642U","期元大S&P石油","161","264","","3214","3111","24580","","57","","667","724","24580",""," "
"00643","群益深証中小","","51","","949","898","18250","","","","","","18250",""," "
"00645","富邦日本","","","","20","20","10874","","","","","","10874",""," "
"00646","元大S&P500","","","","74","74","143121","","","","2","2","143121",""," "
"00647L","元大S&P500正2","","","","38","38","1604","","","","","","1604",""," "
"00648R","元大S&P500反1","36","38","","12301","12299","35172","","","","139","139","35172",""," "
"00650L","復華香港正2","241","383","","14691","14549","29209","32","3","","1066","1037","29209","3"," "
"00651R","復華香港反1","25","","","1658","1683","8048","","","","94","94","8048",""," "
"00652","富邦印度","","1","","48","47","16133","","","","","","16133",""," "
"00653L","富邦印度正2","5","1","","2342","2346","3600","","","","1","1","3600","","@ "
"00654R","富邦印度反1","1","","","585","586","4866","","","","62","62","4866",""," "
"00655L","國泰中國A50正2","11","98","","2004","1917","14489","","4","","220","224","14489",""," "
"00656R","國泰中國A50反1","2","","","155","157","5089","","","","","","5089",""," "
"00657","國泰日經225","","11","","11","","1646","","","","","","1646",""," "
"00660","元大歐洲50","","","","","","1882","","","","","","1882",""," "
"00661","元大日經225","","60","","70","10","5856","","","","","","5856",""," "
"00662","富邦NASDAQ","3","50","","1296","1249","217632","","","","10","10","217632",""," "
"00663L","國泰臺灣加權正2","968","1334","2","10959","10591","39540","130","231","","1639","1740","39540","58"," "
"00664R","國泰臺灣加權反1","1854","2335","","79025","78544","188893","25","105","","644","724","188893",""," "
"00665L","富邦恒生國企正2","2119","270","","64586","66435","118116","113","13","","1545","1445","118116","126"," "
"00666R","富邦恒生國企反1","","5","","405","400","3656","","","","12","12","3656",""," "
"00668","國泰美國道瓊","","","","","","1870","","","","","","1870",""," "
"00669R","國泰美國道瓊反1","25","53","","13705","13677","51279","","","","113","113","51279",""," "
"00670L","富邦NASDAQ正2","10","28","","1066","1048","18536","","13","","174","187","18536",""," "
"00671R","富邦NASDAQ反1","","19","","126046","126027","135096","20","","","2505","2485","135096","","O "
"00673R","期元大S&P原油反1","3201","888","13","44349","46649","123887","7","1","","324","318","123887","33"," "
"00674R","期元大S&P黃金反1","54","7","","285","332","3855","","","","25","25","3855",""," "
"00675L","富邦臺灣加權正2","48","130","","3231","3149","28821","3","16","","312","325","28821","2"," "
"00676R","富邦臺灣加權反1","677","93","","16584","17168","42208","19","5","","460","446","42208","10"," "
"00678","群益那斯達克生技","","","","26","26","2112","","","","","","2112",""," "
"00680L","元大美債20正2","697","1051","","66673","66319","376394","1","","","55","54","376394",""," "
"00681R","元大美債20反1","","","","7","7","1898","","","","","","1898",""," "
"00682U","期元大美元指數","","","","12","12","1911","","","","","","1911",""," "
"00683L","期元大美元指正2","","","","103","103","2858","","","","","","2858",""," "
"00684R","期元大美元指反1","","","","21","21","2422","","","","","","2422",""," "
"00685L","群益臺灣加權正2","11592","19457","117","184207","176225","1419959","1158","4485","","7696","11023","1419959","454"," "
"00686R","群益臺灣加權反1","1236","27","","16458","17667","52444","6","","","83","77","52444",""," "
"00688L","國泰20年美債正2","168","2","2","26142","26306","160278","1","","","7","6","160278",""," "
"00689R","國泰20年美債反1","","","","","","1722","","","","","","1722","","X "
"00690","兆豐藍籌30","6","19","","95","82","20457","","","","","","20457",""," "
"00692","富邦公司治理","","2","","95","93","152945","","","","","","152945",""," "
"00693U","期街口S&P黃豆","2","57","","2168","2113","20416","","","","","","20416",""," "
"00700","富邦恒生國企","","","","168","168","8745","","","","","","8745",""," "
"00701","國泰股利精選30","","1","","19","18","43097","","","","","","43097",""," "
"00702","國泰標普低波高息","","1","","1","","1672","","","","","","1672","","X "
"00703","台新MSCI中國","","","","12","12","2387","","","","","","2387",""," "
"00706L","期元大S&P日圓正2","341","208","","6350","6483","38692","1","1","","337","337","38692",""," "
"00707R","期元大S&P日圓反1","","","","","","1463","","","","","","1463","","X "
"00708L","期元大S&P黃金正2","547","568","5","10638","10612","31643","46","8","","772","734","31643",""," "
"00709","富邦歐洲","","","","4","4","3865","","","","","","3865",""," "
"00710B","復華彭博非投等債","","","","10","10","45190","","","","","","45190",""," "
"00711B","復華彭博新興債","","","","3","3","217940","","","","","","217940",""," "
"00712","復華富時不動產","975","325","","14851","15501","1251752","","","","11","11","1251752",""," "
"00713","元大台灣高息低波","1","11","","170","160","431128","","","","","","431128",""," "
"00714","群益道瓊美國地產","15","","","16","31","5266","","","","","","5266",""," "
"00715L","期街口布蘭特正2","1201","797","","11760","12164","28797","136","274","","4717","4855","28797","3"," "
"00717","富邦美國特別股","","","","","","30776","","","","","","30776",""," "
"00728","第一金工業30","","","","2","2","9605","","","","","","9605",""," "
"00730","富邦臺灣優質高息","","2","","6","4","17636","","","","","","17636",""," "
"00731","復華富時高息低波","","","","2","2","5400","","","","","","5400",""," "
