股票代號,股票名稱,融資買進,融資賣出,融資現金償還,融資前日餘額,融資今日餘額,融資限額,融券買進,融券賣出,融券現券償還,融券前日餘額,融券今日餘額,融券限額,資券互抵,註記
"00400A","主動國泰動能高息","419","936","14","12353","11822","455160","5","","","8","3","455160","8"," "
"00401A","主動摩根台灣鑫收","24","6","","1101","1119","60223","","","","2","2","60223",""," "
"00402A","主動安聯美國科技","1","47","","3451","3405","191906","","","","1","1","191906","2"," "
"00403A","主動統一升級50","2758","2039","587","107084","107216","3882754","50","86","","1255","1291","3882754","155"," "
"00404A","主動聯博動能50","3","29","","2358","2332","84948","","","","","","84948","1"," "
"00405A","主動富邦台灣龍耀","1582","652","","23114","24044","744561","49","23","","695","669","744561","51"," "
"00406A","主動中信台灣收益","184","60","","5734","5858","195015","","","","","","195015",""," "
"00407A","主動凱基台灣","824","3534","6","42809","40093","677559","","","","73","73","677559","2"," "
"0050","元大台灣50","359","648","4","13306","13013","5237500","115","41","","942","868","5237500","4"," "
"0051","元大中型100","","","","3","3","6125","","","","","","6125",""," "
"0052","富邦科技","1371","211","10","10931","12081","643625","6","8","","82","84","643625","1"," "
"0053","元大電子","3","","","12","15","1372","","","","","","1372",""," "
"0055","元大MSCI金融","3","10","","193","186","22538","","","","","","22538",""," "
"0056","元大高股息","195","200","","7865","7860","3454633","21","2","","45","26","3454633",""," "
"0057","富邦摩台","","","","","","381","","","","","","381",""," "
"0061","元大寶滬深","","","","15","15","24404","","","","","","24404",""," "
"006203","元大MSCI台灣","","","","","","2554","","","","","","2554",""," "
"006204","永豐臺灣加權","","","","","","375","","","","","","375",""," "
"006205","富邦上証","","","","50","50","23984","","","","1","1","23984",""," "
"006206","元大上證50","","","","8","8","6944","","","","","","6944",""," "
"006207","復華滬深","","","","2","2","5223","","","","","","5223",""," "
"006208","富邦台50","7","11","","317","313","457385","14","","","15","1","457385","","X "
"00631L","元大台灣50正2","8048","10224","18","228043","225849","1668212","1559","2499","","18003","18943","1668212","553"," "
"00632R","元大台灣50反1","14789","9265","153","290031","295402","594801","81","233","","7802","7954","594801","638"," "
"00633L","富邦上証正2","376","29","","7510","7857","29614","12","1","","656","645","29614","17"," "
"00634R","富邦上証反1","1","1","","2120","2120","11814","","","","","","11814",""," "
"00635U","期元大S&P黃金","57","35","","6983","7005","76128","3","","","268","265","76128","11"," "
"00636","國泰中國A50","14","","","122","136","24706","","","","","","24706",""," "
"00637L","元大滬深300正2","2016","53","","84241","86204","189651","159","1","","8524","8366","189651","89"," "
"00638R","元大滬深300反1","","","","719","719","6112","","","","4","4","6112",""," "
"00639","富邦深100","31","4","","529","556","24600","","","","7","7","24600",""," "
"00640L","富邦日本正2","","6","","217","211","1854","","","","48","48","1854",""," "
"00641R","富邦日本反1","145","608","","10501","10038","19939","","14","","507","521","19939",""," "
"00642U","期元大S&P石油","458","83","","3137","3512","26705","","16","","1013","1029","26705",""," "
"00643","群益深証中小","","","","886","886","18125","","","","","","18125",""," "
"00645","富邦日本","","","","20","20","10999","","","","","","10999",""," "
"00646","元大S&P500","5","","","65","70","141621","","","","2","2","141621",""," "
"00647L","元大S&P500正2","","1","","43","42","1604","","","","","","1604",""," "
"00648R","元大S&P500反1","484","145","2","10969","11306","35172","","","","210","210","35172",""," "
"00650L","復華香港正2","230","764","","16672","16138","34209","1","10","24","599","584","34209","17"," "
"00651R","復華香港反1","11","3","","1475","1483","8048","","","","94","94","8048",""," "
"00652","富邦印度","","","","55","55","16508","","","","","","16508",""," "
"00653L","富邦印度正2","81","6","","2332","2407","3850","","","","4","4","3850","","@ "
"00654R","富邦印度反1","","10","","547","537","4866","","","","62","62","4866",""," "
"00655L","國泰中國A50正2","146","1","","2072","2217","14614","6","","","245","239","14614",""," "
"00656R","國泰中國A50反1","","","","153","153","5089","","","","","","5089",""," "
"00657","國泰日經225","","","","","","1646","","","","","","1646",""," "
"00660","元大歐洲50","","","","","","1882","","","","","","1882",""," "
