股票代號,股票名稱,融資買進,融資賣出,融資現金償還,融資前日餘額,融資今日餘額,融資限額,融券買進,融券賣出,融券現券償還,融券前日餘額,融券今日餘額,融券限額,資券互抵,註記
"00400A","主動國泰動能高息","231","1101","1","11806","10935","377410","82","1","","118","37","377410","6"," "
"00401A","主動摩根台灣鑫收","26","70","","941","897","62348","","","","","","62348",""," "
"00402A","主動安聯美國科技","3721","186","","1682","5217","232656","","","","3260","3260","232656","6"," "
"00403A","主動統一升級50","7327","10317","135","134412","131287","4307754","765","143","","1809","1187","4307754","189"," "
"00404A","主動聯博動能50","750","104","","491","1137","66198","","","","","","66198","1"," "
"00405A","主動富邦台灣龍耀","10529","1500","","12963","21992","485811","","7947","","","7947","485811","6"," "
"00406A","主動中信台灣收益","","","","","","162265","","","","","","162265",""," "
"0050","元大台灣50","1435","893","113","10753","11182","5034500","109","131","","1400","1422","5034500","23"," "
"0051","元大中型100","","","","6","6","6125","","","","","","6125",""," "
"0052","富邦科技","587","311","","10845","11121","637000","7","15","","71","79","637000","10"," "
"0053","元大電子","","","","10","10","1247","","","","","","1247",""," "
"0055","元大MSCI金融","98","222","","360","236","21038","2","","","2","","21038",""," "
"0056","元大高股息","431","205","","4049","4275","3391133","10","25","","200","215","3391133",""," "
"0057","富邦摩台","","","","","","381","","","","","","381",""," "
"0061","元大寶滬深","","","","25","25","25154","","","","","","25154",""," "
"006203","元大MSCI台灣","","","","","","2554","","","","","","2554",""," "
"006204","永豐臺灣加權","","","","","","375","","","","","","375",""," "
"006205","富邦上証","","","","20","20","24359","","","","1","1","24359",""," "
"006206","元大上證50","","","","12","12","7194","","","","","","7194",""," "
"006207","復華滬深","","2","","5","3","5348","","","","","","5348",""," "
"006208","富邦台50","30","7","","241","264","457260","","3","","26","29","457260",""," "
"00631L","元大台灣50正2","21437","16944","476","177997","182014","1420962","2852","3143","2","15083","15372","1420962","1699"," "
"00632R","元大台灣50反1","34640","23064","408","287291","298459","587676","74","562","10","5359","5837","587676","414"," "
"00633L","富邦上証正2","43","130","","7480","7393","29614","4","2","","726","724","29614","1"," "
"00634R","富邦上証反1","","","","2131","2131","11814","","","","","","11814",""," "
"00635U","期元大S&P黃金","303","77","1","4788","5013","71003","6","22","","258","274","71003",""," "
"00636","國泰中國A50","","","","81","81","25956","","","","","","25956",""," "
"00637L","元大滬深300正2","576","1025","","75697","75248","190776","63","49","","10224","10210","190776","41"," "
"00638R","元大滬深300反1","","","","898","898","6737","","","","4","4","6737",""," "
"00639","富邦深100","3","4","","514","513","26475","","","","7","7","26475",""," "
"00640L","富邦日本正2","2","3","","191","190","1854","","","","56","56","1854",""," "
"00641R","富邦日本反1","678","10","","7942","8610","18689","","","","510","510","18689",""," "
"00642U","期元大S&P石油","380","254","","7848","7974","27205","139","","","2807","2668","27205",""," "
"00643","群益深証中小","","1","","1049","1048","19518","","","","","","19518",""," "
"00645","富邦日本","","","","20","20","11374","","","","","","11374",""," "
"00646","元大S&P500","2","2","","44","44","140621","","3","","2","5","140621",""," "
"00647L","元大S&P500正2","1","2","","46","45","1604","","","","","","1604",""," "
"00648R","元大S&P500反1","1797","1","1","10202","11997","36672","2","","","157","155","36672",""," "
"00650L","復華香港正2","437","24","","18006","18419","31959","177","65","","996","884","31959","6"," "
"00651R","復華香港反1","52","13","","1774","1813","8048","16","","","256","240","8048",""," "
"00652","富邦印度","","1","","166","165","16883","","","","","","16883",""," "
"00653L","富邦印度正2","2","16","","2491","2477","4225","","","","1","1","4225",""," "
"00654R","富邦印度反1","9","4","","654","659","4866","","","","65","65","4866",""," "
"00655L","國泰中國A50正2","13","57","","2188","2144","14864","5","","","331","326","14864","7"," "
"00656R","國泰中國A50反1","7","","","246","253","5089","","","","","","5089",""," "
"00657","國泰日經225","","","","","","1646","","","","","","1646",""," "
"00660","元大歐洲50","","","","","","1882","","","","","","1882",""," "
"00661","元大日經225","","","","12","12","5856","","","","","","5856",""," "
"00662","富邦NASDAQ","20","3","","976","993","195882","1","","","2","1","195882",""," "
"00663L","國泰臺灣加權正2","915","1215","2","7243","6941","37665","152","143","","1686","1677","37665","80"," "
"00664R","國泰臺灣加權反1","13881","3412","","104145","114614","195643","3","1044","","408","1449","195643","68"," "
"00665L","富邦恒生國企正2","2742","757","20","83547","85512","121991","15","10","","560","555","121991","27","@ "
"00666R","富邦恒生國企反1","","","","414","414","3656","","","","12","12","3656",""," "
"00668","國泰美國道瓊","","","","10","10","1883","","","","","","1883",""," "
"00669R","國泰美國道瓊反1","94","34","","15484","15544","52154","","","","119","119","52154",""," "
"00670L","富邦NASDAQ正2","77","24","","1013","1066","18536","12","2","","161","151","18536",""," "
"00671R","富邦NASDAQ反1","","122","","130836","130714","136346","53","45","","2680","2672","136346","","O "
"00673R","期元大S&P原油反1","868","3182","","89203","86889","175762","","35","","656","691","175762","14"," "
"00674R","期元大S&P黃金反1","40","1","","114","153","4105","","","","","","4105",""," "
"00675L","富邦臺灣加權正2","213","300","2","2003","1914","28946","7","26","","371","390","28946","2"," "
"00676R","富邦臺灣加權反1","882","1538","","23093","22437","43208","12","4","","359","351","43208","167"," "
"00678","群益那斯達克生技","","2","","19","17","1987","","","","","","1987",""," "
"00680L","元大美債20正2","53","399","13","71157","70798","424769","","1","","522","523","424769",""," "
"00681R","元大美債20反1","","","","25","25","1898","","","","","","1898",""," "
"00682U","期元大美元指數","","","","5","5","1911","","","","","","1911",""," "
"00683L","期元大美元指正2","","1","","94","93","2858","","","","1","1","2858",""," "
"00684R","期元大美元指反1","","","","21","21","2422","","","","","","2422",""," "
"00685L","群益臺灣加權正2","288","160","4","1955","2079","20409","39","64","","53","78","20409","3"," "
"00686R","群益臺灣加權反1","1298","597","","15882","16583","46569","","10","","59","69","46569","1"," "
"00688L","國泰20年美債正2","2","164","16","26543","26365","175528","","","","60","60","175528",""," "
"00689R","國泰20年美債反1","","","","1","1","1722","","","","","","1722",""," "
"00690","兆豐藍籌30","","53","","126","73","20082","","","","","","20082",""," "
"00692","富邦公司治理","","","","58","58","153695","","","","","","153695",""," "
"00693U","期街口S&P黃豆","2","25","","2898","2875","23041","8","","","9","1","23041",""," "
"00700","富邦恒生國企","","","","187","187","8995","","","","","","8995",""," "
"00701","國泰股利精選30","2","12","","39","29","43847","","","","","","43847",""," "
"00702","國泰標普低波高息","","","","","","1672","","","","","","1672",""," "
"00703","台新MSCI中國","","","","1","1","2512","","","","","","2512",""," "
"00706L","期元大S&P日圓正2","131","151","","5123","5103","39067","","","","53","53","39067","2"," "
"00707R","期元大S&P日圓反1","","","","","","1463","","","","","","1463","","X "
"00708L","期元大S&P黃金正2","673","1262","22","8992","8381","26393","17","35","","728","746","26393","8"," "
"00709","富邦歐洲","","","","2","2","3865","","","","","","3865",""," "
"00710B","復華彭博非投等債","","","","10","10","45315","","","","","","45315","","X "
"00711B","復華彭博新興債","","","","3","3","218065","","","","","","218065","","X "
"00712","復華富時不動產","214","824","","17826","17216","1324377","7","","92","99","","1324377","","X "
"00713","元大台灣高息低波","2","3","","128","127","444253","","","","","","444253",""," "
"00714","群益道瓊美國地產","","","","16","16","5516","","","","","","5516",""," "
"00715L","期街口布蘭特正2","1456","456","7","13882","14875","31422","259","42","","5441","5224","31422","153"," "
"00717","富邦美國特別股","","","","","","32026","","","","","","32026","","X "
"00728","第一金工業30","","","","","","9730","","","","","","9730",""," "
"00730","富邦臺灣優質高息","","","","2","2","18636","","","","","","18636","","X "
"00731","復華富時高息低波","","","","3","3","6150","","","","","","6150",""," "
"00733","富邦臺灣中小","17","5","","54","66","17741","","4","","1","5","17741",""," "
"00735","國泰臺韓科技","253","345","","3628","3536","25697","23","17","1","63","56","25697","1"," "
"00736","國泰新興市場","","","","","","1556","","","","","","1556",""," "
"00737","國泰AI機器人","","","","68","68","5634","","","","","","5634",""," "
"00738U","期元大道瓊白銀","735","918","8","13023","12832","59324","6","72","","320","386","59324","10"," "
