股票代號,股票名稱,融資買進,融資賣出,融資現金償還,融資前日餘額,融資今日餘額,融資限額,融券買進,融券賣出,融券現券償還,融券前日餘額,融券今日餘額,融券限額,資券互抵,註記
"00400A","主動國泰動能高息","244","128","43","11736","11809","471660","2","","","5","3","471660","5"," "
"00401A","主動摩根台灣鑫收","5","16","","1120","1109","58348","","","","2","2","58348",""," "
"00402A","主動安聯美國科技","60","","","3084","3144","186156","","","","","","186156",""," "
"00403A","主動統一升級50","4793","1709","80","111187","114191","3945879","105","339","","1165","1399","3945879","230"," "
"00404A","主動聯博動能50","20","26","","2275","2269","88323","","","","","","88323","1"," "
"00405A","主動富邦台灣龍耀","1536","1411","","26793","26918","778811","51","3","","202","154","778811","48"," "
"00406A","主動中信台灣收益","843","60","","5993","6776","239515","20","4","","26","10","239515",""," "
"00407A","主動凱基台灣","1030","913","25","44058","44150","723684","14","3","","96","85","723684","4"," "
"00408A","主動第一金優股息","110","","","76","186","41658","","","","","","41658",""," "
"0050","元大台灣50","1270","518","11","15307","16048","5278250","","","1","1","","5278250","","X "
"0051","元大中型100","","","","3","3","6125","","","","","","6125",""," "
"0052","富邦科技","429","135","40","11183","11437","648500","7","5","","64","62","648500","1"," "
"0053","元大電子","","","","13","13","1372","","","","","","1372",""," "
"0055","元大MSCI金融","3","5","","148","146","22538","","","","","","22538",""," "
"0056","元大高股息","762","357","3","7918","8320","3483758","","","","","","3483758","","X "
"0057","富邦摩台","","","","","","381","","","","","","381",""," "
"0061","元大寶滬深","","","","15","15","24279","","","","","","24279",""," "
"006203","元大MSCI台灣","","","","","","2554","","","","","","2554","","X "
"006204","永豐臺灣加權","","","","","","375","","","","","","375",""," "
"006205","富邦上証","","","","80","80","23859","","","","1","1","23859",""," "
"006206","元大上證50","","","","8","8","6819","","","","","","6819",""," "
"006207","復華滬深","","","","2","2","5223","","","","","","5223",""," "
"006208","富邦台50","24","5","","368","387","458510","","","","","","458510","1"," "
"00631L","元大台灣50正2","10067","7892","74","242299","244400","1736837","1107","2359","","15632","16884","1736837","1166"," "
"00632R","元大台灣50反1","17511","11366","66","279577","285656","583176","176","171","","7804","7799","583176","278"," "
"00633L","富邦上証正2","192","8","30","7554","7708","29114","3","","","649","646","29114",""," "
"00634R","富邦上証反1","1","","","2158","2159","11814","","","","","","11814",""," "
"00635U","期元大S&P黃金","74","128","2","6953","6897","76128","1","2","","264","265","76128",""," "
"00636","國泰中國A50","5","","","133","138","24581","","","","","","24581",""," "
"00637L","元大滬深300正2","1356","835","1","82672","83192","184026","204","45","","8640","8481","184026","22"," "
"00638R","元大滬深300反1","","","","720","720","6112","","","","4","4","6112",""," "
"00639","富邦深100","23","9","","413","427","24600","","","","8","8","24600","4"," "
"00640L","富邦日本正2","","2","","215","213","1729","","","","47","47","1729",""," "
