股票代號,股票名稱,融資買進,融資賣出,融資現金償還,融資前日餘額,融資今日餘額,融資限額,融券買進,融券賣出,融券現券償還,融券前日餘額,融券今日餘額,融券限額,資券互抵,註記
"00400A","主動國泰動能高息","658","1240","","13359","12777","431535","3","4","","58","59","431535",""," "
"00401A","主動摩根台灣鑫收","27","","","1102","1129","60473","","","","1","1","60473",""," "
"00402A","主動安聯美國科技","7","200","","3483","3290","203031","2","","","3","1","203031",""," "
"00403A","主動統一升級50","3179","13448","30","114973","104674","3888129","314","183","","1685","1554","3888129","78"," "
"00404A","主動聯博動能50","132","257","","2577","2452","81698","","","","","","81698",""," "
"00405A","主動富邦台灣龍耀","1353","1626","2","18413","18138","661436","","25","","252","277","661436","56"," "
"00406A","主動中信台灣收益","43","123","","4072","3992","187515","","","","10","10","187515",""," "
"00407A","主動凱基台灣","940","5872","3","39662","34727","628184","","","","4","4","628184","28"," "
"0050","元大台灣50","1063","1191","10","12748","12610","5188625","31","53","","1063","1085","5188625","52"," "
"0051","元大中型100","","","","3","3","6125","","","","","","6125",""," "
"0052","富邦科技","738","481","104","11229","11382","640500","5","13","","76","84","640500","3"," "
"0053","元大電子","","","","11","11","1372","","","","","","1372",""," "
"0055","元大MSCI金融","21","10","","196","207","22663","","","","","","22663",""," "
"0056","元大高股息","718","158","1","5399","5958","3407008","1","4","","110","113","3407008",""," "
"0057","富邦摩台","","","","","","381","","","","","","381",""," "
"0061","元大寶滬深","","","","15","15","24654","","","","","","24654",""," "
"006203","元大MSCI台灣","","","","","","2554","","","","","","2554",""," "
"006204","永豐臺灣加權","","","","","","375","","","","","","375",""," "
"006205","富邦上証","","","","51","51","24234","","","","1","1","24234",""," "
"006206","元大上證50","","","","8","8","6944","","","","","","6944",""," "
"006207","復華滬深","","","","2","2","5348","","","","","","5348",""," "
"006208","富邦台50","3","31","","334","306","457385","1","","","17","16","457385",""," "
"00631L","元大台灣50正2","14220","21672","89","235380","227839","1615462","2037","2489","","17906","18358","1615462","630"," "
"00632R","元大台灣50反1","15712","8678","310","288803","295527","622801","1139","333","","6642","5836","622801","294"," "
"00633L","富邦上証正2","233","36","","5731","5928","28114","1","1","","716","716","28114",""," "
"00634R","富邦上証反1","","5","","2088","2083","11814","","","","","","11814",""," "
"00635U","期元大S&P黃金","190","122","","6313","6381","74378","","1","","309","310","74378","1"," "
"00636","國泰中國A50","","","","99","99","24956","","","","","","24956",""," "
"00637L","元大滬深300正2","1986","659","18","78699","80008","179776","116","43","","9722","9649","179776","23"," "
"00638R","元大滬深300反1","","33","","785","752","6112","","","","4","4","6112",""," "
"00639","富邦深100","2","","","509","511","24850","","","","7","7","24850",""," "
"00640L","富邦日本正2","2","5","","238","235","1854","","","","48","48","1854",""," "
"00641R","富邦日本反1","18","10","","9990","9998","18939","50","58","","499","507","18939",""," "
"00642U","期元大S&P石油","464","15","","5808","6257","26580","12","","","1512","1500","26580",""," "
"00643","群益深証中小","7","8","","907","906","18388","","","","","","18388",""," "
"00645","富邦日本","","2","","22","20","10999","","","","","","10999",""," "
"00646","元大S&P500","21","2","","52","71","140621","","","","2","2","140621",""," "
"00647L","元大S&P500正2","","","","50","50","1604","","","","","","1604",""," "
"00648R","元大S&P500反1","35","22","","9554","9567","35172","","","","210","210","35172",""," "
"00650L","復華香港正2","122","253","","19118","18987","34959","8","15","","359","366","34959","10"," "
"00651R","復華香港反1","1","","","1762","1763","8048","1","","","113","112","8048",""," "
"00652","富邦印度","","","","59","59","16758","","","","","","16758",""," "
"00653L","富邦印度正2","11","7","","2385","2389","3975","1","","","10","9","3975",""," "
"00654R","富邦印度反1","","10","","547","537","4866","","","","62","62","4866",""," "
"00655L","國泰中國A50正2","33","1","","1936","1968","14614","10","","","283","273","14614",""," "
"00656R","國泰中國A50反1","","5","","155","150","5089","","","","","","5089",""," "
"00657","國泰日經225","","","","","","1646","","","","","","1646",""," "
