股票代號,股票名稱,融資買進,融資賣出,融資現金償還,融資前日餘額,融資今日餘額,融資限額,融券買進,融券賣出,融券現券償還,融券前日餘額,融券今日餘額,融券限額,資券互抵,註記
"00400A","主動國泰動能高息","961","558","4","10794","11193","398535","5","","","54","49","398535","11"," "
"00401A","主動摩根台灣鑫收","17","1","","1027","1043","60723","1","","","1","","60723",""," "
"00402A","主動安聯美國科技","395","417","","3872","3850","211531","2","","","4","2","211531","15"," "
"00403A","主動統一升級50","7563","4977","3","121993","124576","3928504","255","212","","1812","1769","3928504","253"," "
"00404A","主動聯博動能50","538","57","","2218","2699","78573","","","","","","78573",""," "
"00405A","主動富邦台灣龍耀","2657","2232","","21282","21707","638936","64","3","","77","16","638936","101"," "
"00406A","主動中信台灣收益","519","46","","3441","3914","183390","","","","","","183390","1"," "
"00407A","主動凱基台灣","17895","","","","17895","398684","","","","","","398684","11"," "
"0050","元大台灣50","1967","953","7","11606","12613","5121375","193","28","","1221","1056","5121375","68"," "
"0051","元大中型100","","","","3","3","6125","","","","","","6125",""," "
"0052","富邦科技","880","367","5","10658","11166","637875","10","4","","73","67","637875",""," "
"0053","元大電子","1","","","10","11","1372","","","","","","1372",""," "
"0055","元大MSCI金融","20","52","","278","246","22413","","","","","","22413",""," "
"0056","元大高股息","554","166","1","4560","4947","3396758","91","1","","207","117","3396758","4"," "
"0057","富邦摩台","","","","","","381","","","","","","381",""," "
"0061","元大寶滬深","","","","15","15","24779","","","","","","24779",""," "
"006203","元大MSCI台灣","","","","","","2554","","","","","","2554",""," "
"006204","永豐臺灣加權","","","","","","375","","","","","","375",""," "
"006205","富邦上証","","10","","60","50","24359","","","","1","1","24359",""," "
"006206","元大上證50","","","","8","8","7069","","","","","","7069",""," "
"006207","復華滬深","","","","3","3","5348","","","","","","5348",""," "
"006208","富邦台50","78","3","","192","267","457260","","","","18","18","457260",""," "
"00631L","元大台灣50正2","43018","11332","25","179309","210970","1507212","2968","2715","","14657","14404","1507212","1129"," "
"00632R","元大台灣50反1","18234","26786","11","294493","285930","591926","1723","1885","","6918","7080","591926","172"," "
"00633L","富邦上証正2","71","95","","7218","7194","28864","27","","","739","712","28864","1"," "
"00634R","富邦上証反1","","","","2110","2110","11814","","","","","","11814",""," "
"00635U","期元大S&P黃金","114","67","10","6088","6125","73003","12","","","301","289","73003","1"," "
"00636","國泰中國A50","5","","","89","94","25456","","","","","","25456",""," "
"00637L","元大滬深300正2","1746","874","","78073","78945","185526","260","52","","10744","10536","185526","178"," "
"00638R","元大滬深300反1","10","14","","862","858","6737","","","","4","4","6737","10"," "
"00639","富邦深100","1","52","","571","520","25350","","","","7","7","25350",""," "
"00640L","富邦日本正2","12","","","233","245","1854","2","","","52","50","1854",""," "
"00641R","富邦日本反1","321","324","","9479","9476","18689","","9","","490","499","18689",""," "
"00642U","期元大S&P石油","132","1022","","8824","7934","27580","31","4","","1709","1682","27580",""," "
"00643","群益深証中小","","1","","1094","1093","18768","","","","","","18768",""," "
"00645","富邦日本","2","","","20","22","10999","","","","","","10999",""," "
"00646","元大S&P500","","","","45","45","140121","","","","2","2","140121",""," "
"00647L","元大S&P500正2","","","","52","52","1604","","","","","","1604",""," "
"00648R","元大S&P500反1","53","1298","","10631","9386","35922","","","","210","210","35922",""," "
"00650L","復華香港正2","315","248","","18293","18360","32834","13","14","","380","381","32834","26"," "
"00651R","復華香港反1","25","11","","1773","1787","8048","","3","","179","182","8048",""," "
"00652","富邦印度","1","","","58","59","16758","","","","","","16758",""," "
"00653L","富邦印度正2","","11","","2498","2487","3975","","","","5","5","3975","1"," "
"00654R","富邦印度反1","10","","","537","547","4866","","","","62","62","4866",""," "
"00655L","國泰中國A50正2","29","","","1936","1965","14864","5","3","","289","287","14864",""," "
"00656R","國泰中國A50反1","4","","","150","154","5089","","","","","","5089",""," "
"00657","國泰日經225","","","","","","1646","","","","","","1646",""," "
"00660","元大歐洲50","","","","","","1882","","","","","","1882",""," "
"00661","元大日經225","1","","","12","13","5856","","","","","","5856",""," "
"00662","富邦NASDAQ","23","14","","982","991","208257","1","","","2","1","208257",""," "
"00663L","國泰臺灣加權正2","1732","978","1","7980","8733","35415","230","164","","1524","1458","35415","95"," "
"00664R","國泰臺灣加權反1","3749","1873","21","86443","88298","193893","1955","68","","2326","439","193893","74"," "
"00665L","富邦恒生國企正2","1998","4052","","93865","91811","141616","3","11","","507","515","141616","3"," "
"00666R","富邦恒生國企反1","10","","","356","366","3656","","","","12","12","3656",""," "
"00668","國泰美國道瓊","","","","9","9","1883","","","","","","1883",""," "
"00669R","國泰美國道瓊反1","87","5","","14620","14702","51279","","","","117","117","51279",""," "
"00670L","富邦NASDAQ正2","48","161","","1099","986","18786","1","12","","142","153","18786","10"," "
"00671R","富邦NASDAQ反1","","443","","129853","129410","136346","34","17","","2775","2758","136346","","O "
"00673R","期元大S&P原油反1","2308","1682","","71905","72531","147137","1","12","","1090","1101","147137","25"," "
"00674R","期元大S&P黃金反1","97","34","","258","321","4105","","","","8","8","4105",""," "
"00675L","富邦臺灣加權正2","303","256","","2746","2793","26571","79","12","","421","354","26571","8"," "
"00676R","富邦臺灣加權反1","1994","1966","15","20723","20736","43208","2","18","","379","395","43208","60"," "
"00678","群益那斯達克生技","5","1","","20","24","1987","","","","","","1987",""," "
"00680L","元大美債20正2","143","569","250","67138","66462","400144","","14","","940","954","400144",""," "
"00681R","元大美債20反1","","","","7","7","1898","","","","","","1898",""," "
"00682U","期元大美元指數","","1","","4","3","1911","","","","","","1911",""," "
"00683L","期元大美元指正2","","10","","96","86","2858","","","","1","1","2858",""," "
"00684R","期元大美元指反1","","","","21","21","2422","","","","","","2422",""," "
"00685L","群益臺灣加權正2","542","77","10","2731","3186","26284","37","5","","48","16","26284","14","X "
"00686R","群益臺灣加權反1","50","554","5","19551","19042","47944","","200","","1369","1569","47944","2"," "
"00688L","國泰20年美債正2","40","180","","24495","24355","167028","","","","88","88","167028",""," "
"00689R","國泰20年美債反1","","","","","","1722","","","","","","1722","","X "
"00690","兆豐藍籌30","1","","","81","82","20082","","","","","","20082",""," "
"00692","富邦公司治理","11","","","40","51","153320","","","","","","153320",""," "
"00693U","期街口S&P黃豆","1","19","","2777","2759","22041","","","","3","3","22041",""," "
"00700","富邦恒生國企","","","","183","183","8745","","","","","","8745",""," "
"00701","國泰股利精選30","21","","","20","41","43722","","","","","","43722",""," "
"00702","國泰標普低波高息","","","","","","1672","","","","","","1672",""," "
"00703","台新MSCI中國","","","","1","1","2387","","","","","","2387",""," "
"00706L","期元大S&P日圓正2","307","296","","6287","6298","39567","","","","135","135","39567",""," "
"00707R","期元大S&P日圓反1","","","","","","1463","","","","","","1463","","X "
"00708L","期元大S&P黃金正2","424","643","1","9702","9482","28518","5","24","","745","764","28518","1"," "
"00709","富邦歐洲","","","","2","2","3740","","","","","","3740",""," "
"00710B","復華彭博非投等債","","","","10","10","45190","","","","","","45190",""," "
"00711B","復華彭博新興債","","","","3","3","218065","","","","","","218065",""," "
"00712","復華富時不動產","39","177","10","17923","17775","1353127","","","","","","1353127",""," "
"00713","元大台灣高息低波","","2","","295","293","436878","","","","","","436878",""," "
"00714","群益道瓊美國地產","","","","5","5","5266","","","","","","5266",""," "
"00715L","期街口布蘭特正2","426","514","9","12862","12765","31797","524","111","6","4347","3928","31797","46"," "
"00717","富邦美國特別股","","","","","","31651","","","","","","31651",""," "
"00728","第一金工業30","","","","","","9730","","","","","","9730",""," "
"00730","富邦臺灣優質高息","4","1","","5","8","18511","","","","","","18511",""," "
"00731","復華富時高息低波","","","","8","8","5900","","","","","","5900",""," "
"00733","富邦臺灣中小","6","26","","89","69","16991","1","","","1","","16991","2"," "
"00735","國泰臺韓科技","445","180","","3553","3818","25822","6","59","","42","95","25822","6"," "
"00736","國泰新興市場","","","","","","1556","","","","","","1556",""," "
"00737","國泰AI機器人","3","","","48","51","5634","","","","","","5634",""," "
"00738U","期元大道瓊白銀","458","437","","13474","13495","60449","4","32","","374","402","60449","2"," "
"00739","元大MSCI A股","","","","","","6497","","","","","","6497",""," "
"00752","中信中國50","1","325","","1273","949","75429","2","2","","4","4","75429",""," "
"00753L","中信中國50正2","2089","1168","50","103840","104711","188039","34","23","","727","716","188039","43"," "
"00757","統一FANG+","2","12","2","239","227","71998","","4","","6","10","71998",""," "
"00762","元大全球AI","","1","","52","51","11937","","","","","","11937",""," "
"00763U","期街口道瓊銅","20","211","","1663","1472","12391","","1","","93","94","12391","71"," "
"00770","國泰北美科技","1","","","26","27","20114","","","","","","20114",""," "
"00771","元大US高息特別股","","","","1","1","3556","","","","","","3556",""," "
"00775B","台新投等債15+","","","","","","58025","","","","","","58025","","X "
"00783","富邦中証500","","2","","447","445","2007","","","","","","2007",""," "
"00830","國泰費城半導體","382","103","","3778","4057","176616","108","19","","394","305","176616","2"," "
"00850","元大臺灣ESG永續","","","","4","4","103861","","","","","","103861","1"," "
"00851","台新全球AI","1","","","1","2","1381","","","","","","1381",""," "
"00852L","國泰美國道瓊正2","","5","","49","44","2216","","","","70","70","2216",""," "
"00861","元大全球未來通訊","2","","","16","18","17103","","","","","","17103",""," "
"00865B","國泰US短期公債","","","","","","68561","","","","","","68561",""," "
"00875","國泰網路資安","","","","","","3372","","","","","","3372",""," "
"00876","元大全球5G","1","","","2","3","18881","","","","","","18881","1"," "
