股票代號,股票名稱,融資買進,融資賣出,融資現金償還,融資前日餘額,融資今日餘額,融資限額,融券買進,融券賣出,融券現券償還,融券前日餘額,融券今日餘額,融券限額,資券互抵,註記
1417,嘉裕,1,0,0,"2,076","2,077","47,485",0,0,0,0,0,"47,485",0,
1418,東華,0,0,0,772,772,"11,708",0,0,0,0,0,"11,708",0,
1419,新紡,1,5,0,"1,212","1,208","75,010",0,0,0,0,0,"75,010",0,
1423,利華,0,0,0,84,84,"24,912",0,0,0,0,0,"24,912",0,
1432,大魯閣,0,0,0,153,153,"22,500",0,0,0,0,0,"22,500",0,
1434,福懋,30,47,1,"4,253","4,235","421,166",0,0,0,0,0,"421,166",1,
1435,中福,0,0,0,0,0,0,0,0,0,0,0,0,0,OX
1436,華友聯,0,1,0,910,909,"48,537",0,0,0,2,2,"48,537",0,
1437,勤益控,3,3,0,"3,254","3,254","50,467",0,0,0,0,0,"50,467",0,
1438,三地開發,2,5,0,165,162,"22,801",0,0,0,0,0,"22,801",0,X
1439,雋揚,2,1,0,994,995,"23,000",0,0,0,5,5,"23,000",0,
1440,南紡,139,59,0,"5,601","5,681","414,203",1,0,0,2,1,"414,203",0,
1441,大東,0,0,0,0,0,0,0,0,0,0,0,0,0,OX
1442,名軒,31,7,0,"2,555","2,579","91,552",0,0,0,1,1,"91,552",0,
1443,立益物流,0,0,0,8,8,"33,835",0,0,0,0,0,"33,835",0,
1444,力麗,28,21,0,823,830,"248,898",0,0,0,0,0,"248,898",0,
1445,大宇,0,0,0,"1,278","1,278","32,666",0,0,0,3,3,"32,666",0,
1446,宏和,13,1,1,"1,530","1,541","34,427",0,0,0,0,0,"34,427",0,
1447,力鵬,0,0,2,600,598,0,0,0,0,0,0,0,0,OX
1449,佳和,0,0,1,"2,889","2,888","31,778",0,0,0,5,5,"31,778",0,
1451,年興,0,0,0,590,590,"49,500",0,0,0,0,0,"49,500",0,
1452,宏益,0,0,0,106,106,"33,160",0,0,0,0,0,"33,160",0,
1453,大將,0,0,0,834,834,"28,310",0,0,0,0,0,"28,310",0,
1454,台富,8,8,0,"2,174","2,174","32,458",0,0,0,0,0,"32,458",0,
1455,集盛,134,46,0,"3,375","3,463","132,922",0,0,0,5,5,"132,922",0,
1456,怡華,2,3,0,789,788,"23,430",0,0,0,0,0,"23,430",0,
1457,宜進,0,3,0,635,632,"79,182",0,0,0,1,1,"79,182",0,
1459,聯發,9,0,0,293,302,"67,242",0,0,0,0,0,"67,242",0,
1460,宏遠,0,0,0,0,0,0,0,0,0,0,0,0,0,OX
1463,強盛新,1,0,0,498,499,"43,317",0,0,0,0,0,"43,317",0,
1464,得力,4,2,0,"1,947","1,949","106,393",0,0,0,0,0,"106,393",0,
1465,偉全,35,37,0,"2,969","2,967","25,901",0,0,0,0,0,"25,901",0,
1466,聚隆,38,17,0,"2,870","2,891","27,789",0,2,0,0,2,"27,789",0,
1467,南緯,6,12,0,"7,004","6,998","42,052",0,5,0,1,6,"42,052",0,
1468,昶和,0,0,0,0,0,0,0,0,0,0,0,0,0,OX
1470,大統新創,0,0,0,4,4,"21,441",0,0,0,0,0,"21,441",0,
1471,首利,0,0,0,0,0,0,0,0,0,0,0,0,0,OX
1472,三洋實業,5,0,0,"3,587","3,592","8,747",0,0,0,3,3,"8,747",0,
1473,台南,0,0,0,819,819,"36,538",0,0,0,2,2,"36,538",0,
1474,弘裕,0,0,0,"3,098","3,098","32,474",0,0,0,0,0,"32,474",0,
1475,業旺,0,0,0,465,465,"16,504",0,0,0,0,0,"16,504",0,
1476,儒鴻,61,12,0,"1,294","1,343","68,591",0,0,0,19,19,"68,591",0,
1477,聚陽,43,4,0,"1,816","1,855","61,673",0,1,0,10,11,"61,673",0,
1503,士電,142,116,0,"3,119","3,145","130,243",0,0,0,15,15,"130,243",0,
1504,東元,330,83,2,"27,409","27,654","594,110",2,0,0,132,130,"594,110",1,
1506,正道,0,0,0,0,0,0,0,0,0,0,0,0,0,OX
1512,瑞利,0,0,0,0,0,0,0,0,0,0,0,0,0,OX
1513,中興電,61,108,1,"6,933","6,885","125,778",0,0,0,13,13,"125,778",0,
1514,亞力,64,54,0,"6,212","6,222","69,642",0,0,0,66,66,"69,642",0,
1515,力山,14,61,0,"2,867","2,820","45,368",0,0,0,6,6,"45,368",0,
1516,川飛,0,1,0,2,1,0,0,0,0,0,0,0,0,OX
1517,利奇,7,7,0,"1,731","1,731","55,000",0,0,0,3,3,"55,000",0,
1519,華城,366,265,2,"3,998","4,097","86,867",1,0,0,63,62,"86,867",1,
1521,大億,3,0,0,456,459,"19,057",0,0,0,0,0,"19,057",0,
1522,堤維西,25,14,2,"3,562","3,571","78,224",1,0,0,31,30,"78,224",1,
1524,耿鼎,15,5,2,"3,615","3,623","41,327",0,0,0,3,3,"41,327",0,
1525,江申,0,5,0,208,203,"18,350",0,0,0,0,0,"18,350",0,
1526,日馳,10,3,0,661,668,"15,000",0,0,0,6,6,"15,000",0,
1527,鑽全,1,17,0,449,433,"34,642",0,0,0,0,0,"34,642",0,
1528,恩德,67,7,0,"5,444","5,504","47,832",0,0,0,31,31,"47,832",0,
1529,樂事綠能,24,1,0,"3,065","3,088","38,773",0,0,0,727,727,"38,773",0,
1530,亞崴,0,1,0,247,246,"23,648",0,0,0,0,0,"23,648",0,
