股票代號,股票名稱,融資買進,融資賣出,融資現金償還,融資前日餘額,融資今日餘額,融資限額,融券買進,融券賣出,融券現券償還,融券前日餘額,融券今日餘額,融券限額,資券互抵,註記
"00400A","主動國泰動能高息","2056","717","10","11237","12566","411785","1","125","9","50","165","411785","2"," "
"00401A","主動摩根台灣鑫收","12","23","","1049","1038","60848","","","","1","1","60848",""," "
"00402A","主動安聯美國科技","168","173","","3673","3668","210406","1","2","","2","3","210406","15"," "
"00403A","主動統一升級50","11572","8356","18","109851","113049","3936129","540","113","","1860","1433","3936129","116"," "
"00404A","主動聯博動能50","186","136","","2656","2706","82823","","","","","","82823",""," "
"00405A","主動富邦台灣龍耀","2886","4182","15","22982","21671","651186","75","310","","96","331","651186","55"," "
"00406A","主動中信台灣收益","781","354","","3532","3959","192515","","","","","","192515",""," "
"00407A","主動凱基台灣","11103","8972","2","35498","37627","585559","1","126","","1","126","585559","719"," "
"0050","元大台灣50","1802","1821","2","13124","13103","5146500","97","63","2","1265","1229","5146500","65"," "
"0051","元大中型100","","","","3","3","6125","","","","","","6125",""," "
"0052","富邦科技","919","768","56","11364","11459","639375","17","11","","70","64","639375","12"," "
"0053","元大電子","1","","","11","12","1372","","","","","","1372",""," "
"0055","元大MSCI金融","2","57","","230","175","22663","","","","","","22663",""," "
"0056","元大高股息","390","381","5","4984","4988","3400758","13","7","","119","113","3400758","5"," "
"0057","富邦摩台","","","","","","381","","","","","","381",""," "
"0061","元大寶滬深","","1","","16","15","24654","","","","","","24654",""," "
"006203","元大MSCI台灣","","","","","","2554","","","","","","2554",""," "
"006204","永豐臺灣加權","","","","","","375","","","","","","375",""," "
"006205","富邦上証","","","","50","50","24359","","","","1","1","24359",""," "
"006206","元大上證50","","","","8","8","7069","","","","","","7069",""," "
"006207","復華滬深","","","","3","3","5348","","","","","","5348",""," "
"006208","富邦台50","46","3","","266","309","457260","2","8","","19","25","457260",""," "
"00631L","元大台灣50正2","36294","13794","184","214759","237075","1610837","2706","3653","3","16542","17486","1610837","2450"," "
"00632R","元大台灣50反1","22247","25580","136","286180","282711","579051","127","2273","","6623","8769","579051","424"," "
"00633L","富邦上証正2","218","1619","","7222","5821","28489","51","16","","751","716","28489",""," "
"00634R","富邦上証反1","30","65","","2136","2101","11814","","","","","","11814",""," "
"00635U","期元大S&P黃金","102","176","","6073","5999","73253","2","2","","301","301","73253",""," "
"00636","國泰中國A50","5","","","89","94","25331","","","","","","25331",""," "
"00637L","元大滬深300正2","3947","2322","","78868","80493","183526","1093","9","","10636","9552","183526","259"," "
"00638R","元大滬深300反1","61","80","","828","809","6112","","","","4","4","6112",""," "
"00639","富邦深100","","10","","520","510","25225","","","","7","7","25225",""," "
"00640L","富邦日本正2","12","16","","242","238","1854","2","","","50","48","1854",""," "
"00641R","富邦日本反1","237","25","","9533","9745","18689","","","","499","499","18689","10"," "
"00642U","期元大S&P石油","168","681","","6487","5974","26580","41","5","","1644","1608","26580",""," "
"00643","群益深証中小","16","11","","1142","1147","18518","","","","","","18518",""," "
"00645","富邦日本","","","","22","22","10999","","","","","","10999",""," "
"00646","元大S&P500","2","1","","49","50","140371","","","","2","2","140371",""," "
"00647L","元大S&P500正2","","3","","53","50","1604","","","","","","1604",""," "
"00648R","元大S&P500反1","267","111","","10768","10924","35922","","","","210","210","35922",""," "
"00650L","復華香港正2","796","824","31","18682","18623","34959","76","73","","368","365","34959","111"," "
"00651R","復華香港反1","29","","","1800","1829","8048","","1","","186","187","8048",""," "
"00652","富邦印度","","1","","59","58","16758","","","","","","16758",""," "
"00653L","富邦印度正2","4","22","","2480","2462","3975","","","","5","5","3975",""," "
"00654R","富邦印度反1","","","","547","547","4866","","","","62","62","4866",""," "
"00655L","國泰中國A50正2","95","21","","1925","1999","14614","16","","","289","273","14614",""," "
"00656R","國泰中國A50反1","","","","150","150","5089","","","","","","5089",""," "
"00657","國泰日經225","","","","","","1646","","","","","","1646",""," "
"00660","元大歐洲50","","","","","","1882","","","","","","1882",""," "
"00661","元大日經225","","","","12","12","5856","","","","","","5856",""," "
"00662","富邦NASDAQ","136","","3","996","1129","210257","","5","","1","6","210257","1"," "
"00663L","國泰臺灣加權正2","1906","886","35","8970","9955","36415","284","449","","1575","1740","36415","71"," "
"00664R","國泰臺灣加權反1","3774","2006","","90627","92395","196393","","15","","439","454","196393","78"," "
"00665L","富邦恒生國企正2","2301","10146","1456","92550","83249","142866","25","18","","521","514","142866","54"," "
"00666R","富邦恒生國企反1","","21","","465","444","3656","","","","12","12","3656",""," "
"00668","國泰美國道瓊","","","","5","5","1883","","","","","","1883",""," "
"00669R","國泰美國道瓊反1","69","80","","14692","14681","51279","1","","","117","116","51279",""," "
"00670L","富邦NASDAQ正2","68","31","","1010","1047","18786","19","2","","160","143","18786",""," "
"00671R","富邦NASDAQ反1","","92","80","129359","129187","136346","203","45","","2756","2598","136346","","O "
"00673R","期元大S&P原油反1","1280","2154","3","68708","67831","141762","69","627","","785","1343","141762",""," "
"00674R","期元大S&P黃金反1","29","11","","442","460","3980","","","","8","8","3980",""," "
"00675L","富邦臺灣加權正2","424","131","3","2813","3103","26696","13","30","1","372","388","26696","5"," "
"00676R","富邦臺灣加權反1","1471","3544","","21512","19439","43208","34","131","","244","341","43208","30"," "
"00678","群益那斯達克生技","3","10","","28","21","1987","","","","","","1987",""," "
"00680L","元大美債20正2","121","1890","10","62746","60967","383144","30","39","","814","823","383144",""," "
"00681R","元大美債20反1","","","","7","7","1898","","","","","","1898",""," "
"00682U","期元大美元指數","9","","","3","12","1911","","","","","","1911",""," "
"00683L","期元大美元指正2","51","","","99","150","2858","","","","1","1","2858",""," "
"00684R","期元大美元指反1","","","","21","21","2422","","","","","","2422",""," "
"00685L","群益臺灣加權正2","983","384","4","3263","3858","29409","","","","","","29409","","X "
"00686R","群益臺灣加權反1","3383","4143","","20067","19307","47944","3","65","","67","129","47944","10"," "
"00688L","國泰20年美債正2","64","209","1","23740","23594","161903","50","","","156","106","161903",""," "
"00689R","國泰20年美債反1","","","","","","1722","","","","","","1722","","X "
"00690","兆豐藍籌30","4","","","81","85","20207","","","","","","20207",""," "
"00692","富邦公司治理","3","","","49","52","153320","","","","","","153320",""," "
"00693U","期街口S&P黃豆","116","180","","2731","2667","21916","","","","3","3","21916",""," "
"00700","富邦恒生國企","","","","186","186","8745","","","","","","8745",""," "
