股票代號,股票名稱,融資買進,融資賣出,融資現金償還,融資前日餘額,融資今日餘額,融資限額,融券買進,融券賣出,融券現券償還,融券前日餘額,融券今日餘額,融券限額,資券互抵,註記
"00400A","主動國泰動能高息","444","425","","12670","12689","377410","3","99","","36","132","377410","6"," "
"00401A","主動摩根台灣鑫收","20","56","","917","881","63223","","","","","","63223",""," "
"00403A","主動統一升級50","9618","9265","20","152679","153012","4362004","1157","1099","","4118","4060","4362004","623"," "
"0050","元大台灣50","1073","1599","2","10101","9573","4928750","137","246","","1324","1433","4928750","211"," "
"0051","元大中型100","2","","","14","16","6125","","","","","","6125",""," "
"0052","富邦科技","560","791","","10560","10329","636125","24","13","","81","70","636125","10"," "
"0053","元大電子","1","","","9","10","1247","","","","","","1247",""," "
"0055","元大MSCI金融","14","40","","202","176","20163","","1","","","1","20163",""," "
"0056","元大高股息","154","120","1","3657","3690","3389383","24","15","","347","338","3389383","4"," "
"0057","富邦摩台","","","","","","381","","","","","","381",""," "
"0061","元大寶滬深","","1","","34","33","25279","","","","","","25279",""," "
"006203","元大MSCI台灣","","","","","","2554","","","","","","2554",""," "
"006204","永豐臺灣加權","","","","","","375","","","","","","375",""," "
"006205","富邦上証","","1","","21","20","24859","","","","1","1","24859",""," "
"006206","元大上證50","","20","","32","12","7194","","","","","","7194",""," "
"006207","復華滬深","","","","5","5","5473","","","","","","5473",""," "
"006208","富邦台50","12","1","","190","201","457260","","","","26","26","457260",""," "
"00631L","元大台灣50正2","30999","17399","176","168402","181826","1297712","3051","1731","","15586","14266","1297712","1004"," "
"00632R","元大台灣50反1","12711","28216","38","298876","283333","582551","23","309","","4344","4630","582551","1088"," "
"00633L","富邦上証正2","120","228","33","7437","7296","29114","7","2","","784","779","29114","1"," "
"00634R","富邦上証反1","1","","","2077","2078","11814","","","","","","11814",""," "
"00635U","期元大S&P黃金","113","76","","4874","4911","71253","1","","","259","258","71253",""," "
"00636","國泰中國A50","","2","","78","76","26206","","","","","","26206",""," "
"00637L","元大滬深300正2","1098","427","","74540","75211","183401","96","16","","11112","11032","183401","265"," "
"00638R","元大滬深300反1","","24","","960","936","6737","","","","4","4","6737",""," "
"00639","富邦深100","45","5","","541","581","26850","","","","7","7","26850",""," "
"00640L","富邦日本正2","","27","","214","187","1854","","","","60","60","1854",""," "
"00641R","富邦日本反1","37","","","7592","7629","18689","8","3","","506","501","18689",""," "
"00642U","期元大S&P石油","362","324","","7005","7043","26830","19","19","","2869","2869","26830",""," "
"00643","群益深証中小","7","","","1040","1047","19893","","","","","","19893",""," "
"00645","富邦日本","","","","20","20","11374","","","","","","11374",""," "
"00646","元大S&P500","","","","43","43","140371","","","","2","2","140371",""," "
"00647L","元大S&P500正2","","","","41","41","1604","","","","","","1604",""," "
"00648R","元大S&P500反1","55","69","","9728","9714","36672","","","","144","144","36672",""," "
"00650L","復華香港正2","493","48","","17741","18186","30334","38","13","","1145","1120","30334","","@ "
"00651R","復華香港反1","","57","","1784","1727","8048","13","","","269","256","8048","5"," "
"00652","富邦印度","6","15","","155","146","16883","","","","","","16883","7"," "
"00653L","富邦印度正2","3","12","","2758","2749","4350","7","","","13","6","4350","1","@ "
"00654R","富邦印度反1","1","2","","660","659","4866","","","","65","65","4866",""," "
"00655L","國泰中國A50正2","102","72","","2071","2101","14864","1","","","344","343","14864","2"," "
"00656R","國泰中國A50反1","","","","246","246","5089","","","","","","5089",""," "
"00657","國泰日經225","","","","","","1646","","","","","","1646",""," "
"00660","元大歐洲50","","","","","","1882","","","","","","1882",""," "
"00661","元大日經225","","","","15","15","5981","","","","","","5981",""," "
"00662","富邦NASDAQ","2","12","","928","918","192632","4","","","6","2","192632",""," "
"00663L","國泰臺灣加權正2","2031","1450","30","7354","7905","33040","120","121","","1708","1709","33040","132"," "
"00664R","國泰臺灣加權反1","5221","4278","35","98278","99186","194393","35","36","","435","436","194393","59"," "
"00665L","富邦恒生國企正2","1779","62","334","82451","83834","120741","6","9","","572","575","120741","36","@ "
"00666R","富邦恒生國企反1","","","","404","404","3656","","","","12","12","3656",""," "
"00668","國泰美國道瓊","","","","10","10","2508","","","","","","2508",""," "
"00669R","國泰美國道瓊反1","220","60","","15099","15259","52154","27","","","145","118","52154",""," "
