股票代號,股票名稱,融資買進,融資賣出,融資現金償還,融資前日餘額,融資今日餘額,融資限額,融券買進,融券賣出,融券現券償還,融券前日餘額,融券今日餘額,融券限額,資券互抵,註記
"00400A","主動國泰動能高息","185","1242","104","14284","13123","376160","5","43","","39","77","376160",""," "
"00401A","主動摩根台灣鑫收","90","41","","947","996","63223","","","","","","63223",""," "
"00403A","主動統一升級50","5996","17835","58","162243","150346","4403879","39","387","","1492","1840","4403879","222"," "
"0050","元大台灣50","959","380","7","9177","9749","4818250","44","54","","1329","1339","4818250","7"," "
"0051","元大中型100","1","","","13","14","6125","","","","","","6125",""," "
"0052","富邦科技","318","568","1","10577","10326","632375","4","2","","97","95","632375",""," "
"0053","元大電子","","","","9","9","1247","","","","","","1247",""," "
"0055","元大MSCI金融","89","40","","60","109","20163","","","","","","20163",""," "
"0056","元大高股息","304","311","","3453","3446","3391508","4","17","","356","369","3391508","8"," "
"0057","富邦摩台","","","","","","381","","","","","","381",""," "
"0061","元大寶滬深","","6","","35","29","25279","","","","","","25279",""," "
"006203","元大MSCI台灣","","","","","","2554","","","","","","2554",""," "
"006204","永豐臺灣加權","","","","","","375","","","","","","375",""," "
"006205","富邦上証","","","","20","20","24859","","","","1","1","24859",""," "
"006206","元大上證50","20","","","12","32","7194","","","","","","7194",""," "
"006207","復華滬深","","","","5","5","5473","","","","","","5473",""," "
"006208","富邦台50","21","5","","157","173","457260","2","","","28","26","457260",""," "
"00631L","元大台灣50正2","17591","9398","24","152400","160569","1211212","1190","1482","4","15441","15729","1211212","483"," "
"00632R","元大台灣50反1","11982","11903","258","299427","299248","600801","1354","1237","","4261","4144","600801","141"," "
"00633L","富邦上証正2","287","204","","7331","7414","29114","19","5","","803","789","29114","1"," "
"00634R","富邦上証反1","1","30","","2109","2080","11814","23","","","23","","11814",""," "
"00635U","期元大S&P黃金","71","25","3","4784","4827","71253","3","","","262","259","71253",""," "
"00636","國泰中國A50","10","","","58","68","26206","","","","","","26206",""," "
"00637L","元大滬深300正2","590","3859","","74901","71632","183401","42","775","","11327","12060","183401","7"," "
