Rank,Stock,Price,Change,ChangePercent,NetSell
1,2892 第一金,27.60,-0.10,-0.36%,"-212,466"
2,2887 台新新光金,23.30,-0.30,-1.27%,"-191,263"
3,2880 華南金,29.95,-0.20,-0.66%,"-109,466"
4,2618 長榮航,34.80,-0.40,-1.14%,"-84,350"
5,1402 遠東新,23.45,-2.60,-9.98%,"-65,740"
6,3481 群創,50.20,+ 4.50,+9.85%,"-65,270"
7,2382 廣達,312.00,-4.50,-1.42%,"-59,536"
8,2409 友達,21.80,-0.20,-0.91%,"-51,367"
9,2002 中鋼,19.10,-0.40,-2.05%,"-51,296"
10,1101 台泥,23.85,-0.10,-0.42%,"-48,038"
11,2801 彰銀,20.15,0.00,0.00%,"-47,940"
12,2883 凱基金,22.30,+ 0.75,+3.48%,"-46,943"
13,2886 兆豐金,39.45,+ 0.05,+0.13%,"-46,796"
14,1216 統一,70.20,-0.60,-0.85%,"-45,096"
15,3045 台灣大,110.00,-0.50,-0.45%,"-40,107"
16,1102 亞泥,33.00,-0.25,-0.75%,"-39,486"
17,2633 台灣高鐵,25.25,+ 0.20,+0.80%,"-35,811"
18,00990A主動元大AI新經濟,19.88,+ 0.50,+2.58%,"-33,959"
19,2412 中華電,137.00,+ 1.00,+0.74%,"-33,245"
20,2356 英業達,62.00,-0.60,-0.96%,"-31,998"
21,2890 永豐金,29.65,+ 0.10,+0.34%,"-30,967"
22,9904 寶成,25.35,-0.20,-0.78%,"-30,449"
23,2884 玉山金,31.15,0.00,0.00%,"-26,153"
24,00991A主動復華未來50,19.74,+ 0.41,+2.12%,"-25,508"
25,5880 合庫金,22.75,+ 0.05,+0.22%,"-25,352"
26,2912 統一超,206.50,-3.00,-1.43%,"-23,899"
27,4904 遠傳,92.90,-1.10,-1.17%,"-20,199"
28,5876 上海商銀,39.45,0.00,0.00%,"-19,836"
29,00997A主動群益美國增長,13.30,+ 0.27,+2.07%,"-19,526"
30,2337 旺宏,155.50,-5.00,-3.12%,"-17,991"
31,2515 中工,12.85,0.00,0.00%,"-15,759"
32,2603 長榮,211.50,0.00,0.00%,"-14,032"
33,5871 中租-KY,107.00,0.00,0.00%,"-13,875"
34,2610 華航,18.45,-0.20,-1.07%,"-13,656"
35,00988A主動統一全球創新,22.07,+ 0.15,+0.68%,"-13,078"
36,2834 臺企銀,16.15,+ 0.15,+0.94%,"-12,937"
37,2402 毅嘉,68.70,-1.40,-2.00%,"-12,523"
38,8150 南茂,93.90,+ 8.50,+9.95%,"-12,359"
39,2105 正新,31.55,-0.05,-0.16%,"-11,994"
40,1301 台塑,45.45,+ 0.70,+1.56%,"-11,332"
41,2327 國巨*,701.00,+ 40.00,+6.05%,"-10,883"
42,9945 潤泰新,23.25,-0.40,-1.69%,"-10,448"
43,2355 敬鵬,62.60,-2.50,-3.84%,"-10,007"
44,4958 臻鼎-KY,532.00,-8.00,-1.48%,"-9,587"
45,2867 三商壽,7.54,-0.04,-0.53%,"-9,458"
46,3042 晶技,198.00,-5.00,-2.46%,"-8,808"
47,2401 凌陽,31.05,+ 0.95,+3.16%,"-8,182"
48,2486 一詮,276.00,-13.00,-4.50%,"-8,047"
49,2388 威盛,75.90,-2.10,-2.69%,"-7,890"
50,9907 統一實,15.85,0.00,0.00%,"-6,311"
