Rank,Stock,Price,Change,ChangePercent,NetBuy
1,2883 凱基金,31.70,+ 0.70,+2.26%,"24,668"
2,2881 富邦金,141.50,+ 9.50,+7.20%,"18,668"
3,2409 友達,25.65,+ 0.40,+1.58%,"16,759"
4,2892 第一金,33.80,+ 0.25,+0.75%,"14,367"
5,2886 兆豐金,47.00,+ 0.15,+0.32%,"13,560"
6,2882 國泰金,103.00,+ 4.10,+4.15%,"13,018"
7,2606 裕民,78.00,+ 5.70,+7.88%,"12,872"
8,2884 玉山金,39.00,+ 0.85,+2.23%,"12,136"
9,1216 統一,77.90,+ 0.50,+0.65%,"9,982"
10,3481 群創,46.80,+ 1.35,+2.97%,"9,718"
11,2891 中信金,64.50,+ 0.90,+1.42%,"8,700"
12,2610 華航,20.40,-0.10,-0.49%,"7,504"
13,00919 群益台灣精選高息,31.07,+ 0.42,+1.37%,"7,242"
14,2890 永豐金,39.30,+ 0.35,+0.90%,"6,536"
15,00982A主動群益台灣強棒,21.65,+ 0.23,+1.07%,"6,008"
16,2880 華南金,39.80,+ 0.55,+1.40%,"5,938"
17,2609 陽明,63.60,-0.90,-1.40%,"5,685"
18,2615 萬海,126.50,+ 2.00,+1.61%,"5,681"
19,2603 長榮,246.00,-4.50,-1.80%,"5,595"
20,3045 台灣大,115.50,+ 0.50,+0.43%,"5,421"
21,2887 台新新光金,37.15,+ 0.65,+1.78%,"5,308"
22,00988A主動統一全球創新,16.13,+ 0.06,+0.37%,"4,561"
23,8039 台虹,291.50,+ 26.50,+10.00%,"4,539"
24,00997A主動群益美國增長,11.04,-0.05,-0.45%,"3,899"
25,2484 希華,79.30,+ 7.20,+9.99%,"3,854"
26,4904 遠傳,102.50,+ 1.00,+0.99%,"3,814"
27,2489 瑞軒,40.55,+ 3.65,+9.89%,"3,801"
28,5880 合庫金,25.05,+ 0.05,+0.20%,"3,604"
29,6505 台塑化,71.00,+ 1.10,+1.57%,"3,588"
30,2637 慧洋-KY,95.50,-1.60,-1.65%,"3,437"
31,1326 台化,58.00,+ 0.90,+1.58%,"3,115"
32,3037 欣興,"1,095.00",+ 20.00,+1.86%,"3,068"
33,1102 亞泥,34.90,+ 0.10,+0.29%,"2,857"
34,1303 南亞,188.50,+ 8.50,+4.72%,"2,827"
35,9904 寶成,25.10,+ 0.05,+0.20%,"2,710"
36,1802 台玻,58.00,+ 1.10,+1.93%,"2,569"
37,009821野村稀土關鍵資源,15.71,+ 0.02,+0.13%,"2,500"
38,00406A主動中信台灣收益,9.41,+ 0.05,+0.53%,"2,384"
39,3034 聯詠,555.00,+ 13.00,+2.40%,"2,285"
40,2455 全新,419.50,+ 38.00,+9.96%,"2,145"
41,5871 中租-KY,115.00,-0.50,-0.43%,"2,081"
42,2812 台中銀,18.95,-0.10,-0.52%,"2,040"
43,2104 國際中橡,10.20,-0.15,-1.45%,"2,000"
44,1710 東聯,15.90,+ 0.60,+3.92%,"1,787"
45,3673 TPK-KY,66.00,+ 2.90,+4.60%,"1,726"
46,00885 富邦越南,18.50,+ 0.27,+1.48%,"1,722"
47,2617 台航,31.85,+ 0.10,+0.31%,"1,685"
48,3450 聯鈞,533.00,+ 26.00,+5.13%,"1,630"
49,4958 臻鼎-KY,444.00,+ 8.50,+1.95%,"1,576"
50,00909 國泰數位支付服務,46.36,+ 0.36,+0.78%,"1,494"
