Rank,Stock,Price,Change,ChangePercent,Buy,Sell,NetBuy
1,3481 群創,24.80,-0.20,-0.80%,"174,519","248,646","-74,126"
2,6770 力積電,59.20,-3.60,-5.73%,"222,664","289,191","-66,527"
3,2408 南亞科,219.50,-6.00,-2.66%,"133,271","185,144","-51,873"
4,2002 中鋼,19.60,-0.15,-0.76%,"25,814","72,875","-47,061"
5,1303 南亞,74.20,-0.60,-0.80%,"39,331","79,562","-40,231"
6,6443 元晶,45.00,-1.30,-2.81%,"31,789","71,890","-40,101"
7,2406 國碩,35.70,-0.90,-2.46%,"18,461","53,762","-35,301"
8,2455 全新,270.50,-1.50,-0.55%,"28,347","60,013","-31,666"
9,2344 華邦電,92.40,-3.10,-3.25%,"159,719","190,169","-30,450"
10,1802 台玻,54.90,+ 1.60,+3.00%,"56,917","84,251","-27,334"
11,3714 富采,48.70,-1.40,-2.79%,"8,439","30,556","-22,116"
12,1301 台塑,46.90,-0.55,-1.16%,"19,773","39,962","-20,189"
13,3049 精金,12.75,-1.10,-7.94%,"31,835","51,579","-19,744"
14,6282 康舒,48.90,-0.50,-1.01%,"17,270","36,787","-19,517"
15,00712 復華富時不動產,8.56,-0.07,-0.81%,"20,952","40,408","-19,456"
16,00991A主動復華未來50,12.58,-0.13,-1.02%,"64,982","84,233","-19,251"
17,8028 昇陽半導體,191.00,-5.00,-2.55%,"10,271","28,382","-18,110"
18,1326 台化,44.25,-0.85,-1.88%,"28,951","46,897","-17,946"
19,6168 宏齊,24.75,-0.75,-2.94%,"4,867","22,186","-17,320"
20,4977 眾達-KY,200.00,+ 4.00,+2.04%,"11,468","28,482","-17,014"
21,2883 凱基金,19.85,+ 0.05,+0.25%,"25,070","41,487","-16,417"
22,2313 華通,270.00,+ 24.50,+9.98%,"156,245","171,325","-15,080"
23,3450 聯鈞,271.50,-7.50,-2.69%,"8,074","22,406","-14,333"
24,2489 瑞軒,35.05,+ 3.15,+9.87%,"58,295","72,323","-14,028"
25,4938 和碩,80.90,+ 0.20,+0.25%,"11,955","25,011","-13,057"
26,2369 菱生,30.70,-0.35,-1.13%,"15,634","28,315","-12,681"
27,2317 鴻海,199.50,-1.00,-0.50%,"29,525","41,973","-12,448"
28,6257 矽格,146.00,0.00,0.00%,"15,709","27,253","-11,545"
29,8131 福懋科,63.10,-1.60,-2.47%,"6,065","17,218","-11,153"
30,6706 惠特,126.50,-5.50,-4.17%,"6,731","17,867","-11,136"
31,1101 台泥,22.80,-0.05,-0.22%,"13,450","24,573","-11,123"
32,4989 榮科,64.60,-1.30,-1.97%,"8,381","19,296","-10,916"
33,00993A主動安聯台灣,10.58,+ 0.02,+0.19%,"17,624","28,023","-10,399"
34,2413 環科,55.60,-0.10,-0.18%,"8,039","17,864","-9,825"
35,009817國泰日本不動產,9.44,-0.02,-0.21%,"2,455","11,239","-8,783"
36,2481 強茂,97.90,-1.80,-1.81%,"17,056","25,291","-8,235"
37,4956 光鋐,34.95,-0.15,-0.43%,"9,573","16,850","-7,277"
38,00953B群益優選非投等債,9.64,-0.02,-0.21%,"20,840","28,086","-7,246"
39,6919 康霈*,81.20,-4.40,-5.14%,"15,721","22,834","-7,112"
40,6505 台塑化,56.30,+ 0.60,+1.08%,"12,214","19,227","-7,013"
41,3583 辛耘,497.50,-3.50,-0.70%,"3,257","9,981","-6,725"
42,3380 明泰,37.10,+ 0.85,+2.34%,"7,011","13,417","-6,407"
43,4967 十銓,228.50,-1.00,-0.44%,"11,836","18,211","-6,375"
44,6672 騰輝電子-KY,131.50,+ 1.00,+0.77%,"7,387","13,694","-6,307"
45,3231 緯創,127.00,0.00,0.00%,"17,631","23,872","-6,241"
46,8422 可寧衛*,29.25,-0.25,-0.85%,"5,219","11,255","-6,036"
47,2347 聯強,79.80,-1.30,-1.60%,"3,967","9,991","-6,024"
48,1717 長興,61.70,+ 0.10,+0.16%,"12,497","18,412","-5,915"
49,6139 亞翔,574.00,-15.00,-2.55%,"5,353","11,115","-5,762"
50,8046 南電,561.00,-8.00,-1.41%,"25,432","31,163","-5,731"
