Rank,Stock,Price,Change,ChangePercent,NetBuy
1,00403A主動統一升級50,10.61,+ 0.36,+3.51%,"432,868"
2,00981A主動統一台股增長,31.47,+ 0.87,+2.84%,"147,022"
3,2887 台新新光金,31.60,+ 1.40,+4.64%,"92,105"
4,00631L元大台灣50正2,37.07,+ 2.24,+6.43%,"76,463"
5,2618 長榮航,39.95,+ 1.25,+3.23%,"68,224"
6,2891 中信金,70.10,+ 2.50,+3.70%,"67,599"
7,2610 華航,21.40,+ 1.00,+4.90%,"63,289"
8,2890 永豐金,35.20,+ 1.05,+3.07%,"55,462"
9,2344 華邦電,189.00,+ 17.00,+9.88%,"49,803"
10,2892 第一金,31.30,+ 0.30,+0.97%,"46,388"
11,3576 聯合再生,21.00,+ 1.20,+6.06%,"44,440"
12,00992A主動群益科技創新,18.24,+ 0.44,+2.47%,"38,553"
13,2002 中鋼,19.00,+ 0.10,+0.53%,"37,350"
14,00990A主動元大AI新經濟,20.47,+ 1.22,+6.34%,"33,612"
15,1303 南亞,117.00,+ 10.50,+9.86%,"33,193"
16,2801 彰銀,22.65,+ 0.05,+0.22%,"31,117"
17,1605 華新,40.00,+ 2.30,+6.10%,"30,305"
18,00991A主動復華未來50,19.69,+ 0.64,+3.36%,"29,349"
19,2884 玉山金,34.65,+ 0.30,+0.87%,"26,403"
20,2834 臺企銀,17.30,0.00,0.00%,"26,084"
21,2880 華南金,36.70,+ 0.70,+1.94%,"25,354"
22,2882 國泰金,104.00,+ 3.50,+3.48%,"23,202"
23,0050 元大台灣50,105.25,+ 3.30,+3.24%,"23,128"
24,00982A主動群益台灣強棒,24.12,+ 0.77,+3.30%,"22,671"
25,2408 南亞科,395.50,+ 21.50,+5.75%,"18,706"
26,2867 三商壽,8.37,+ 0.13,+1.58%,"18,362"
27,1326 台化,51.60,+ 2.80,+5.74%,"17,920"
28,1301 台塑,47.25,+ 2.00,+4.42%,"17,516"
29,0056 元大高股息,51.50,+ 0.90,+1.78%,"16,703"
30,1802 台玻,67.40,+ 3.30,+5.15%,"16,059"
31,00918 大華優利高填息30,31.88,+ 1.03,+3.34%,"15,806"
32,2401 凌陽,31.45,+ 2.85,+9.97%,"14,754"
33,00405A主動富邦台灣龍耀,9.34,+ 0.19,+2.08%,"14,398"
34,2845 遠東銀,12.85,-0.10,-0.77%,"14,369"
35,00929 復華台灣科技優息,30.49,+ 0.98,+3.32%,"14,304"
36,5880 合庫金,24.15,+ 0.10,+0.42%,"13,703"
37,2330 台積電,"2,375.00",+ 65.00,+2.81%,"13,574"
38,00400A主動國泰動能高息,14.63,+ 0.39,+2.74%,"13,503"
39,1714 和桐,16.70,+ 1.50,+9.87%,"13,265"
40,00878 國泰永續高股息,32.61,+ 0.56,+1.75%,"12,714"
41,00891 中信關鍵半導體,36.15,+ 1.23,+3.52%,"12,530"
42,009816凱基台灣TOP50,15.38,+ 0.48,+3.22%,"11,429"
43,2327 國巨*,940.00,+ 85.00,+9.94%,"11,421"
44,1101 台泥,24.85,+ 0.30,+1.22%,"11,344"
45,00830 國泰費城半導體,98.45,+ 5.60,+6.03%,"10,824"
46,2317 鴻海,267.50,+ 7.00,+2.69%,"10,586"
47,00999A主動野村臺灣高息,11.12,+ 0.04,+0.36%,"9,381"
48,6191 精成科,103.00,+ 9.20,+9.81%,"8,531"
49,00988A主動統一全球創新,22.36,+ 1.48,+7.09%,"8,461"
50,6202 盛群,65.20,+ 5.80,+9.76%,"8,296"
