Rank,Stock,Price,Change,ChangePercent,Buy,Sell,NetSell
1,00991A主動復華未來50,19.64,+ 0.54,+2.83%,"73,132","239,170","-166,037"
2,009816凱基台灣TOP50,15.20,+ 0.40,+2.70%,"121,456","263,039","-141,582"
3,00988A主動統一全球創新,22.11,+ 0.90,+4.24%,"53,843","146,534","-92,690"
4,00981A主動統一台股增長,31.54,+ 0.82,+2.67%,"106,763","190,123","-83,360"
5,9105 泰金寶-DR,8.80,+ 0.29,+3.41%,"53,874","135,341","-81,467"
6,1402 遠東新,25.65,+ 0.85,+3.43%,"214,771","291,244","-76,473"
7,3481 群創,51.00,+ 4.60,+9.91%,"478,055","543,415","-65,360"
8,00632R元大台灣50反1,10.35,-0.38,-3.54%,"53,443","117,047","-63,603"
9,2303 聯電,144.50,+ 2.50,+1.76%,"192,091","255,658","-63,567"
10,00631L元大台灣50正2,36.94,+ 2.47,+7.17%,"83,042","141,078","-58,035"
11,2887 台新新光金,23.35,+ 0.35,+1.52%,"236,890","294,591","-57,700"
12,2312 金寶,38.95,+ 1.25,+3.32%,"22,803","80,487","-57,684"
13,2002 中鋼,19.10,+ 0.25,+1.33%,"35,716","78,254","-42,537"
14,2892 第一金,27.45,+ 0.20,+0.73%,"75,980","104,640","-28,659"
15,2884 玉山金,30.95,+ 0.25,+0.81%,"101,849","130,197","-28,347"
16,2489 瑞軒,49.50,+ 1.50,+3.13%,"12,289","38,597","-26,307"
17,1802 台玻,71.90,+ 1.50,+2.13%,"24,408","47,248","-22,839"
18,00935 野村臺灣新科技50,61.25,+ 1.30,+2.17%,"14,305","35,024","-20,719"
19,2409 友達,23.00,+ 1.80,+8.49%,"139,449","159,071","-19,622"
20,00984D主動聯博全球非投,10.11,+ 0.04,+0.40%,"20,921","39,981","-19,059"
21,2313 華通,284.50,+ 25.50,+9.85%,"42,952","61,624","-18,671"
22,00665L富邦恒生國企正2,9.33,+ 0.33,+3.67%,"26,866","44,654","-17,788"
23,6282 康舒,59.90,+ 2.20,+3.81%,"14,619","32,120","-17,501"
24,2880 華南金,30.50,+ 0.90,+3.04%,"128,999","146,211","-17,211"
25,00990A主動元大AI新經濟,20.15,+ 0.92,+4.78%,"39,609","56,459","-16,849"
26,0050 元大台灣50,105.40,+ 4.90,+4.88%,"84,078","99,706","-15,628"
27,3714 富采,72.80,+ 0.10,+0.14%,"7,024","21,691","-14,667"
28,00927 群益半導體收益,41.03,+ 0.93,+2.32%,"13,922","28,585","-14,662"
29,2633 台灣高鐵,24.85,+ 0.05,+0.20%,"99,244","113,449","-14,205"
30,3711 日月光投控,611.00,-16.00,-2.55%,"15,233","29,161","-13,928"
31,9904 寶成,25.45,+ 0.25,+0.99%,"12,469","26,183","-13,714"
32,2812 台中銀,18.45,-0.05,-0.27%,"11,624","24,940","-13,316"
33,3673 TPK-KY,86.30,+ 5.30,+6.54%,"7,933","21,001","-13,068"
34,8110 華東,64.90,+ 2.90,+4.68%,"20,200","33,200","-13,000"
35,2801 彰銀,20.25,+ 0.20,+1.00%,"42,489","55,248","-12,758"
36,00753L中信中國50正2,9.70,+ 0.37,+3.97%,"18,519","30,935","-12,415"
37,00715L期街口布蘭特正2,51.00,-4.75,-8.52%,"6,023","17,779","-11,756"
38,00664R國泰臺灣加權反1,1.67,-0.07,-4.02%,"31,184","42,605","-11,421"
39,00400A主動國泰動能高息,14.83,+ 0.43,+2.99%,"30,698","41,610","-10,912"
40,00712 復華富時不動產,8.78,+ 0.02,+0.23%,"15,288","26,048","-10,759"
41,6456 GIS-KY,76.50,+ 4.90,+6.84%,"10,783","21,380","-10,597"
42,2301 光寶科,234.50,+ 4.00,+1.74%,"37,075","47,398","-10,323"
43,1513 中興電,166.50,+ 1.00,+0.60%,"5,276","15,458","-10,181"
44,2474 可成,203.50,+ 13.00,+6.82%,"27,281","37,317","-10,035"
45,2845 遠東銀,11.85,-0.05,-0.42%,"9,497","19,306","-9,809"
46,6239 力成,379.00,+ 21.50,+6.01%,"27,551","36,925","-9,374"
47,4526 東台,38.95,+ 0.50,+1.30%,"4,966","14,339","-9,373"
48,1102 亞泥,34.00,+ 1.60,+4.94%,"95,007","103,743","-8,736"
49,8046 南電,848.00,-2.00,-0.24%,"5,934","14,112","-8,178"
50,8926 台汽電,66.60,-0.70,-1.04%,"5,453","13,084","-7,631"
