Rank,Stock,Price,Change,ChangePercent,NetSell
1,3231 緯創,180.00,-0.50,-0.28%,"-34,571"
2,1303 南亞,227.50,-4.00,-1.73%,"-32,895"
3,2324 仁寶,36.80,-0.25,-0.67%,"-29,238"
4,2883 凱基金,39.35,+ 0.05,+0.13%,"-28,306"
5,2887 台新新光金,42.95,+ 0.05,+0.12%,"-23,747"
6,009816凱基台灣TOP50,16.60,+ 0.08,+0.48%,"-23,637"
7,3481 群創,49.60,-0.90,-1.78%,"-23,001"
8,2002 中鋼,18.65,0.00,0.00%,"-18,603"
9,1314 中石化,9.01,+ 0.27,+3.09%,"-17,308"
10,5871 中租-KY,108.00,0.00,0.00%,"-15,100"
11,0056 元大高股息,56.60,-0.25,-0.44%,"-14,052"
12,2834 臺企銀,17.90,-0.35,-1.92%,"-13,465"
13,00919 群益台灣精選高息,32.06,-0.10,-0.31%,"-13,181"
14,4763 材料*-KY,46.40,-1.65,-3.43%,"-10,346"
15,2353 宏碁,31.55,+ 0.15,+0.48%,"-9,704"
16,2891 中信金,68.90,-0.70,-1.01%,"-9,281"
17,6443 元晶,27.70,-0.70,-2.46%,"-8,698"
18,00961 FT臺灣永續高息,13.21,-0.05,-0.38%,"-7,891"
19,6116 彩晶,15.00,-0.45,-2.91%,"-7,835"
20,00918 大華優利高填息30,34.03,-0.07,-0.21%,"-7,827"
21,8110 華東,49.70,+ 0.75,+1.53%,"-6,962"
22,2890 永豐金,45.05,-0.35,-0.77%,"-6,671"
23,1301 台塑,63.10,-1.50,-2.32%,"-6,601"
24,1802 台玻,57.60,-1.20,-2.04%,"-6,534"
25,4919 新唐,134.00,+ 0.50,+0.37%,"-6,400"
26,2498 宏達電,41.65,+ 1.55,+3.87%,"-6,056"
27,2633 台灣高鐵,25.60,0.00,0.00%,"-5,886"
28,2812 台中銀,19.15,-0.10,-0.52%,"-5,868"
29,2356 英業達,61.00,-0.20,-0.33%,"-5,434"
30,2542 興富發,39.55,-1.90,-4.58%,"-5,403"
31,3006 晶豪科,274.00,-4.50,-1.62%,"-5,047"
32,8028 昇陽半導體,258.00,-5.50,-2.09%,"-5,044"
33,2332 友訊,20.40,+ 0.20,+0.99%,"-5,040"
34,9105 泰金寶-DR,8.33,-0.02,-0.24%,"-4,949"
35,2382 廣達,341.50,-0.50,-0.15%,"-4,809"
36,8112 至上,82.60,+ 0.40,+0.49%,"-4,778"
37,4958 臻鼎-KY,473.00,-16.00,-3.27%,"-4,696"
38,2406 國碩,29.90,-0.20,-0.66%,"-4,534"
39,3049 精金,12.40,-0.45,-3.50%,"-4,527"
40,2426 鼎元,97.80,-1.00,-1.01%,"-4,514"
41,2882 國泰金,111.50,-0.50,-0.45%,"-4,473"
42,00878 國泰永續高股息,35.09,-0.12,-0.34%,"-4,374"
43,8422 可寧衛*,25.65,-0.05,-0.19%,"-3,716"
44,2884 玉山金,45.60,-0.45,-0.98%,"-3,583"
45,3704 合勤控,40.30,-1.00,-2.42%,"-3,292"
46,0050 元大台灣50,112.45,+ 0.60,+0.54%,"-3,211"
47,2455 全新,552.00,+ 5.00,+0.91%,"-3,071"
48,1409 新纖,24.10,0.00,0.00%,"-3,013"
49,2392 正崴,42.15,-1.30,-2.99%,"-2,961"
50,1326 台化,65.40,-1.10,-1.65%,"-2,931"
