Rank,Stock,Price,Change,ChangePercent,Buy,Sell,NetSell
1,00403A主動統一升級50,10.24,+ 0.06,+0.59%,"1,038,554","6,613,111","-5,574,557"
2,009816凱基台灣TOP50,13.90,0.00,0.00%,"184,100","518,235","-334,135"
3,00999A主動野村臺灣高息,10.55,-0.03,-0.28%,"89,420","398,787","-309,367"
4,6770 力積電,62.20,+ 1.70,+2.81%,"85,144","228,087","-142,943"
5,00631L元大台灣50正2,31.96,+ 0.11,+0.35%,"99,177","241,417","-142,240"
6,0050 元大台灣50,96.05,+ 0.55,+0.58%,"77,875","219,258","-141,382"
7,00891 中信關鍵半導體,34.71,+ 0.46,+1.34%,"49,915","188,148","-138,232"
8,00988A主動統一全球創新,20.03,+ 0.11,+0.55%,"64,577","200,698","-136,121"
9,00982A主動群益台灣強棒,23.15,+ 0.02,+0.09%,"45,152","167,283","-122,131"
10,00991A主動復華未來50,18.55,+ 0.43,+2.37%,"68,090","158,652","-90,561"
11,2002 中鋼,18.30,-0.10,-0.54%,"40,272","118,549","-78,276"
12,2449 京元電子,296.00,-9.00,-2.95%,"25,518","94,403","-68,884"
13,2887 台新新光金,23.10,-0.05,-0.22%,"276,304","332,543","-56,238"
14,00981A主動統一台股增長,29.44,+ 0.16,+0.55%,"432,028","484,875","-52,847"
15,3231 緯創,138.00,-2.50,-1.78%,"60,381","108,570","-48,189"
16,00992A主動群益科技創新,18.24,-0.01,-0.05%,"111,614","156,849","-45,235"
17,8150 南茂,83.90,-1.60,-1.87%,"20,565","61,452","-40,886"
18,1802 台玻,66.90,-1.10,-1.62%,"30,874","71,656","-40,782"
19,1303 南亞,85.30,-1.20,-1.39%,"45,998","83,679","-37,681"
20,2801 彰銀,20.40,-0.10,-0.49%,"37,533","73,475","-35,941"
21,2834 臺企銀,16.00,-0.05,-0.31%,"64,396","97,128","-32,731"
22,1301 台塑,46.10,-0.80,-1.71%,"20,028","51,517","-31,488"
23,1605 華新,35.60,+ 0.40,+1.14%,"51,367","80,130","-28,762"
24,00400A主動國泰動能高息,13.79,-0.16,-1.15%,"50,283","78,751","-28,468"
25,00990A主動元大AI新經濟,18.28,+ 0.22,+1.22%,"42,420","70,728","-28,308"
26,00997A主動群益美國增長,12.79,+ 0.06,+0.47%,"33,622","61,848","-28,225"
27,00673R期元大S＆P原油反1,11.97,-0.06,-0.50%,"30,879","57,939","-27,060"
28,1326 台化,44.95,-1.15,-2.49%,"23,224","49,816","-26,591"
29,2812 台中銀,19.00,-0.45,-2.31%,"21,535","47,154","-25,619"
30,2890 永豐金,30.50,-0.05,-0.16%,"67,044","92,466","-25,422"
31,2330 台積電,"2,270.00",+ 50.00,+2.25%,"39,675","64,817","-25,142"
32,8112 至上,84.50,+ 2.30,+2.80%,"22,873","47,203","-24,329"
33,4960 誠美材,33.65,-0.70,-2.04%,"19,840","43,851","-24,010"
34,009805新光美國電力基建,17.06,0.00,0.00%,"32,719","55,295","-22,576"
35,2609 陽明,48.60,-0.65,-1.32%,"16,634","37,843","-21,209"
36,2371 大同,29.00,-1.00,-3.33%,"17,894","38,086","-20,192"
37,2354 鴻準,59.00,-1.70,-2.80%,"11,775","30,741","-18,965"
38,1711 永光,50.80,-0.50,-0.97%,"12,310","31,061","-18,751"
39,5880 合庫金,22.75,-0.10,-0.44%,"28,492","46,958","-18,466"
40,00980A主動野村臺灣優選,24.02,+ 0.13,+0.54%,"15,747","33,563","-17,816"
41,9904 寶成,25.85,-0.20,-0.77%,"21,306","38,068","-16,762"
42,3706 神達,81.20,-0.90,-1.10%,"12,000","27,657","-15,657"
43,00947 台新臺灣IC設計,36.99,+ 0.64,+1.76%,"18,418","33,700","-15,282"
44,00935 野村臺灣新科技50,54.70,+ 0.40,+0.74%,"12,314","26,552","-14,237"
45,4919 新唐,160.00,-6.00,-3.61%,"17,375","31,569","-14,194"
46,4938 和碩,77.00,-4.80,-5.87%,"24,891","38,232","-13,340"
47,3576 聯合再生,17.70,-0.55,-3.01%,"30,003","43,271","-13,268"
48,00927 群益半導體收益,35.54,+ 0.59,+1.69%,"24,738","37,685","-12,946"
49,6213 聯茂,268.00,-5.50,-2.01%,"7,681","20,432","-12,750"
50,2313 華通,245.50,+ 8.50,+3.59%,"84,471","97,040","-12,568"
