Rank,Stock,Price,Change,ChangePercent,Buy,Sell,NetBuy
1,0050 元大台灣50,72.95,+ 1.45,+2.03%,"5,367,935","16,687,566","-11,319,630"
2,3037 欣興,385.00,+ 20.00,+5.48%,"26,583,878","32,539,246","-5,955,367"
3,2327 國巨*,266.50,+ 8.50,+3.29%,"5,847,071","11,132,467","-5,285,396"
4,2317 鴻海,216.50,+ 2.00,+0.93%,"9,305,896","14,146,239","-4,840,342"
5,2330 台積電,"1,800.00",+ 35.00,+1.98%,"54,587,495","58,467,099","-3,879,604"
6,00738U期元大道瓊白銀,68.25,+ 5.25,+8.33%,"3,213,291","6,832,987","-3,619,696"
7,2353 宏碁,26.20,-1.00,-3.68%,"2,771,443","5,880,521","-3,109,078"
8,00631L元大台灣50正2,444.35,+ 17.15,+4.01%,"2,293,244","5,225,096","-2,931,851"
9,3481 群創,20.95,-0.20,-0.95%,"6,583,646","8,983,124","-2,399,478"
10,6446 藥華藥,779.00,+ 16.00,+2.10%,"1,779,602","4,091,137","-2,311,535"
11,2308 台達電,"1,215.00",+ 40.00,+3.40%,"13,696,742","15,815,313","-2,118,571"
12,2002 中鋼,20.65,-0.45,-2.13%,"2,123,888","4,078,771","-1,954,882"
13,0056 元大高股息,37.63,+ 0.48,+1.29%,"1,380,783","3,258,159","-1,877,375"
14,0052 富邦科技,43.37,+ 0.85,+2.00%,"1,514,175","3,375,621","-1,861,445"
15,00919 群益台灣精選高息,23.32,+ 0.24,+1.04%,"1,108,487","2,840,531","-1,732,043"
16,3443 創意,"2,705.00",+ 20.00,+0.74%,"12,324,472","13,921,374","-1,596,902"
17,00635U期元大S＆P黃金,51.40,+ 1.79,+3.61%,"1,117,723","2,580,486","-1,462,763"
18,2014 中鴻,19.45,-0.50,-2.51%,"689,161","1,928,624","-1,239,462"
19,00878 國泰永續高股息,22.81,+ 0.34,+1.51%,"1,302,020","2,453,874","-1,151,854"
20,4958 臻鼎-KY,181.00,-2.50,-1.36%,"10,630,694","11,758,703","-1,128,009"
21,2449 京元電子,293.50,+ 8.50,+2.98%,"3,801,776","4,908,944","-1,107,168"
22,2882 國泰金,74.70,+ 0.40,+0.54%,"1,055,211","2,151,137","-1,095,925"
23,00708L期元大S＆P黃金正2,108.55,+ 7.65,+7.58%,"1,949,805","3,017,336","-1,067,530"
24,3019 亞光,158.50,+ 10.00,+6.73%,"2,553,482","3,571,230","-1,017,747"
25,6919 康霈*,167.50,+ 3.50,+2.13%,"839,140","1,840,552","-1,001,412"
26,2324 仁寶,32.00,-0.30,-0.93%,"1,196,967","2,127,889","-930,922"
27,2049 上銀,234.00,+ 4.00,+1.74%,"1,142,147","2,020,392","-878,244"
28,1301 台塑,44.95,+ 0.65,+1.47%,"1,257,188","2,123,200","-866,011"
29,006208富邦台50,168.80,+ 3.45,+2.09%,"876,546","1,728,847","-852,300"
30,6285 啟碁,196.00,+ 13.00,+7.10%,"10,027,963","10,879,198","-851,235"
31,6282 康舒,48.00,-0.30,-0.62%,"1,204,250","2,018,125","-813,874"
32,1504 東元,81.70,+ 2.60,+3.29%,"1,056,381","1,852,966","-796,585"
33,2881 富邦金,91.80,+ 1.30,+1.44%,"1,269,093","2,025,638","-756,544"
34,1717 長興,56.60,-0.50,-0.88%,"1,579,375","2,312,767","-733,391"
35,00632R元大台灣50反1,14.80,-0.31,-2.05%,"1,077,603","1,768,282","-690,679"
36,2382 廣達,276.50,+ 3.50,+1.28%,"4,010,779","4,668,674","-657,894"
37,3034 聯詠,373.50,+ 5.00,+1.36%,"768,885","1,417,103","-648,218"
38,2357 華碩,501.00,+ 1.50,+0.30%,"1,600,000","2,239,637","-639,637"
39,00757 統一FANG+,115.45,+ 2.85,+2.53%,"221,815","833,844","-612,029"
40,2374 佳能,79.60,-0.10,-0.13%,"923,867","1,524,776","-600,908"
41,00675L富邦臺灣加權正2,176.35,+ 6.85,+4.04%,"615,392","1,208,297","-592,904"
42,00662 富邦NASDAQ,104.75,+ 2.55,+2.50%,"281,073","855,907","-574,834"
43,1326 台化,39.40,+ 0.45,+1.16%,"976,647","1,550,277","-573,630"
44,3008 大立光,"2,350.00",-5.00,-0.21%,"1,422,391","1,972,070","-549,679"
45,6426 統新,131.00,+ 7.00,+5.65%,"1,562,146","2,104,318","-542,171"
46,00918 大華優利高填息30,22.87,+ 0.21,+0.93%,"322,314","825,659","-503,344"
47,00646 元大S＆P500,69.30,+ 1.35,+1.99%,"152,440","655,239","-502,799"
48,2303 聯電,60.80,+ 0.10,+0.16%,"11,176,622","11,666,908","-490,285"
49,5388 中磊,84.00,+ 0.50,+0.60%,"490,038","958,994","-468,955"
50,2395 研華,290.00,-1.50,-0.51%,"718,317","1,183,093","-464,775"
