Rank,Stock,Price,Change,ChangePercent,Buy,Sell,NetSell
1,6770 力積電,74.20,+ 4.00,+5.70%,"71,595","189,668","-118,072"
2,00918 大華優利高填息30,32.00,+ 0.60,+1.91%,"80,256","172,235","-91,978"
3,00712 復華富時不動產,8.60,-0.09,-1.04%,"42,999","129,228","-86,229"
4,6116 彩晶,18.80,+ 0.55,+3.01%,"50,378","123,869","-73,490"
5,00632R元大台灣50反1,10.03,-0.13,-1.28%,"90,905","142,759","-51,853"
6,2105 正新,29.65,-0.05,-0.17%,"50,498","101,051","-50,553"
7,2353 宏碁,34.40,-0.60,-1.71%,"56,598","102,932","-46,333"
8,009821野村稀土關鍵資源,15.56,+ 0.28,+1.83%,"16,880","58,605","-41,725"
9,4938 和碩,82.90,-0.10,-0.12%,"31,592","73,190","-41,597"
10,3576 聯合再生,18.00,-1.15,-6.01%,"33,314","72,475","-39,161"
11,00665L富邦恒生國企正2,8.40,-0.41,-4.65%,"35,337","73,829","-38,491"
12,2603 長榮,193.00,-1.00,-0.52%,"31,708","69,055","-37,346"
13,00919 群益台灣精選高息,30.81,+ 0.46,+1.52%,"220,734","256,794","-36,060"
14,3231 緯創,161.50,-1.00,-0.62%,"36,313","65,845","-29,531"
15,2385 群光,114.00,-1.00,-0.87%,"12,965","37,067","-24,102"
16,2301 光寶科,210.50,+ 0.50,+0.24%,"17,841","41,222","-23,381"
17,1409 新纖,25.60,-2.35,-8.41%,"12,667","32,869","-20,202"
18,2406 國碩,34.85,-1.35,-3.73%,"10,317","30,369","-20,052"
19,2317 鴻海,268.50,-3.50,-1.29%,"52,455","72,142","-19,686"
20,00896 中信綠能及電動車,27.97,+ 0.38,+1.38%,"14,039","33,099","-19,060"
21,9904 寶成,26.15,-0.30,-1.13%,"38,287","56,911","-18,623"
22,2609 陽明,51.30,-0.30,-0.58%,"52,862","71,208","-18,346"
23,00753L中信中國50正2,8.93,-0.31,-3.35%,"13,704","31,522","-17,817"
24,00404A主動聯博動能50,10.18,+ 0.09,+0.89%,"26,033","43,136","-17,102"
25,2313 華通,259.50,-4.50,-1.70%,"32,021","48,916","-16,894"
26,00984D主動聯博全球非投,10.11,+ 0.02,+0.20%,"20,341","37,039","-16,697"
27,00988A主動統一全球創新,22.96,+ 0.44,+1.95%,"84,714","101,230","-16,516"
28,1504 東元,70.00,+ 1.30,+1.89%,"21,675","37,791","-16,116"
29,2606 裕民,61.50,-0.70,-1.13%,"24,464","39,807","-15,343"
30,6239 力成,363.50,+ 18.50,+5.36%,"24,507","38,418","-13,910"
31,3706 神達,86.90,+ 0.60,+0.70%,"13,716","26,663","-12,946"
32,6443 元晶,39.35,-1.20,-2.96%,"8,757","20,740","-11,983"
33,2484 希華,71.20,+ 1.70,+2.45%,"12,637","23,675","-11,037"
34,6176 瑞儀,87.90,-0.30,-0.34%,"10,075","20,654","-10,579"
35,2027 大成鋼,41.00,-0.70,-1.68%,"23,910","34,460","-10,550"
36,00405A主動富邦台灣龍耀,9.64,+ 0.25,+2.66%,"87,535","97,697","-10,161"
37,00961 FT臺灣永續高息,12.91,+ 0.09,+0.70%,"9,519","19,604","-10,085"
38,5871 中租-KY,114.00,-1.00,-0.87%,"18,476","27,909","-9,432"
39,3042 晶技,216.00,-8.00,-3.57%,"24,787","34,042","-9,254"
40,3036 文曄,222.50,-1.50,-0.67%,"15,121","24,127","-9,005"
41,9910 豐泰,72.60,-0.20,-0.27%,"10,268","19,051","-8,783"
42,8112 至上,98.20,+ 1.40,+1.45%,"10,707","19,474","-8,766"
43,00916 國泰全球品牌50,25.56,-0.26,-1.01%,"11,089","19,381","-8,292"
44,2382 廣達,376.00,+ 2.00,+0.53%,"21,120","28,930","-7,810"
45,2355 敬鵬,57.90,-0.10,-0.17%,"5,574","13,329","-7,754"
46,1101 台泥,24.50,-0.05,-0.20%,"44,367","51,824","-7,456"
47,00882 中信中國高股息,15.52,-0.30,-1.90%,"19,413","26,488","-7,074"
48,2615 萬海,80.40,0.00,0.00%,"10,683","17,606","-6,922"
49,8422 可寧衛*,28.10,-0.35,-1.23%,"8,923","15,772","-6,849"
50,8105 凌巨,21.90,+ 0.50,+2.34%,"13,207","19,942","-6,734"
