Rank,Stock,Price,Change,ChangePercent,NetSell
1,2409 友達,23.80,+ 0.80,+3.48%,"-299,305"
2,3481 群創,56.10,+ 5.10,+10.00%,"-216,619"
3,2880 華南金,32.85,+ 2.35,+7.70%,"-182,029"
4,2887 台新新光金,24.60,+ 1.25,+5.35%,"-162,724"
5,2618 長榮航,37.70,+ 1.65,+4.58%,"-119,669"
6,00991A主動復華未來50,19.95,+ 0.31,+1.58%,"-72,378"
7,2002 中鋼,19.10,0.00,0.00%,"-71,817"
8,2892 第一金,27.75,+ 0.30,+1.09%,"-63,913"
9,0050 元大台灣50,105.50,+ 0.10,+0.09%,"-58,555"
10,2382 廣達,372.50,+ 33.50,+9.88%,"-55,857"
11,6116 彩晶,18.80,+ 1.70,+9.94%,"-48,016"
12,00981A主動統一台股增長,31.70,+ 0.16,+0.51%,"-46,887"
13,009816凱基台灣TOP50,15.40,+ 0.20,+1.32%,"-46,683"
14,2633 台灣高鐵,25.10,+ 0.25,+1.01%,"-42,261"
15,2313 華通,282.00,-2.50,-0.88%,"-38,361"
16,2801 彰銀,20.45,+ 0.20,+0.99%,"-36,857"
17,2356 英業達,77.20,+ 7.00,+9.97%,"-35,823"
18,2603 長榮,224.00,+ 11.00,+5.16%,"-35,594"
19,5876 上海商銀,39.80,+ 0.05,+0.13%,"-33,321"
20,00988A主動統一全球創新,21.99,-0.12,-0.54%,"-31,727"
21,1216 統一,73.70,+ 1.90,+2.65%,"-31,203"
22,2912 統一超,227.50,+ 13.50,+6.31%,"-30,621"
23,1102 亞泥,33.80,-0.20,-0.59%,"-27,962"
24,00631L元大台灣50正2,37.78,+ 0.84,+2.27%,"-26,810"
25,2412 中華電,140.50,+ 3.50,+2.55%,"-25,272"
26,2891 中信金,62.10,+ 1.60,+2.64%,"-24,597"
27,00990A主動元大AI新經濟,20.20,+ 0.05,+0.25%,"-23,826"
28,1504 東元,78.70,+ 3.70,+4.93%,"-23,755"
29,3045 台灣大,114.00,+ 2.50,+2.24%,"-23,045"
30,2481 強茂,157.00,-5.50,-3.38%,"-22,404"
31,4904 遠傳,97.10,+ 2.50,+2.64%,"-21,487"
32,2489 瑞軒,48.65,-0.85,-1.72%,"-20,462"
33,1101 台泥,24.55,+ 0.15,+0.61%,"-19,954"
34,3714 富采,71.60,-1.20,-1.65%,"-19,904"
35,9904 寶成,25.80,+ 0.35,+1.38%,"-19,790"
36,1402 遠東新,25.05,-0.60,-2.34%,"-19,575"
37,2367 燿華,67.40,-0.70,-1.03%,"-18,212"
38,2886 兆豐金,41.45,+ 1.45,+3.63%,"-16,605"
39,5880 合庫金,22.85,0.00,0.00%,"-14,410"
40,00997A主動群益美國增長,13.31,+ 0.07,+0.53%,"-14,193"
41,00935 野村臺灣新科技50,62.40,+ 1.15,+1.88%,"-13,577"
42,2312 金寶,40.60,+ 1.65,+4.24%,"-13,311"
43,3042 晶技,202.50,-13.00,-6.03%,"-13,231"
44,2355 敬鵬,60.20,-5.10,-7.81%,"-12,963"
45,5871 中租-KY,108.50,+ 1.00,+0.93%,"-11,965"
46,2327 國巨*,790.00,+ 52.00,+7.05%,"-11,733"
47,2402 毅嘉,69.90,+ 0.50,+0.72%,"-10,992"
48,3711 日月光投控,601.00,-10.00,-1.64%,"-10,813"
49,2542 興富發,42.60,+ 0.65,+1.55%,"-10,451"
50,1513 中興電,168.50,+ 2.00,+1.20%,"-10,314"
