Rank,Stock,Price,Change,ChangePercent,Buy,Sell,NetBuy
1,2308 台達電,"1,675.00",-120.00,-6.69%,"34,731,630","15,080,787","19,650,843"
2,2454 聯發科,"4,720.00",+ 95.00,+2.05%,"30,892,462","25,260,516","5,631,946"
3,2492 華新科,334.00,+ 14.50,+4.54%,"13,699,211","8,271,112","5,428,099"
4,3443 創意,"6,225.00",+ 300.00,+5.06%,"11,207,290","5,932,169","5,275,120"
5,2327 國巨*,572.00,+ 7.00,+1.24%,"21,276,998","16,112,163","5,164,835"
6,2317 鴻海,251.00,-1.00,-0.40%,"10,054,588","5,388,667","4,665,920"
7,2330 台積電,"2,450.00",-15.00,-0.61%,"48,523,945","44,036,354","4,487,591"
8,3406 玉晶光,"1,070.00",-40.00,-3.60%,"10,351,133","5,908,578","4,442,554"
9,3231 緯創,185.00,-4.00,-2.12%,"16,559,745","12,605,891","3,953,853"
10,2481 強茂,154.50,+ 2.50,+1.64%,"6,684,477","3,567,499","3,116,978"
11,6257 矽格,217.00,+ 4.00,+1.88%,"4,052,422","1,086,271","2,966,150"
12,3006 晶豪科,312.00,+ 5.50,+1.79%,"8,131,167","5,249,225","2,881,942"
13,3376 新日興,189.50,-16.50,-8.01%,"3,847,915","1,126,442","2,721,473"
14,3008 大立光,"6,720.00",-150.00,-2.18%,"11,884,871","9,546,938","2,337,932"
15,6770 力積電,73.50,+ 1.10,+1.52%,"10,508,931","8,311,717","2,197,213"
16,2301 光寶科,291.00,-1.50,-0.51%,"5,780,218","4,011,683","1,768,535"
17,2464 盟立,193.50,-4.00,-2.03%,"2,918,926","1,497,588","1,421,337"
18,6531 愛普*,"1,030.00",+ 31.00,+3.10%,"6,611,537","5,248,862","1,362,675"
19,2351 順德,235.50,-2.00,-0.84%,"2,468,008","1,191,696","1,276,311"
20,3016 嘉晶,110.00,+ 10.00,+10.00%,"1,499,086","338,373","1,160,713"
21,2615 萬海,110.50,-5.50,-4.74%,"3,996,969","2,915,192","1,081,776"
22,7788 松川精密,308.00,-12.50,-3.90%,"1,926,717","943,637","983,080"
23,3026 禾伸堂,803.00,+ 45.00,+5.94%,"10,772,200","9,850,410","921,790"
24,3017 奇鋐,"3,460.00",+ 80.00,+2.37%,"8,829,341","7,917,222","912,119"
25,6442 光聖,"1,800.00",+ 100.00,+5.88%,"7,106,583","6,209,286","897,297"
26,00918 大華優利高填息30,35.38,-0.08,-0.23%,"2,709,955","1,837,526","872,428"
27,6415 矽力*-KY,405.00,-12.00,-2.88%,"1,623,627","808,754","814,873"
28,6919 康霈*,85.60,+ 3.20,+3.88%,"1,120,660","414,783","705,877"
29,2609 陽明,58.00,-0.50,-0.85%,"2,538,411","1,836,265","702,146"
30,2377 微星,149.00,-7.50,-4.79%,"2,208,495","1,557,731","650,764"
31,7795 長廣,534.00,-14.00,-2.55%,"1,400,120","769,121","630,999"
32,2357 華碩,989.00,+ 10.00,+1.02%,"2,439,074","1,813,649","625,425"
33,3036 文曄,192.50,+ 1.00,+0.52%,"1,257,055","689,492","567,562"
34,3090 日電貿,171.00,+ 5.00,+3.01%,"969,130","446,664","522,466"
35,3533 嘉澤,"1,575.00",-50.00,-3.08%,"1,312,175","802,568","509,607"
36,2413 環科,50.70,+ 0.20,+0.40%,"904,562","491,383","413,178"
37,2605 新興,36.25,-0.70,-1.89%,"922,337","513,092","409,245"
38,2338 光罩,45.65,+ 4.15,+10.00%,"578,607","184,441","394,165"
39,6937 天虹,296.00,+ 5.00,+1.72%,"459,684","81,158","378,525"
40,1312 國喬,14.95,+ 0.30,+2.05%,"681,426","305,679","375,746"
41,6239 力成,283.50,+ 2.50,+0.89%,"4,020,182","3,654,363","365,819"
42,00406A主動中信台灣收益,9.60,-0.06,-0.62%,"1,352,224","1,038,116","314,107"
43,7799 禾榮科,425.00,+ 38.50,+9.96%,"419,736","115,575","304,161"
44,2886 兆豐金,49.90,-0.40,-0.80%,"1,039,846","744,355","295,491"
45,2027 大成鋼,48.20,-0.40,-0.82%,"966,534","693,529","273,004"
46,009816凱基台灣TOP50,16.03,-0.08,-0.50%,"1,224,715","954,773","269,942"
47,00738U期元大道瓊白銀,53.75,+ 1.15,+2.19%,"329,101","63,618","265,483"
48,8028 昇陽半導體,229.50,-6.50,-2.75%,"631,798","367,244","264,553"
49,2542 興富發,46.50,-1.70,-3.53%,"644,953","391,305","253,648"
50,2305 全友,38.50,+ 3.50,+10.00%,"664,396","416,748","247,647"
