Rank,Stock,Price,Change,ChangePercent,NetBuy
1,2887 台新新光金,34.15,+ 1.15,+3.48%,"47,478"
2,2303 聯電,170.50,+ 5.00,+3.02%,"35,293"
3,1314 中石化,9.88,+ 0.89,+9.90%,"34,371"
4,00981A主動統一台股增長,32.26,+ 0.21,+0.66%,"26,359"
5,2883 凱基金,28.45,+ 0.55,+1.97%,"24,649"
6,2834 臺企銀,17.95,+ 0.20,+1.13%,"19,914"
7,2884 玉山金,33.70,0.00,0.00%,"14,073"
8,1717 長興,81.60,+ 7.40,+9.97%,"13,846"
9,2105 正新,32.15,+ 0.45,+1.42%,"13,643"
10,2002 中鋼,18.95,+ 0.35,+1.88%,"13,479"
11,2324 仁寶,34.95,+ 0.15,+0.43%,"12,932"
12,2609 陽明,52.40,+ 1.40,+2.75%,"12,553"
13,2812 台中銀,20.40,+ 0.25,+1.24%,"12,213"
14,00403A主動統一升級50,11.14,0.00,0.00%,"11,639"
15,1718 中纖,14.95,+ 1.35,+9.93%,"11,174"
16,2615 萬海,82.80,+ 3.90,+4.94%,"10,358"
17,00919 群益台灣精選高息,29.53,+ 0.33,+1.13%,"10,207"
18,2882 國泰金,93.60,+ 0.10,+0.11%,"10,200"
19,00712 復華富時不動產,8.80,+ 0.04,+0.46%,"9,728"
20,2634 漢翔,60.00,+ 5.40,+9.89%,"9,399"
21,1402 遠東新,29.10,+ 0.70,+2.46%,"9,228"
22,1216 統一,76.30,+ 1.40,+1.87%,"8,739"
23,00953B群益優選非投等債,9.74,+ 0.03,+0.31%,"8,601"
24,9904 寶成,24.45,+ 0.35,+1.45%,"8,217"
25,1313 聯成,14.30,+ 1.30,+10.00%,"7,970"
26,1101 台泥,23.65,+ 0.55,+2.38%,"7,738"
27,2353 宏碁,32.90,+ 0.90,+2.81%,"6,948"
28,2885 元大金,67.20,+ 1.40,+2.13%,"6,786"
29,2603 長榮,195.00,+ 9.50,+5.12%,"6,657"
30,4989 榮科,110.50,+ 10.00,+9.95%,"6,372"
31,2881 富邦金,121.00,+ 1.50,+1.26%,"6,328"
32,1312 國喬,15.10,+ 0.65,+4.50%,"5,816"
33,1909 榮成,10.30,+ 0.45,+4.57%,"5,814"
34,2323 中環,12.00,+ 0.65,+5.73%,"5,791"
35,00918 大華優利高填息30,31.95,+ 0.13,+0.41%,"5,394"
36,2845 遠東銀,13.15,+ 0.15,+1.15%,"5,369"
37,2892 第一金,32.40,+ 0.30,+0.93%,"4,958"
38,2547 日勝生,11.55,+ 0.30,+2.67%,"4,748"
39,2515 中工,14.30,+ 0.65,+4.76%,"4,645"
40,5880 合庫金,24.70,+ 0.15,+0.61%,"4,532"
41,2332 友訊,20.00,+ 1.80,+9.89%,"4,505"
42,6005 群益證,38.15,+ 0.80,+2.14%,"4,477"
43,1326 台化,68.00,+ 6.10,+9.85%,"4,448"
44,6994 富威電力,41.90,+ 0.95,+2.32%,"4,344"
45,1810 和成,23.25,+ 2.10,+9.93%,"3,954"
46,6176 瑞儀,90.30,+ 2.80,+3.20%,"3,945"
47,1609 大亞,39.80,+ 1.65,+4.33%,"3,915"
48,2890 永豐金,39.70,+ 0.20,+0.51%,"3,880"
49,2855 統一證,51.90,+ 2.15,+4.32%,"3,662"
50,2103 台橡,23.50,+ 2.10,+9.81%,"3,639"
