Rank,Stock,Price,Change,ChangePercent,Buy,Sell,NetSell
1,00406A主動中信台灣收益,9.41,+ 0.05,+0.53%,"548,315","2,046,645","-1,498,330"
2,00685L群益臺灣加權正2,11.34,+ 0.17,+1.52%,"1,833,851","2,975,714","-1,141,862"
3,0050 元大台灣50,104.40,+ 0.60,+0.58%,"1,154,965","2,111,325","-956,359"
4,00403A主動統一升級50,9.94,+ 0.07,+0.71%,"3,142,915","3,855,707","-712,792"
5,009816凱基台灣TOP50,15.21,+ 0.09,+0.60%,"1,293,903","1,953,290","-659,386"
6,00878 國泰永續高股息,32.64,+ 0.21,+0.65%,"276,599","718,679","-442,079"
7,00631L元大台灣50正2,34.68,+ 0.57,+1.67%,"1,437,202","1,846,058","-408,856"
8,00881 國泰台灣科技龍頭,48.50,+ 0.04,+0.08%,"211,869","619,481","-407,612"
9,00991A主動復華未來50,17.63,+ 0.18,+1.03%,"1,752,253","2,144,054","-391,800"
10,00929 復華台灣科技優息,28.53,+ 0.03,+0.11%,"219,654","560,271","-340,617"
11,2303 聯電,125.00,+ 1.50,+1.21%,"877,712","1,208,920","-331,207"
12,00961 FT臺灣永續高息,13.12,-0.01,-0.08%,"139,636","439,050","-299,413"
13,00984D主動聯博全球非投,10.04,+ 0.03,+0.30%,"235,219","510,463","-275,243"
14,3481 群創,46.80,+ 1.35,+2.97%,"850,277","1,117,576","-267,299"
15,00405A主動富邦台灣龍耀,8.33,+ 0.14,+1.71%,"874,973","1,111,348","-236,375"
16,0056 元大高股息,52.55,+ 0.25,+0.48%,"489,193","702,888","-213,695"
17,009826貝萊德世界股票,10.14,+ 0.01,+0.10%,"145,763","357,371","-211,607"
18,00891 中信關鍵半導體,33.67,+ 0.16,+0.48%,"124,670","319,397","-194,727"
19,00988A主動統一全球創新,16.13,+ 0.06,+0.37%,"422,072","574,816","-152,743"
20,00632R元大台灣50反1,10.16,-0.07,-0.68%,"1,724,262","1,868,459","-144,196"
21,2409 友達,25.65,+ 0.40,+1.58%,"745,698","887,465","-141,766"
22,00981A主動統一台股增長,28.77,+ 0.30,+1.05%,"2,315,629","2,452,370","-136,740"
23,00673R期元大S＆P原油反1,12.22,+ 0.08,+0.66%,"213,665","339,662","-125,996"
24,2834 臺企銀,16.35,0.00,0.00%,"446,351","566,922","-120,571"
25,00982A主動群益台灣強棒,21.65,+ 0.23,+1.07%,"264,811","374,217","-109,406"
26,00923 群益台ESG低碳50,38.68,+ 0.19,+0.49%,"56,529","150,497","-93,968"
27,2327 國巨*,544.00,-7.00,-1.27%,"199,063","284,970","-85,906"
28,00400A主動國泰動能高息,14.38,+ 0.07,+0.49%,"445,879","531,684","-85,805"
29,2337 旺宏,122.00,-2.00,-1.61%,"360,969","439,623","-78,653"
30,1314 中石化,7.90,-0.08,-1.00%,"237,595","316,025","-78,430"
31,00927 群益半導體收益,35.83,0.00,0.00%,"152,940","225,758","-72,817"
32,2449 京元電子,239.50,+ 0.50,+0.21%,"122,160","193,148","-70,987"
33,1303 南亞,188.50,+ 8.50,+4.72%,"569,019","639,088","-70,068"
34,6770 力積電,69.00,-1.80,-2.54%,"1,019,955","1,084,956","-65,001"
35,8150 南茂,87.50,-0.20,-0.23%,"194,177","255,708","-61,531"
36,2382 廣達,328.50,+ 3.50,+1.08%,"203,774","264,554","-60,780"
37,4958 臻鼎-KY,444.00,+ 8.50,+1.95%,"145,857","204,526","-58,668"
38,00990A主動元大AI新經濟,15.10,-0.02,-0.13%,"247,595","305,940","-58,345"
39,2885 元大金,62.40,0.00,0.00%,"394,807","452,608","-57,800"
40,00953B群益優選非投等債,9.68,+ 0.02,+0.21%,"487,877","545,242","-57,364"
41,2330 台積電,"2,400.00",+ 25.00,+1.05%,"259,144","316,272","-57,128"
42,1718 中纖,10.65,-0.10,-0.93%,"200,462","255,624","-55,161"
43,2492 華新科,268.00,+ 3.00,+1.13%,"97,254","150,073","-52,818"
44,00664R國泰臺灣加權反1,1.65,-0.01,-0.60%,"393,776","445,949","-52,172"
45,2332 友訊,20.10,-0.25,-1.23%,"156,589","207,494","-50,904"
46,6005 群益證,30.35,+ 0.10,+0.33%,"82,326","129,964","-47,637"
47,9904 寶成,25.10,+ 0.05,+0.20%,"244,776","291,991","-47,214"
48,1326 台化,58.00,+ 0.90,+1.58%,"197,109","241,459","-44,349"
49,2481 強茂,137.00,+ 3.00,+2.24%,"105,127","147,466","-42,338"
50,1301 台塑,57.80,+ 0.80,+1.40%,"227,787","268,554","-40,766"
