Rank,Stock,Price,Change,ChangePercent,Buy,Sell,NetSell
1,00685L群益臺灣加權正2,10.54,-1.63,-13.39%,"651,978","2,777,766","-2,125,787"
2,00403A主動統一升級50,9.52,-0.76,-7.39%,"571,996","1,970,853","-1,398,857"
3,00991A主動復華未來50,16.82,-1.71,-9.23%,"228,803","964,786","-735,983"
4,00631L元大台灣50正2,32.17,-5.02,-13.50%,"356,956","1,031,996","-675,039"
5,00981A主動統一台股增長,26.43,-2.52,-8.70%,"380,473","1,010,428","-629,955"
6,009816凱基台灣TOP50,14.28,-1.01,-6.61%,"315,148","944,792","-629,643"
7,0050 元大台灣50,100.15,-6.25,-5.87%,"258,506","830,258","-571,751"
8,00405A主動富邦台灣龍耀,7.75,-0.69,-8.18%,"196,943","761,798","-564,854"
9,00407A主動凱基台灣,8.58,-0.64,-6.94%,"198,599","686,075","-487,475"
10,0056 元大高股息,50.75,-1.90,-3.61%,"135,182","473,373","-338,190"
11,00927 群益半導體收益,35.68,-3.02,-7.80%,"83,762","396,726","-312,964"
12,00988A主動統一全球創新,16.24,-1.97,-10.82%,"145,034","456,462","-311,427"
13,00406A主動中信台灣收益,8.82,-0.82,-8.51%,"87,349","319,900","-232,550"
14,00400A主動國泰動能高息,12.99,-1.00,-7.15%,"111,802","323,578","-211,775"
15,00929 復華台灣科技優息,28.52,-1.38,-4.62%,"54,013","226,327","-172,313"
16,00992A主動群益科技創新,15.22,-1.53,-9.13%,"71,149","227,490","-156,340"
17,00990A主動元大AI新經濟,15.49,-1.70,-9.89%,"92,440","244,856","-152,416"
18,00961 FT臺灣永續高息,12.34,-0.18,-1.44%,"40,474","179,649","-139,175"
19,3481 群創,52.60,-4.70,-8.20%,"398,944","514,577","-115,633"
20,00997A主動群益美國增長,11.00,-0.89,-7.49%,"91,176","204,640","-113,463"
21,00984A主動安聯台灣高息,14.80,-0.82,-5.25%,"35,183","145,494","-110,310"
22,2344 華邦電,155.00,-17.00,-9.88%,"153,460","254,173","-100,713"
23,2303 聯電,144.00,-16.00,-10.00%,"266,905","365,199","-98,294"
24,6770 力積電,68.90,-7.60,-9.93%,"263,548","351,847","-88,298"
25,2330 台積電,"2,290.00",-180.00,-7.29%,"61,446","136,805","-75,358"
26,00982A主動群益台灣強棒,21.43,-2.14,-9.08%,"58,772","133,359","-74,587"
27,1802 台玻,56.60,-5.10,-8.27%,"38,423","107,529","-69,105"
28,2337 旺宏,125.00,-11.50,-8.42%,"79,844","146,510","-66,665"
29,3231 緯創,139.00,-7.50,-5.12%,"80,566","146,824","-66,257"
30,1714 和桐,15.30,-0.90,-5.56%,"65,231","129,937","-64,705"
31,2891 中信金,62.10,-0.90,-1.43%,"237,983","296,668","-58,685"
32,0052 富邦科技,57.90,-4.30,-6.91%,"61,571","115,059","-53,487"
33,00919 群益台灣精選高息,28.93,-0.62,-2.10%,"188,316","237,551","-49,234"
34,2317 鴻海,234.00,-8.50,-3.51%,"112,443","156,086","-43,643"
35,2353 宏碁,29.60,-1.15,-3.74%,"119,165","162,557","-43,391"
36,1326 台化,66.10,-2.80,-4.06%,"120,466","163,276","-42,809"
37,00891 中信關鍵半導體,33.35,-2.66,-7.39%,"32,543","74,932","-42,388"
38,00935 野村臺灣新科技50,53.40,-4.55,-7.85%,"31,887","73,940","-42,053"
39,2412 中華電,138.00,+ 2.00,+1.47%,"103,081","144,991","-41,909"
40,2449 京元電子,286.50,-31.50,-9.91%,"55,417","96,526","-41,109"
41,00878 國泰永續高股息,31.81,-1.14,-3.46%,"79,318","120,096","-40,778"
42,1409 新纖,24.30,-1.70,-6.54%,"111,626","151,748","-40,122"
43,00830 國泰費城半導體,83.10,-5.95,-6.68%,"29,810","68,809","-38,999"
44,00892 富邦台灣半導體,37.58,-2.84,-7.03%,"18,356","53,007","-34,651"
45,2408 南亞科,395.50,-43.50,-9.91%,"121,415","155,919","-34,504"
46,3037 欣興,794.00,-88.00,-9.98%,"33,574","65,172","-31,598"
47,3711 日月光投控,614.00,-68.00,-9.97%,"53,709","83,932","-30,222"
48,6005 群益證,33.00,-1.65,-4.76%,"27,588","55,727","-28,139"
49,009821野村稀土關鍵資源,12.51,-0.62,-4.72%,"32,418","59,788","-27,370"
50,2409 友達,25.80,-1.85,-6.69%,"473,934","499,787","-25,852"
