Rank,Stock,Price,Change,ChangePercent,Buy,Sell,NetSell
1,00406A主動中信台灣收益,9.59,+ 0.28,+3.01%,"133,108","408,717","-275,608"
2,00918 大華優利高填息30,34.15,-0.35,-1.01%,"57,706","327,337","-269,631"
3,00712 復華富時不動產,7.97,-0.05,-0.62%,"49,752","212,126","-162,373"
4,00919 群益台灣精選高息,31.96,-0.15,-0.47%,"32,637","91,703","-59,065"
5,009828中信台日韓PCB,9.34,+ 0.16,+1.74%,"31,462","79,296","-47,833"
6,00632R元大台灣50反1,9.67,-0.17,-1.73%,"32,554","77,950","-45,396"
7,3481 群創,48.25,-0.25,-0.52%,"25,851","55,512","-29,660"
8,00673R期元大S＆P原油反1,10.26,+ 0.11,+1.08%,"13,970","31,796","-17,825"
9,2887 台新新光金,44.40,+ 0.35,+0.79%,"67,372","83,654","-16,282"
10,4958 臻鼎-KY,473.00,-3.00,-0.63%,"5,376","20,428","-15,051"
11,2481 強茂,168.50,+ 5.50,+3.37%,"10,750","24,945","-14,195"
12,1709 和益,39.20,-3.75,-8.73%,"17,195","31,004","-13,809"
13,00953B群益優選非投等債,9.57,-0.01,-0.10%,"23,539","35,694","-12,154"
14,2889 國票金,17.15,-0.15,-0.87%,"9,023","18,069","-9,045"
15,6213 聯茂,505.00,+ 10.00,+2.02%,"7,640","16,584","-8,944"
16,2884 玉山金,46.40,-0.90,-1.90%,"36,794","45,271","-8,476"
17,2338 光罩,50.00,+ 1.20,+2.46%,"5,054","12,951","-7,896"
18,2834 臺企銀,18.35,-0.40,-2.13%,"48,550","55,458","-6,908"
19,009826貝萊德世界股票,10.03,+ 0.03,+0.30%,"8,706","15,300","-6,594"
20,00753L中信中國50正2,8.86,+ 0.12,+1.37%,"8,058","14,545","-6,487"
21,00984D主動聯博全球非投,9.88,+ 0.01,+0.10%,"8,396","14,230","-5,834"
22,00961 FT臺灣永續高息,13.33,+ 0.02,+0.15%,"7,370","13,139","-5,768"
23,00664R國泰臺灣加權反1,1.56,-0.03,-1.89%,"16,208","20,831","-4,622"
24,2801 彰銀,28.95,-0.65,-2.20%,"25,588","30,173","-4,584"
25,2882 國泰金,110.50,-1.50,-1.34%,"17,297","21,668","-4,371"
26,3450 聯鈞,538.00,+ 13.00,+2.48%,"3,558","7,659","-4,101"
27,009829大華韓國KOSPI50,10.63,+ 0.23,+2.21%,"11,744","15,730","-3,985"
28,1605 華新,37.10,-0.05,-0.13%,"10,936","14,838","-3,901"
29,1802 台玻,58.80,+ 0.30,+0.51%,"7,373","11,244","-3,871"
30,2633 台灣高鐵,25.75,-0.30,-1.15%,"12,218","15,916","-3,698"
31,00985B群益ESG投等債0-5,10.12,-0.01,-0.10%,"10,429","13,987","-3,558"
32,1504 東元,69.50,-1.40,-1.97%,"2,855","6,342","-3,487"
33,2426 鼎元,102.00,+ 6.00,+6.25%,"11,744","15,214","-3,469"
34,2354 鴻準,65.70,-0.60,-0.90%,"5,185","8,651","-3,465"
35,00676R富邦臺灣加權反1,5.33,-0.11,-2.02%,"9,559","12,992","-3,433"
36,00713 元大台灣高息低波,65.10,+ 0.15,+0.23%,"3,254","6,471","-3,217"
37,2413 環科,53.10,0.00,0.00%,"1,781","4,901","-3,120"
38,009821野村稀土關鍵資源,14.15,+ 0.20,+1.43%,"3,035","6,056","-3,021"
39,2369 菱生,31.00,+ 0.70,+2.31%,"2,298","5,244","-2,946"
40,8112 至上,83.10,+ 0.30,+0.36%,"1,210","4,041","-2,830"
41,2601 益航,5.92,-0.38,-6.03%,"19,651","22,409","-2,758"
42,00930 永豐ESG低碳高息,24.39,+ 0.29,+1.20%,"2,559","4,960","-2,401"
43,2881 富邦金,150.50,-1.00,-0.66%,"12,077","14,417","-2,339"
44,2313 華通,228.50,+ 10.00,+4.58%,"11,281","13,565","-2,284"
45,00708L期元大S＆P黃金正2,79.45,+ 2.75,+3.59%,"2,502","4,700","-2,197"
46,6116 彩晶,14.00,+ 0.05,+0.36%,"5,482","7,640","-2,157"
47,2324 仁寶,37.70,+ 0.30,+0.80%,"24,292","26,417","-2,125"
48,9105 泰金寶-DR,8.37,-0.06,-0.71%,"6,833","8,907","-2,073"
49,00665L富邦恒生國企正2,8.92,+ 0.15,+1.71%,"7,459","9,529","-2,070"
50,6226 光鼎,45.70,+ 1.85,+4.22%,"10,504","12,556","-2,052"
