Rank,Stock,Price,Change,ChangePercent,Buy,Sell,NetSell
1,2634 漢翔,64.40,-7.10,-9.93%,"8,772","56,319","-47,547"
2,00632R元大台灣50反1,10.39,-0.09,-0.86%,"25,311","71,981","-46,669"
3,00406A主動中信台灣收益,9.46,+ 0.29,+3.16%,"9,104","36,461","-27,357"
4,1718 中纖,12.35,-0.85,-6.44%,"8,112","30,801","-22,688"
5,8150 南茂,100.00,-4.00,-3.85%,"3,904","21,437","-17,532"
6,00673R期元大S＆P原油反1,12.77,-0.47,-3.55%,"6,768","18,808","-12,039"
7,00984D主動聯博全球非投,10.25,+ 0.01,+0.10%,"9,149","18,013","-8,863"
8,2409 友達,25.80,+ 0.20,+0.78%,"18,114","26,167","-8,053"
9,1102 亞泥,32.45,-0.70,-2.11%,"6,418","14,468","-8,050"
10,3481 群創,52.50,+ 1.80,+3.55%,"17,351","23,794","-6,442"
11,9904 寶成,24.25,-0.15,-0.61%,"6,373","12,588","-6,214"
12,1216 統一,76.80,-2.80,-3.52%,"12,048","18,248","-6,200"
13,2105 正新,31.25,-1.00,-3.10%,"3,472","8,936","-5,464"
14,6505 台塑化,85.10,-0.30,-0.35%,"14,657","19,972","-5,314"
15,1314 中石化,8.42,-0.03,-0.36%,"6,412","11,617","-5,204"
16,2630 亞航,53.20,-5.70,-9.68%,"1,673","6,119","-4,445"
17,2313 華通,208.00,-2.00,-0.95%,"1,995","6,428","-4,433"
18,6770 力積電,67.90,+ 2.80,+4.30%,"10,873","15,260","-4,386"
19,2330 台積電,"2,400.00",-10.00,-0.41%,"4,928","9,041","-4,113"
20,1717 長興,62.60,-0.60,-0.95%,"1,067","5,089","-4,022"
21,2382 廣達,329.00,+ 5.00,+1.54%,"7,289","11,178","-3,888"
22,2303 聯電,139.00,+ 4.50,+3.35%,"28,711","32,101","-3,390"
23,00664R國泰臺灣加權反1,1.69,0.00,0.00%,"15,898","19,248","-3,349"
24,6226 光鼎,19.10,+ 0.80,+4.37%,"1,326","4,485","-3,159"
25,6116 彩晶,14.65,+ 0.15,+1.03%,"3,358","6,338","-2,979"
26,6213 聯茂,367.00,+ 12.50,+3.53%,"2,284","5,153","-2,869"
27,2515 中工,12.20,-0.10,-0.81%,"4,328","7,062","-2,733"
28,2312 金寶,33.00,-0.10,-0.30%,"4,500","7,178","-2,677"
29,00885 富邦越南,17.52,-0.30,-1.68%,"3,363","6,038","-2,674"
30,2208 台船,20.10,-1.25,-5.85%,"1,418","3,988","-2,570"
31,2352 佳世達,30.40,-0.25,-0.82%,"2,185","4,485","-2,299"
32,00676R富邦臺灣加權反1,5.72,-0.05,-0.87%,"2,149","4,400","-2,251"
33,2646 星宇航空,21.40,-0.60,-2.73%,"1,854","4,065","-2,211"
34,00665L富邦恒生國企正2,9.09,-0.25,-2.68%,"4,516","6,674","-2,157"
35,2481 強茂,157.50,+ 14.00,+9.76%,"4,326","6,420","-2,093"
36,3042 晶技,169.00,+ 1.00,+0.60%,"1,882","3,937","-2,054"
37,00990A主動元大AI新經濟,16.70,+ 0.27,+1.64%,"10,060","12,031","-1,971"
38,2812 台中銀,20.45,0.00,0.00%,"8,926","10,871","-1,945"
39,2327 國巨*,703.00,+ 33.00,+4.93%,"7,162","9,068","-1,905"
40,5471 松翰,57.50,+ 1.10,+1.95%,601,"2,490","-1,888"
41,1714 和桐,15.70,+ 0.50,+3.29%,"5,204","7,080","-1,876"
42,1722 台肥,46.50,-0.60,-1.27%,877,"2,751","-1,873"
43,00988A主動統一全球創新,17.63,+ 0.43,+2.50%,"15,639","17,451","-1,812"
44,1101 台泥,23.85,-0.20,-0.83%,"5,823","7,606","-1,783"
45,3189 景碩,796.00,+ 50.00,+6.70%,"3,015","4,736","-1,720"
46,00680L元大美債20正2,6.66,-0.04,-0.60%,"7,325","9,031","-1,706"
47,1434 福懋,19.20,+ 0.20,+1.05%,"2,061","3,729","-1,667"
48,8422 可寧衛*,26.00,-0.40,-1.52%,938,"2,597","-1,658"
49,2368 金像電,940.00,-40.00,-4.08%,784,"2,383","-1,599"
50,2889 國票金,15.70,-0.10,-0.63%,"2,619","4,080","-1,460"
