Rank,Stock,Price,Change,ChangePercent,Buy,Sell,NetBuy
1,00631L元大台灣50正2,33.80,-2.87,-7.83%,"732,940","455,919","277,020"
2,0050 元大台灣50,100.95,-3.20,-3.07%,"524,952","337,031","187,921"
3,009816凱基台灣TOP50,14.68,-0.51,-3.36%,"374,455","232,855","141,601"
4,00919 群益台灣精選高息,29.48,-1.19,-3.88%,"287,348","163,636","123,712"
5,00632R元大台灣50反1,10.77,+ 0.40,+3.86%,"312,369","202,635","109,734"
6,00403A主動統一升級50,10.13,-0.28,-2.69%,"687,072","588,247","98,825"
7,00981A主動統一台股增長,29.89,-0.92,-2.99%,"410,034","342,382","67,652"
8,2002 中鋼,18.65,-0.65,-3.37%,"113,184","52,448","60,737"
9,0056 元大高股息,49.45,-2.35,-4.54%,"126,733","71,487","55,246"
10,6155 鈞寶,77.30,-2.00,-2.52%,"63,979","16,374","47,606"
11,00990A主動元大AI新經濟,18.90,-1.35,-6.67%,"110,068","64,236","45,832"
12,00953B群益優選非投等債,9.55,+ 0.01,+0.10%,"72,571","27,067","45,504"
13,2881 富邦金,116.00,-2.00,-1.69%,"104,686","61,781","42,904"
14,00918 大華優利高填息30,29.61,-1.33,-4.30%,"129,480","93,744","35,737"
15,00929 復華台灣科技優息,28.08,-1.86,-6.21%,"66,694","40,254","26,441"
16,0052 富邦科技,58.85,-2.15,-3.52%,"72,781","47,086","25,696"
17,00664R國泰臺灣加權反1,1.74,+ 0.07,+4.19%,"61,104","35,773","25,331"
18,2317 鴻海,269.50,-15.00,-5.27%,"117,864","93,159","24,705"
19,1605 華新,35.80,-3.75,-9.48%,"93,563","70,754","22,809"
20,00680L元大美債20正2,6.80,-0.09,-1.31%,"34,236","12,681","21,555"
21,1101 台泥,23.85,-0.55,-2.25%,"51,861","31,313","20,547"
22,3376 新日興,236.50,-0.50,-0.21%,"34,984","15,188","19,796"
23,6153 嘉聯益,20.35,+ 1.85,+10.00%,"23,126","4,583","18,544"
24,00988A主動統一全球創新,20.25,-1.21,-5.64%,"150,738","132,273","18,465"
25,2484 希華,55.30,+ 2.50,+4.73%,"35,467","17,730","17,738"
26,00830 國泰費城半導體,87.90,-6.05,-6.44%,"26,957","10,626","16,331"
27,00982A主動群益台灣強棒,22.59,-1.15,-4.84%,"54,857","40,611","14,246"
28,00688L國泰20年美債正2,6.78,-0.09,-1.31%,"18,573","5,108","13,465"
29,2618 長榮航,36.40,-1.30,-3.45%,"52,726","39,384","13,342"
30,00878 國泰永續高股息,31.11,-1.21,-3.74%,"142,766","129,425","13,341"
31,3036 文曄,250.00,-23.00,-8.42%,"28,335","15,071","13,264"
32,00673R期元大S＆P原油反1,12.15,-0.15,-1.22%,"27,972","15,631","12,341"
33,2027 大成鋼,41.80,-2.00,-4.57%,"35,147","22,945","12,202"
34,00646 元大S＆P500,73.35,-1.35,-1.81%,"12,915","1,849","11,066"
35,3702 大聯大,108.00,-6.50,-5.68%,"27,570","16,516","11,054"
36,2884 玉山金,32.90,-0.45,-1.35%,"60,141","49,409","10,732"
37,3045 台灣大,115.00,-1.00,-0.86%,"17,754","7,036","10,718"
38,00881 國泰台灣科技龍頭,52.40,-1.70,-3.14%,"24,143","13,906","10,236"
39,2610 華航,19.05,-0.90,-4.51%,"59,520","49,346","10,173"
40,00882 中信中國高股息,15.66,-0.08,-0.51%,"16,929","7,798","9,131"
41,00891 中信關鍵半導體,33.76,-1.56,-4.42%,"36,237","27,155","9,082"
42,2330 台積電,"2,295.00",-70.00,-2.96%,"52,274","43,404","8,870"
43,00997A主動群益美國增長,12.62,-0.84,-6.24%,"29,028","20,252","8,776"
44,00753L中信中國50正2,9.35,-0.40,-4.10%,"16,777","8,137","8,640"
45,2449 京元電子,288.50,-21.00,-6.79%,"37,192","28,827","8,365"
46,00686R群益臺灣加權反1,1.07,+ 0.05,+4.90%,"17,936","9,637","8,299"
47,00940 元大台灣價值高息,11.99,-0.55,-4.39%,"47,224","38,961","8,263"
48,00738U期元大道瓊白銀,54.50,-4.05,-6.92%,"12,629","4,436","8,193"
49,00642U期元大S＆P石油,29.89,+ 0.47,+1.60%,"11,845","3,860","7,985"
50,00671R富邦NASDAQ反1,2.48,+ 0.09,+3.77%,"10,668","3,461","7,207"
