Rank,Stock,Price,Change,ChangePercent,Buy,Sell,NetSell
1,00632R元大台灣50反1,9.99,-0.17,-1.67%,"29,303","83,008","-53,705"
2,00406A主動中信台灣收益,9.66,+ 0.25,+2.66%,"52,712","87,026","-34,313"
3,2609 陽明,57.60,-6.00,-9.43%,"11,954","42,042","-30,087"
4,2303 聯電,123.50,-1.50,-1.20%,"11,777","28,429","-16,651"
5,2489 瑞軒,41.50,+ 0.95,+2.34%,"5,711","19,943","-14,232"
6,1101 台泥,24.30,-0.30,-1.22%,"8,282","22,362","-14,080"
7,3481 群創,46.40,-0.40,-0.85%,"6,015","18,078","-12,063"
8,00919 群益台灣精選高息,31.21,+ 0.14,+0.45%,"10,440","22,274","-11,833"
9,00712 復華富時不動產,8.84,-0.03,-0.34%,"5,815","16,717","-10,901"
10,2892 第一金,33.40,-0.40,-1.18%,"19,208","28,457","-9,248"
11,2484 希華,76.70,-2.60,-3.28%,"2,091","10,887","-8,796"
12,00953B群益優選非投等債,9.70,+ 0.02,+0.21%,"5,320","12,797","-7,477"
13,00984D主動聯博全球非投,10.07,+ 0.03,+0.30%,"5,528","12,136","-6,608"
14,2834 臺企銀,16.45,+ 0.10,+0.61%,"16,748","22,783","-6,034"
15,00664R國泰臺灣加權反1,1.61,-0.04,-2.42%,"10,499","16,443","-5,943"
16,1402 遠東新,28.55,-0.45,-1.55%,"1,962","7,560","-5,598"
17,6505 台塑化,70.40,-0.60,-0.85%,"2,365","6,401","-4,035"
18,009826貝萊德世界股票,10.16,+ 0.02,+0.20%,"4,739","8,667","-3,928"
19,2603 長榮,231.00,-15.00,-6.10%,"5,886","9,813","-3,927"
20,2845 遠東銀,13.45,-0.05,-0.37%,"3,655","7,367","-3,711"
21,00961 FT臺灣永續高息,13.16,+ 0.04,+0.30%,"4,241","7,712","-3,471"
22,009829大華韓國KOSPI50,10.42,+ 0.09,+0.87%,"8,305","11,754","-3,448"
23,2605 新興,34.85,-1.85,-5.04%,"2,589","6,036","-3,446"
24,2886 兆豐金,46.60,-0.40,-0.85%,"11,267","14,681","-3,413"
25,3702 大聯大,108.00,-2.00,-1.82%,"4,871","8,168","-3,296"
26,00830 國泰費城半導體,82.20,-0.05,-0.06%,"2,928","6,111","-3,182"
27,2606 裕民,72.00,-6.00,-7.69%,"4,916","7,899","-2,982"
28,2890 永豐金,39.15,-0.15,-0.38%,"4,655","7,611","-2,955"
29,00402A主動安聯美國科技,9.51,+ 0.05,+0.53%,"1,452","4,351","-2,899"
30,009805台新美國電力基建,15.18,-0.07,-0.46%,"2,260","5,142","-2,881"
31,2634 漢翔,69.00,+ 2.30,+3.45%,"2,746","5,600","-2,853"
32,3605 宏致,112.00,-4.50,-3.86%,"1,156","3,984","-2,827"
33,8112 至上,93.10,-0.90,-0.96%,"1,791","4,602","-2,810"
34,2327 國巨*,537.00,-7.00,-1.29%,"2,278","5,018","-2,739"
35,2884 玉山金,38.70,-0.30,-0.77%,"16,623","19,353","-2,730"
36,00686R群益臺灣加權反1,0.99,-0.02,-1.98%,"5,257","7,846","-2,588"
37,2889 國票金,15.75,+ 0.15,+0.96%,"11,036","13,549","-2,513"
38,3049 精金,13.35,-0.15,-1.11%,"2,043","4,552","-2,508"
39,00676R富邦臺灣加權反1,5.53,-0.10,-1.78%,"3,060","5,201","-2,140"
40,2332 友訊,20.00,-0.10,-0.50%,"1,458","3,491","-2,033"
41,5608 四維航,17.05,-1.05,-5.80%,"2,058","4,090","-2,031"
42,2409 友達,25.50,-0.15,-0.58%,"7,659","9,612","-1,953"
43,2412 中華電,136.00,-0.50,-0.37%,"1,843","3,789","-1,946"
44,3033 威健,45.40,-0.55,-1.20%,823,"2,716","-1,892"
45,3036 文曄,196.50,-2.00,-1.01%,"1,954","3,784","-1,829"
46,2880 華南金,39.60,-0.20,-0.50%,"4,466","6,174","-1,707"
47,009819中信數據及電力,9.81,+ 0.01,+0.10%,"1,684","3,288","-1,603"
48,00985B群益ESG投等債0-5,10.26,+ 0.01,+0.10%,"4,042","5,464","-1,422"
49,3576 聯合再生,17.05,-0.05,-0.29%,"1,593","2,951","-1,358"
50,00715L期街口布蘭特正2,46.36,-5.34,-10.33%,"2,025","3,368","-1,343"
