Rank,Stock,Price,Change,ChangePercent,NetBuy
1,2618 長榮航,42.15,+ 1.35,+3.31%,"69,428"
2,1301 台塑,65.70,+ 2.10,+3.30%,"44,766"
3,6770 力積電,76.10,+ 6.90,+9.97%,"42,556"
4,1402 遠東新,27.55,+ 1.20,+4.55%,"39,801"
5,2610 華航,21.20,+ 0.80,+3.92%,"29,468"
6,2883 凱基金,30.15,+ 0.65,+2.20%,"26,344"
7,6505 台塑化,72.80,+ 6.60,+9.97%,"23,627"
8,2892 第一金,33.10,-0.45,-1.34%,"19,522"
9,3576 聯合再生,17.70,+ 0.20,+1.14%,"19,263"
10,2027 大成鋼,41.30,+ 2.20,+5.63%,"18,789"
11,1326 台化,70.80,+ 3.80,+5.67%,"17,824"
12,2891 中信金,63.50,-1.50,-2.31%,"17,281"
13,2002 中鋼,18.65,+ 0.15,+0.81%,"13,473"
14,5880 合庫金,25.35,+ 0.15,+0.60%,"12,985"
15,2603 長榮,199.50,+ 5.00,+2.57%,"12,605"
16,2353 宏碁,31.05,+ 0.30,+0.98%,"12,455"
17,00990A主動元大AI新經濟,18.16,+ 0.79,+4.55%,"11,593"
18,8039 台虹,181.50,-4.00,-2.16%,"11,256"
19,2845 遠東銀,13.45,+ 0.15,+1.13%,"11,015"
20,2344 華邦電,180.50,+ 16.00,+9.73%,"10,978"
21,009824群益美國科技巨頭,10.34,+ 0.23,+2.27%,"10,915"
22,2867 三商壽,8.85,+ 0.02,+0.23%,"10,468"
23,00988A主動統一全球創新,19.21,+ 0.72,+3.89%,"10,297"
24,3045 台灣大,109.00,0.00,0.00%,"9,949"
25,00953B群益優選非投等債,9.74,+ 0.03,+0.31%,"8,593"
26,00753L中信中國50正2,9.34,+ 0.33,+3.66%,"8,319"
27,2884 玉山金,34.45,-0.05,-0.14%,"7,982"
28,2337 旺宏,148.50,+ 9.00,+6.45%,"7,784"
29,2313 華通,248.00,+ 22.50,+9.98%,"7,348"
30,2303 聯電,166.00,+ 15.00,+9.93%,"7,037"
31,2633 台灣高鐵,25.95,+ 0.45,+1.76%,"6,751"
32,2881 富邦金,128.50,+ 3.50,+2.80%,"6,644"
33,00997A主動群益美國增長,12.34,+ 0.36,+3.01%,"6,630"
34,2615 萬海,81.70,+ 2.30,+2.90%,"6,548"
35,9105 泰金寶-DR,8.96,+ 0.19,+2.17%,"6,350"
36,1434 福懋,19.55,+ 1.25,+6.83%,"6,285"
37,3034 聯詠,472.00,+ 4.00,+0.85%,"6,268"
38,2347 聯強,87.20,+ 4.10,+4.93%,"6,209"
39,1101 台泥,23.55,+ 0.85,+3.74%,"5,956"
40,3006 晶豪科,239.00,+ 21.50,+9.89%,"5,802"
41,1504 東元,69.00,+ 5.40,+8.49%,"5,646"
42,5388 中磊,89.40,+ 3.70,+4.32%,"5,423"
43,2890 永豐金,39.95,+ 0.30,+0.76%,"5,389"
44,2105 正新,32.85,+ 0.20,+0.61%,"5,258"
45,9945 潤泰新,26.40,+ 0.55,+2.13%,"5,067"
46,1718 中纖,14.90,+ 1.00,+7.19%,"5,005"
47,2408 南亞科,481.00,+ 33.00,+7.37%,"4,830"
48,0056 元大高股息,53.00,+ 1.25,+2.42%,"4,622"
49,3090 日電貿,225.00,-7.50,-3.23%,"4,605"
50,2605 新興,31.65,+ 1.50,+4.98%,"4,432"
