Rank,Stock,Price,Change,ChangePercent,NetSell
1,2409 友達,29.40,+ 1.50,+5.38%,"-175,155"
2,00981A主動統一台股增長,28.33,+ 0.10,+0.35%,"-146,568"
3,0050 元大台灣50,106.90,+ 0.65,+0.61%,"-145,166"
4,009816凱基台灣TOP50,15.89,+ 0.14,+0.89%,"-78,562"
5,00632R元大台灣50反1,9.95,-0.08,-0.80%,"-69,869"
6,2002 中鋼,18.65,0.00,0.00%,"-65,223"
7,00406A主動中信台灣收益,9.34,+ 0.06,+0.65%,"-61,543"
8,6770 力積電,69.90,+ 3.00,+4.48%,"-61,164"
9,2344 華邦電,169.00,+ 9.50,+5.96%,"-59,066"
10,00631L元大台灣50正2,35.56,+ 0.47,+1.34%,"-55,526"
11,00403A主動統一升級50,10.02,+ 0.07,+0.70%,"-50,152"
12,00991A主動復華未來50,17.11,+ 0.24,+1.42%,"-44,112"
13,1101 台泥,24.05,+ 0.25,+1.05%,"-42,706"
14,1303 南亞,224.00,+ 2.50,+1.13%,"-40,412"
15,2324 仁寶,37.35,+ 0.40,+1.08%,"-33,779"
16,00919 群益台灣精選高息,31.99,+ 0.35,+1.11%,"-32,873"
17,2330 台積電,"2,380.00",0.00,0.00%,"-32,413"
18,00878 國泰永續高股息,34.47,+ 0.27,+0.79%,"-31,716"
19,00685L群益臺灣加權正2,11.73,+ 0.18,+1.56%,"-30,710"
20,6505 台塑化,80.50,-2.40,-2.90%,"-29,190"
21,00992A主動群益科技創新,17.52,+ 0.21,+1.21%,"-25,110"
22,00400A主動國泰動能高息,14.52,+ 0.10,+0.69%,"-24,140"
23,0056 元大高股息,55.55,+ 0.55,+1.00%,"-22,127"
24,2408 南亞科,492.50,+ 27.00,+5.80%,"-21,787"
25,1301 台塑,62.40,+ 0.40,+0.65%,"-21,303"
26,3231 緯創,183.00,+ 0.50,+0.27%,"-21,151"
27,2890 永豐金,45.30,+ 0.75,+1.68%,"-21,042"
28,00881 國泰台灣科技龍頭,49.65,+ 0.44,+0.89%,"-20,736"
29,2801 彰銀,28.90,+ 0.90,+3.21%,"-17,123"
30,00407A主動凱基台灣,9.36,+ 0.09,+0.97%,"-15,587"
31,1326 台化,65.80,0.00,0.00%,"-14,531"
32,00712 復華富時不動產,8.21,-0.08,-0.97%,"-13,825"
33,2885 元大金,69.40,+ 1.10,+1.61%,"-11,215"
34,2105 正新,29.90,-0.10,-0.33%,"-10,827"
35,2882 國泰金,112.50,+ 2.50,+2.27%,"-10,800"
36,2542 興富發,45.90,+ 0.65,+1.44%,"-10,745"
37,00929 復華台灣科技優息,28.84,+ 0.38,+1.34%,"-10,714"
38,2610 華航,19.95,+ 0.05,+0.25%,"-10,566"
39,3711 日月光投控,605.00,+ 13.00,+2.20%,"-10,551"
40,0052 富邦科技,61.95,+ 0.35,+0.57%,"-10,292"
41,8150 南茂,87.10,+ 2.70,+3.20%,"-10,069"
42,3006 晶豪科,281.00,+ 17.00,+6.44%,"-9,766"
43,00680L元大美債20正2,6.19,+ 0.05,+0.81%,"-9,555"
44,00927 群益半導體收益,37.21,+ 0.58,+1.58%,"-9,436"
45,6116 彩晶,14.15,+ 0.50,+3.66%,"-9,393"
46,00891 中信關鍵半導體,34.99,+ 0.45,+1.30%,"-9,240"
47,00922 國泰台灣領袖50,41.61,+ 0.24,+0.58%,"-9,197"
48,00988A主動統一全球創新,15.80,+ 0.13,+0.83%,"-8,971"
49,2327 國巨*,536.00,-1.00,-0.19%,"-8,959"
50,00982A主動群益台灣強棒,22.18,+ 0.30,+1.37%,"-7,825"
