名次,股票名稱,收盤價,漲跌,漲跌幅,4日買進張數,4日賣出張數,4日買賣超張數
1,00715L期街口布蘭特正2,10.43,-0.09,-0.86%,"181,382","49,659","131,723"
2,00712 復華富時不動產,9.28,0.03,0.32%,"99,922","44,109","55,812"
3,1303 南亞,64.40,3.30,5.40%,"131,465","76,843","54,622"
4,3481 群創,14.00,0.40,2.94%,"111,257","58,847","52,409"
5,1802 台玻,37.10,1.85,5.25%,"112,779","63,757","49,021"
6,00878 國泰永續高股息,21.01,0.15,0.72%,"76,105","29,335","46,770"
7,2303 聯電,47.20,0.70,1.51%,"77,265","35,359","41,906"
8,3037 欣興,196.00,-1.00,-0.51%,"52,892","26,646","26,245"
9,00891 中信關鍵半導體,19.23,0.04,0.21%,"42,760","18,263","24,497"
10,00900 富邦特選高股息30,13.25,-0.03,-0.23%,"48,483","24,579","23,904"
11,2867 三商壽,7.32,0.05,0.69%,"48,528","25,505","23,023"
12,2889 國票金,17.15,0.15,0.88%,"35,472","14,976","20,496"
13,1301 台塑,43.45,1.55,3.70%,"35,604","16,351","19,252"
14,2880 華南金,30.20,0.75,2.55%,"39,049","20,389","18,659"
15,2884 玉山金,30.85,0.30,0.98%,"56,090","38,134","17,956"
16,2891 中信金,44.10,0.70,1.61%,"71,236","53,460","17,776"
17,00940 元大台灣價值高息,9.25,0.00,0.00%,"35,880","18,903","16,977"
18,8039 台虹,81.00,-1.60,-1.94%,"41,458","24,955","16,502"
19,2002 中鋼,18.85,0.25,1.34%,"35,733","21,572","14,161"
20,2834 臺企銀,15.90,0.10,0.63%,"32,355","18,238","14,116"
21,2882 國泰金,66.60,1.80,2.78%,"69,281","56,665","12,616"
22,2454 聯發科,"1,415.00",-30.00,-2.08%,"26,137","14,092","12,044"
23,2885 元大金,36.55,0.80,2.24%,"48,164","37,427","10,736"
24,0056 元大高股息,36.11,0.11,0.31%,"41,296","31,193","10,103"
25,00637L元大滬深300正2,19.96,0.07,0.35%,"37,261","27,700","9,561"
26,1304 台聚,12.25,1.10,9.87%,"18,208","8,973","9,234"
27,00632R元大台灣50反1,17.30,-0.06,-0.35%,"64,382","56,238","8,144"
28,2382 廣達,288.50,1.50,0.52%,"23,429","15,488","7,941"
29,2449 京元電子,226.50,9.00,4.14%,"38,597","30,790","7,806"
30,3231 緯創,143.00,2.00,1.42%,"46,220","38,437","7,782"
31,9904 寶成,31.00,-0.10,-0.32%,"19,846","12,088","7,757"
32,00929 復華台灣科技優息,17.63,0.02,0.11%,"20,814","13,381","7,433"
33,2890 永豐金,27.50,0.60,2.23%,"38,746","31,668","7,077"
34,1326 台化,35.45,1.80,5.35%,"21,207","14,175","7,032"
35,2027 大成鋼,38.45,0.05,0.13%,"37,133","30,201","6,931"
36,2605 新興,28.20,0.85,3.11%,"17,283","10,372","6,911"
37,6153 嘉聯益,15.90,-0.25,-1.55%,"11,093","4,194","6,899"
38,3535 晶彩科,89.80,-1.80,-1.97%,"12,376","6,044","6,332"
39,2883 凱基金,15.85,0.20,1.28%,"51,303","45,141","6,161"
40,00941 中信上游半導體,16.80,0.14,0.84%,"10,842","4,807","6,034"
41,2313 華通,85.20,2.50,3.02%,"20,018","14,097","5,921"
42,00885 富邦越南,16.96,-0.12,-0.70%,"12,702","7,086","5,616"
43,1402 遠東新,29.00,0.40,1.40%,"21,081","15,470","5,611"
44,00830 國泰費城半導體,57.15,1.20,2.14%,"13,448","8,220","5,227"
45,00882 中信中國高股息,15.52,0.18,1.17%,"21,549","16,463","5,085"
46,00680L元大美債20正2,7.48,-0.08,-1.06%,"73,787","68,842","4,945"
47,00915 凱基優選高股息30,22.14,0.20,0.91%,"8,520","3,792","4,728"
48,00919 群益台灣精選高息,21.61,0.16,0.75%,"53,312","49,253","4,059"
49,1308 亞聚,14.55,1.30,9.81%,"8,283","4,226","4,057"
50,1313 聯成,11.30,0.60,5.61%,"11,831","7,823","4,007"
