Rank,Stock,Price,Change,ChangePercent,NetSell
1,2409 友達,27.90,-0.80,-2.79%,"-143,960"
2,2344 華邦電,159.50,-0.50,-0.31%,"-141,119"
3,0050 元大台灣50,106.25,-0.65,-0.61%,"-128,835"
4,00981A主動統一台股增長,28.86,-0.46,-1.57%,"-108,393"
5,00406A主動中信台灣收益,9.28,-0.11,-1.17%,"-80,369"
6,009816凱基台灣TOP50,15.75,-0.07,-0.44%,"-65,985"
7,00632R元大台灣50反1,10.03,+ 0.06,+0.60%,"-65,671"
8,6770 力積電,66.90,-3.80,-5.37%,"-64,429"
9,00631L元大台灣50正2,35.09,-0.31,-0.88%,"-52,937"
10,2801 彰銀,28.00,-0.55,-1.93%,"-39,309"
11,3231 緯創,182.50,+ 1.50,+0.83%,"-38,830"
12,2324 仁寶,36.95,-0.95,-2.51%,"-37,719"
13,00685L群益臺灣加權正2,11.55,-0.13,-1.11%,"-37,305"
14,2408 南亞科,465.50,-7.50,-1.59%,"-35,204"
15,2002 中鋼,18.65,-0.15,-0.80%,"-34,685"
16,2884 玉山金,45.65,-0.70,-1.51%,"-32,053"
17,1303 南亞,221.50,-12.50,-5.34%,"-30,185"
18,2887 台新新光金,43.40,-0.15,-0.34%,"-29,618"
19,00878 國泰永續高股息,34.20,-0.03,-0.09%,"-29,491"
20,00991A主動復華未來50,16.87,-0.27,-1.58%,"-29,277"
21,2330 台積電,"2,385.00",+ 5.00,+0.21%,"-28,172"
22,00919 群益台灣精選高息,32.74,-0.15,-0.46%,"-26,970"
23,00400A主動國泰動能高息,14.42,-0.30,-2.04%,"-26,770"
24,00881 國泰台灣科技龍頭,49.21,-0.33,-0.67%,"-23,166"
25,0056 元大高股息,55.00,-0.40,-0.72%,"-21,109"
26,9904 寶成,24.25,+ 0.20,+0.83%,"-20,239"
27,00712 復華富時不動產,8.29,-0.03,-0.36%,"-18,346"
28,00407A主動凱基台灣,9.27,-0.19,-2.01%,"-18,344"
29,1101 台泥,23.80,-0.10,-0.42%,"-17,325"
30,6116 彩晶,13.65,-0.20,-1.44%,"-15,612"
31,8112 至上,82.60,-1.00,-1.20%,"-15,145"
32,6505 台塑化,82.90,+ 0.10,+0.12%,"-14,539"
33,00992A主動群益科技創新,17.31,-0.31,-1.76%,"-13,967"
34,2542 興富發,45.25,-0.45,-0.98%,"-13,026"
35,2337 旺宏,114.50,-1.50,-1.29%,"-12,801"
36,2890 永豐金,44.55,-0.25,-0.56%,"-12,549"
37,2610 華航,19.90,-0.30,-1.49%,"-12,335"
38,00680L元大美債20正2,6.14,-0.06,-0.97%,"-12,261"
39,3376 新日興,173.00,-8.00,-4.42%,"-11,647"
40,2492 華新科,300.00,-5.50,-1.80%,"-11,042"
41,2885 元大金,68.30,-2.50,-3.53%,"-10,602"
42,00405A主動富邦台灣龍耀,8.32,-0.24,-2.80%,"-10,304"
43,6005 群益證,31.10,-1.00,-3.12%,"-10,058"
44,00961 FT臺灣永續高息,13.33,-0.07,-0.52%,"-9,577"
45,2303 聯電,138.50,-4.00,-2.81%,"-9,336"
46,2308 台達電,"1,670.00",+ 50.00,+3.09%,"-9,228"
47,6949 沛爾生醫*-創,51.40,-4.40,-7.89%,"-9,014"
48,3706 神達,77.60,-1.10,-1.40%,"-8,835"
49,4763 材料*-KY,48.10,-1.25,-2.53%,"-8,634"
50,1409 新纖,23.90,-0.45,-1.85%,"-8,556"
