Rank,Stock,Price,Change,ChangePercent,NetBuy
1,2409 友達,30.00,+ 0.60,+2.04%,"67,938"
2,2609 陽明,62.00,+ 1.80,+2.99%,"37,685"
3,2412 中華電,145.00,+ 1.50,+1.05%,"27,739"
4,1314 中石化,8.96,+ 0.81,+9.94%,"25,807"
5,2834 臺企銀,18.75,+ 0.55,+3.02%,"24,087"
6,00403A主動統一升級50,10.01,-0.01,-0.10%,"20,862"
7,2891 中信金,71.20,+ 0.40,+0.56%,"19,583"
8,2371 大同,29.70,+ 1.45,+5.13%,"15,049"
9,1718 中纖,10.90,+ 0.40,+3.81%,"12,753"
10,00406A主動中信台灣收益,9.31,-0.03,-0.32%,"11,281"
11,2880 華南金,47.90,+ 0.55,+1.16%,"11,202"
12,2353 宏碁,32.40,+ 0.40,+1.25%,"10,910"
13,3481 群創,48.50,-0.20,-0.41%,"10,685"
14,00631L元大台灣50正2,36.41,+ 0.85,+2.39%,"9,612"
15,2489 瑞軒,43.20,+ 1.95,+4.73%,"9,574"
16,6257 矽格,222.50,+ 12.50,+5.95%,"9,092"
17,2615 萬海,120.50,+ 5.50,+4.78%,"8,931"
18,1312 國喬,14.95,+ 0.15,+1.01%,"8,548"
19,6226 光鼎,43.85,+ 3.95,+9.90%,"7,943"
20,2605 新興,37.15,+ 1.10,+3.05%,"7,545"
21,2103 台橡,28.20,+ 1.35,+5.03%,"5,762"
22,3702 大聯大,111.00,+ 5.00,+4.72%,"5,664"
23,1727 中華化,105.00,+ 9.40,+9.83%,"5,540"
24,3045 台灣大,124.00,-0.50,-0.40%,"5,407"
25,2820 華票,17.45,+ 0.15,+0.87%,"5,223"
26,9945 潤泰新,28.95,+ 0.90,+3.21%,"5,183"
27,2382 廣達,344.00,+ 3.50,+1.03%,"5,154"
28,2305 全友,54.30,+ 4.90,+9.92%,"5,061"
29,2317 鴻海,250.50,+ 2.50,+1.01%,"4,799"
30,3042 晶技,178.50,-7.00,-3.77%,"4,767"
31,2354 鴻準,66.30,+ 1.10,+1.69%,"4,422"
32,2344 華邦電,170.00,+ 1.00,+0.59%,"4,133"
33,1709 和益,42.95,+ 3.90,+9.99%,"4,034"
34,2399 映泰,49.00,+ 1.70,+3.59%,"3,845"
35,6168 宏齊,35.35,+ 3.20,+9.95%,"3,843"
36,3706 神達,80.50,+ 1.50,+1.90%,"3,752"
37,5880 合庫金,27.55,+ 0.20,+0.73%,"3,730"
38,6116 彩晶,13.95,-0.20,-1.41%,"3,690"
39,2845 遠東銀,13.75,+ 0.15,+1.10%,"3,661"
40,5876 上海商銀,49.95,+ 0.20,+0.40%,"3,557"
41,6133 金橋,26.05,+ 2.35,+9.92%,"3,286"
42,2441 超豐,118.50,+ 2.00,+1.72%,"3,241"
43,2006 東和鋼鐵,82.50,+ 1.40,+1.73%,"3,234"
44,6770 力積電,71.20,+ 1.30,+1.86%,"3,215"
45,00409A主動復華全球50,9.53,+ 0.07,+0.74%,"3,201"
46,1313 聯成,12.30,+ 0.35,+2.93%,"3,121"
47,1710 東聯,16.65,+ 0.95,+6.05%,"3,053"
48,2377 微星,153.00,-0.50,-0.33%,"3,007"
49,2104 國際中橡,10.75,+ 0.30,+2.87%,"2,860"
50,9933 中鼎,42.40,-0.35,-0.82%,"2,806"
