Rank,Stock,Price,Change,ChangePercent,NetSell
1,3481 群創,59.40,+ 3.20,+5.69%,"-160,464"
2,2618 長榮航,37.70,+ 0.45,+1.21%,"-77,008"
3,2880 華南金,36.40,+ 2.35,+6.90%,"-71,899"
4,00919 群益台灣精選高息,30.78,+ 0.48,+1.58%,"-63,129"
5,2883 凱基金,25.70,+ 2.30,+9.83%,"-58,394"
6,1802 台玻,71.80,+ 0.80,+1.13%,"-49,880"
7,2382 廣達,417.00,+ 16.50,+4.12%,"-38,782"
8,2344 華邦電,177.50,-7.00,-3.79%,"-36,606"
9,2105 正新,34.55,+ 0.55,+1.62%,"-32,311"
10,0050 元大台灣50,107.60,+ 1.90,+1.80%,"-32,128"
11,009820元大納斯達克精選,10.89,+ 0.05,+0.46%,"-31,673"
12,2887 台新新光金,28.30,+ 2.20,+8.43%,"-24,442"
13,2313 華通,266.50,-4.00,-1.48%,"-24,336"
14,00918 大華優利高填息30,31.73,+ 0.32,+1.02%,"-23,867"
15,4938 和碩,98.50,+ 0.70,+0.72%,"-23,200"
16,2886 兆豐金,41.65,-0.05,-0.12%,"-22,214"
17,00981A主動統一台股增長,31.81,+ 0.48,+1.53%,"-18,535"
18,2347 聯強,91.10,-0.40,-0.44%,"-18,518"
19,6282 康舒,64.40,+ 1.40,+2.22%,"-18,020"
20,2891 中信金,70.50,+ 6.40,+9.98%,"-17,310"
21,1216 統一,73.30,-0.90,-1.21%,"-17,231"
22,2542 興富發,43.00,+ 0.55,+1.30%,"-16,492"
23,2603 長榮,237.00,+ 6.00,+2.60%,"-14,125"
24,9105 泰金寶-DR,11.55,+ 1.05,+10.00%,"-13,094"
25,2855 統一證,54.30,+ 4.85,+9.81%,"-12,629"
26,00991A主動復華未來50,19.99,+ 0.18,+0.91%,"-12,271"
27,00990A主動元大AI新經濟,21.11,+ 0.94,+4.66%,"-11,738"
28,8105 凌巨,20.60,-0.60,-2.83%,"-10,859"
29,1717 長興,78.10,-0.60,-0.76%,"-10,800"
30,0052 富邦科技,63.60,+ 0.90,+1.44%,"-10,473"
31,5871 中租-KY,117.50,+ 3.00,+2.62%,"-10,445"
32,1210 大成,53.70,+ 0.90,+1.70%,"-10,307"
33,2002 中鋼,19.40,+ 0.45,+2.37%,"-10,166"
34,1504 東元,83.00,+ 7.50,+9.93%,"-9,929"
35,6213 聯茂,270.00,-3.00,-1.10%,"-9,749"
36,2412 中華電,141.00,-1.00,-0.70%,"-9,015"
37,3673 TPK-KY,94.00,+ 2.00,+2.17%,"-8,863"
38,4540 全球傳動,72.00,-5.30,-6.86%,"-8,615"
39,3714 富采,70.00,+ 0.80,+1.16%,"-8,512"
40,9904 寶成,26.50,+ 0.40,+1.53%,"-8,435"
41,9910 豐泰,82.50,+ 3.50,+4.43%,"-8,412"
42,2912 統一超,239.00,+ 6.00,+2.58%,"-8,290"
43,8150 南茂,95.80,-2.80,-2.84%,"-7,979"
44,1102 亞泥,34.20,+ 0.40,+1.18%,"-7,865"
45,2801 彰銀,21.10,+ 0.50,+2.43%,"-7,584"
46,2369 菱生,35.50,-1.15,-3.14%,"-6,844"
47,3048 益登,69.20,-6.00,-7.98%,"-6,650"
48,00935 野村臺灣新科技50,62.65,+ 0.65,+1.05%,"-6,510"
49,00929 復華台灣科技優息,30.98,+ 0.04,+0.13%,"-6,065"
50,4906 正文,51.80,-1.10,-2.08%,"-5,877"
