Rank,Stock,Price,Change,ChangePercent,NetSell
1,00403A主動統一升級50,10.79,+ 0.09,+0.84%,"-1,160,705"
2,0050 元大台灣50,107.60,+ 1.90,+1.80%,"-328,820"
3,2880 華南金,36.40,+ 2.35,+6.90%,"-285,102"
4,2892 第一金,29.00,+ 0.85,+3.02%,"-260,923"
5,2618 長榮航,37.70,+ 0.45,+1.21%,"-237,132"
6,2002 中鋼,19.40,+ 0.45,+2.37%,"-202,521"
7,2801 彰銀,21.10,+ 0.50,+2.43%,"-168,024"
8,2382 廣達,417.00,+ 16.50,+4.12%,"-160,936"
9,00991A主動復華未來50,19.99,+ 0.18,+0.91%,"-153,202"
10,00981A主動統一台股增長,31.81,+ 0.48,+1.53%,"-146,692"
11,1101 台泥,24.85,+ 0.20,+0.81%,"-109,944"
12,9904 寶成,26.50,+ 0.40,+1.53%,"-83,764"
13,2633 台灣高鐵,25.75,+ 0.45,+1.78%,"-79,931"
14,8150 南茂,95.80,-2.80,-2.84%,"-78,998"
15,1102 亞泥,34.20,+ 0.40,+1.18%,"-76,388"
16,2330 台積電,"2,425.00",+ 45.00,+1.89%,"-66,496"
17,00990A主動元大AI新經濟,21.11,+ 0.94,+4.66%,"-64,404"
18,2883 凱基金,25.70,+ 2.30,+9.83%,"-62,462"
19,5880 合庫金,23.40,+ 0.35,+1.52%,"-59,971"
20,00988A主動統一全球創新,22.66,+ 0.96,+4.42%,"-59,535"
21,2812 台中銀,19.25,+ 0.55,+2.94%,"-58,646"
22,2105 正新,34.55,+ 0.55,+1.62%,"-56,325"
23,4938 和碩,98.50,+ 0.70,+0.72%,"-55,432"
24,2912 統一超,239.00,+ 6.00,+2.58%,"-48,021"
25,2834 臺企銀,16.85,+ 0.55,+3.37%,"-47,099"
26,2412 中華電,141.00,-1.00,-0.70%,"-42,183"
27,5871 中租-KY,117.50,+ 3.00,+2.62%,"-41,976"
28,2327 國巨*,820.00,-26.00,-3.07%,"-40,338"
29,1504 東元,83.00,+ 7.50,+9.93%,"-35,673"
30,009816凱基台灣TOP50,15.74,+ 0.31,+2.01%,"-33,175"
31,2515 中工,13.30,+ 0.55,+4.31%,"-31,217"
32,8112 至上,94.40,-0.10,-0.11%,"-29,003"
33,6278 台表科,209.00,-5.50,-2.56%,"-27,969"
34,2603 長榮,237.00,+ 6.00,+2.60%,"-27,783"
35,9907 統一實,16.75,+ 0.40,+2.45%,"-27,527"
36,4904 遠傳,100.50,+ 1.00,+1.01%,"-26,475"
37,2208 台船,18.20,+ 0.25,+1.39%,"-26,458"
38,9945 潤泰新,24.55,+ 0.65,+2.72%,"-25,676"
39,3711 日月光投控,618.00,+ 28.00,+4.75%,"-24,750"
40,4915 致伸,78.00,+ 1.00,+1.30%,"-24,624"
41,2441 超豐,137.00,+ 3.00,+2.24%,"-24,425"
42,1301 台塑,52.00,+ 1.10,+2.16%,"-24,104"
43,1216 統一,73.30,-0.90,-1.21%,"-23,913"
44,2313 華通,266.50,-4.00,-1.48%,"-23,899"
45,2371 大同,31.65,+ 1.80,+6.03%,"-23,636"
46,2886 兆豐金,41.65,-0.05,-0.12%,"-22,179"
47,2845 遠東銀,12.35,+ 0.25,+2.07%,"-21,837"
48,2347 聯強,91.10,-0.40,-0.44%,"-21,035"
49,4960 誠美材,33.90,+ 1.45,+4.47%,"-21,029"
50,00712 復華富時不動產,8.76,0.00,0.00%,"-20,885"
