Rank,Stock,Price,Change,ChangePercent,Buy,Sell,NetBuy
1,2454 聯發科,"2,090.00",+ 190.00,+10.00%,"39,679,045","22,429,056","17,249,989"
2,4919 新唐,144.50,+ 3.00,+2.12%,"12,083,886","582,179","11,501,706"
3,8046 南電,789.00,-7.00,-0.88%,"24,185,282","13,457,909","10,727,373"
4,4958 臻鼎-KY,315.00,+ 5.00,+1.61%,"24,426,703","14,103,954","10,322,748"
5,2408 南亞科,220.00,+ 13.00,+6.28%,"24,035,675","13,987,097","10,048,577"
6,3661 世芯-KY,"3,985.00",+ 360.00,+9.93%,"18,671,248","10,851,559","7,819,689"
7,6669 緯穎,"4,220.00",+ 240.00,+6.03%,"15,747,602","9,131,375","6,616,226"
8,1711 永光,54.20,+ 1.50,+2.85%,"6,667,743","515,615","6,152,127"
9,6415 矽力*-KY,394.00,+ 28.50,+7.80%,"7,790,927","2,107,127","5,683,799"
10,2345 智邦,"2,190.00",+ 185.00,+9.23%,"13,739,829","8,166,168","5,573,660"
11,2317 鴻海,211.00,+ 3.50,+1.69%,"12,522,747","8,159,546","4,363,200"
12,6789 采鈺,504.00,+ 31.00,+6.55%,"4,449,707","961,549","3,488,158"
13,3189 景碩,473.50,+ 43.00,+9.99%,"17,590,092","14,213,273","3,376,818"
14,2313 華通,254.50,+ 4.00,+1.60%,"21,498,404","18,573,646","2,924,758"
15,2344 華邦電,91.10,+ 5.40,+6.30%,"16,870,561","14,070,617","2,799,944"
16,2301 光寶科,171.50,+ 6.50,+3.94%,"7,744,773","5,032,540","2,712,233"
17,3653 健策,"5,370.00",+ 350.00,+6.97%,"8,650,272","6,105,600","2,544,672"
18,6442 光聖,"2,340.00",-30.00,-1.27%,"13,144,226","10,629,280","2,514,945"
19,2376 技嘉,288.50,+ 9.50,+3.41%,"4,554,897","2,273,993","2,280,904"
20,8028 昇陽半導體,209.50,+ 19.00,+9.97%,"5,608,002","3,360,157","2,247,845"
21,8271 宇瞻,216.50,+ 19.50,+9.90%,"2,768,160","529,917","2,238,242"
22,2451 創見,265.50,+ 15.00,+5.99%,"3,531,806","1,550,135","1,981,670"
23,3044 健鼎,444.00,+ 30.50,+7.38%,"4,027,063","2,206,331","1,820,731"
24,2382 廣達,340.00,+ 11.00,+3.34%,"8,329,756","6,515,996","1,813,760"
25,2367 燿華,70.30,+ 4.70,+7.16%,"5,890,498","4,088,623","1,801,874"
26,2441 超豐,94.30,+ 4.00,+4.43%,"2,534,042","766,822","1,767,220"
27,5284 jpp-KY,380.00,+ 30.00,+8.57%,"2,401,269","645,494","1,755,775"
28,3017 奇鋐,"2,565.00",+ 75.00,+3.01%,"10,423,384","8,767,850","1,655,534"
29,6196 帆宣,397.50,+ 3.00,+0.76%,"2,671,553","1,158,604","1,512,948"
30,3035 智原,180.00,+ 5.50,+3.15%,"4,022,924","2,519,630","1,503,293"
31,2351 順德,151.00,+ 9.50,+6.71%,"2,264,370","774,302","1,490,067"
32,3231 緯創,144.50,+ 4.00,+2.85%,"12,430,905","10,958,508","1,472,396"
33,3376 新日興,224.00,+ 20.00,+9.80%,"3,019,739","1,586,626","1,433,113"
34,4967 十銓,238.50,+ 21.50,+9.91%,"2,619,862","1,195,015","1,424,846"
35,3138 耀登,198.00,+ 18.00,+10.00%,"1,842,153","439,073","1,403,080"
36,00992A主動群益科技創新,16.87,+ 0.08,+0.48%,"7,130,041","5,879,798","1,250,243"
37,4956 光鋐,53.20,-1.50,-2.74%,"1,320,144","76,150","1,243,994"
38,4906 正文,40.35,+ 1.85,+4.81%,"2,498,491","1,337,355","1,161,135"
39,3006 晶豪科,161.00,+ 10.50,+6.98%,"2,789,629","1,707,311","1,082,317"
40,6805 富世達,"1,915.00",+ 20.00,+1.06%,"4,043,657","3,038,433","1,005,223"
41,8150 南茂,74.10,+ 6.70,+9.94%,"3,980,429","2,980,249","1,000,179"
42,6257 矽格,187.00,+ 7.50,+4.18%,"3,577,453","2,598,828","978,624"
43,6285 啟碁,249.50,-2.00,-0.80%,"9,340,031","8,439,802","900,229"
44,3645 達邁,109.50,-5.00,-4.37%,"2,971,864","2,147,049","824,814"
45,2436 偉詮電,75.10,+ 6.80,+9.96%,"1,968,415","1,188,755","779,660"
46,2484 希華,49.25,+ 2.65,+5.69%,"2,039,206","1,271,667","767,538"
47,6770 力積電,54.00,+ 2.60,+5.06%,"5,873,442","5,140,319","733,122"
48,6239 力成,213.00,+ 5.00,+2.40%,"2,788,850","2,058,837","730,012"
49,2402 毅嘉,77.10,-0.20,-0.26%,"5,663,166","4,953,797","709,369"
50,2327 國巨*,323.00,+ 3.50,+1.10%,"10,858,784","10,181,844","676,940"
