Rank,Stock,Price,Change,ChangePercent,NetSell
1,2883 凱基金,27.60,+ 0.20,+0.73%,"-101,851"
2,00403A主動統一升級50,10.41,-0.18,-1.70%,"-93,217"
3,00981A主動統一台股增長,30.81,-0.55,-1.75%,"-76,728"
4,0050 元大台灣50,104.15,-1.95,-1.84%,"-62,926"
5,2409 友達,27.10,-2.15,-7.35%,"-34,522"
6,2344 華邦電,162.00,-17.50,-9.75%,"-33,721"
7,6282 康舒,63.80,-7.00,-9.89%,"-31,907"
8,2382 廣達,390.50,-13.50,-3.34%,"-21,411"
9,009816凱基台灣TOP50,15.19,-0.29,-1.87%,"-21,293"
10,1402 遠東新,27.55,0.00,0.00%,"-20,648"
11,00991A主動復華未來50,19.22,-0.39,-1.99%,"-19,606"
12,00631L元大台灣50正2,36.67,-1.63,-4.26%,"-19,031"
13,2105 正新,34.10,-0.45,-1.30%,"-18,264"
14,2330 台積電,"2,365.00",-20.00,-0.84%,"-17,840"
15,00988A主動統一全球創新,21.46,-0.63,-2.85%,"-17,431"
16,009820元大納斯達克精選,10.45,-0.10,-0.95%,"-16,276"
17,2880 華南金,34.80,-2.90,-7.69%,"-15,823"
18,4938 和碩,96.90,-0.10,-0.10%,"-14,168"
19,2891 中信金,66.60,-1.40,-2.06%,"-13,432"
20,2542 興富發,43.00,-0.10,-0.23%,"-12,786"
21,00992A主動群益科技創新,17.93,-0.27,-1.48%,"-12,782"
22,2855 統一證,59.10,+ 3.60,+6.49%,"-12,609"
23,2406 國碩,34.65,-3.85,-10.00%,"-12,530"
24,2618 長榮航,37.70,-0.20,-0.53%,"-12,124"
25,2313 華通,259.00,-6.50,-2.45%,"-11,629"
26,00999A主動野村臺灣高息,11.19,-0.20,-1.76%,"-11,518"
27,2408 南亞科,360.00,-35.00,-8.86%,"-11,331"
28,9105 泰金寶-DR,11.45,-1.25,-9.84%,"-10,763"
29,8112 至上,92.60,-3.00,-3.14%,"-10,566"
30,00400A主動國泰動能高息,14.55,-0.31,-2.09%,"-9,991"
31,1504 東元,78.40,-8.60,-9.89%,"-9,543"
32,2347 聯強,88.30,-1.60,-1.78%,"-9,463"
33,2892 第一金,29.30,-0.25,-0.85%,"-9,225"
34,1802 台玻,67.60,-1.30,-1.89%,"-8,981"
35,2886 兆豐金,41.95,-0.15,-0.36%,"-8,312"
36,00990A主動元大AI新經濟,20.25,-0.45,-2.17%,"-8,190"
37,1101 台泥,24.40,-0.05,-0.20%,"-7,828"
38,5871 中租-KY,118.00,-1.00,-0.84%,"-7,552"
39,3049 精金,15.90,-1.40,-8.09%,"-7,204"
40,00982A主動群益台灣強棒,23.74,-0.31,-1.29%,"-7,141"
41,2610 華航,19.95,+ 0.05,+0.25%,"-6,727"
42,2449 京元電子,309.50,-12.50,-3.88%,"-6,619"
43,9904 寶成,26.45,+ 0.05,+0.19%,"-6,229"
44,0052 富邦科技,61.00,-1.30,-2.09%,"-6,187"
45,1102 亞泥,34.40,+ 0.05,+0.15%,"-6,086"
46,2812 台中銀,19.30,-0.10,-0.52%,"-5,338"
47,2371 大同,30.30,-1.75,-5.46%,"-5,323"
48,9910 豐泰,76.90,-3.60,-4.47%,"-5,196"
49,2412 中華電,141.00,-0.50,-0.35%,"-5,149"
50,1210 大成,54.40,+ 0.20,+0.37%,"-5,108"
