名次,股票名稱,收盤價,漲跌,漲跌幅,10日買進張數,10日賣出張數,10日買賣超張數
1,00712 復華富時不動產,9.30,0.03,0.32%,"217,772","98,655","119,116"
2,3481 群創,14.35,0.15,1.06%,"253,759","154,802","98,957"
3,2303 聯電,48.00,0.50,1.05%,"214,163","131,575","82,587"
4,00878 國泰永續高股息,21.12,0.07,0.33%,"170,234","96,286","73,948"
5,2881 富邦金,94.70,1.60,1.72%,"252,861","209,521","43,339"
6,3037 欣興,198.50,2.00,1.02%,"113,391","70,281","43,109"
7,2882 國泰金,69.00,1.40,2.07%,"159,125","116,420","42,704"
8,2867 三商壽,7.26,-0.03,-0.41%,"122,225","83,257","38,967"
9,2834 臺企銀,16.00,0.15,0.95%,"81,303","45,640","35,663"
10,2889 國票金,17.25,0.10,0.58%,"70,266","36,816","33,449"
11,2880 華南金,30.75,0.50,1.65%,"93,389","60,352","33,037"
12,2605 新興,31.55,2.85,9.93%,"60,957","27,931","33,025"
13,2891 中信金,44.35,0.65,1.49%,"192,626","161,340","31,285"
14,00680L元大美債20正2,7.45,-0.03,-0.40%,"196,705","168,466","28,238"
15,2884 玉山金,30.80,0.40,1.32%,"161,718","134,165","27,552"
16,2027 大成鋼,38.85,0.30,0.78%,"73,976","50,260","23,715"
17,2883 凱基金,16.00,0.15,0.95%,"148,163","124,489","23,673"
18,00891 中信關鍵半導體,19.17,-0.04,-0.21%,"66,137","44,993","21,143"
19,00940 元大台灣價值高息,9.29,0.00,0.00%,"90,644","70,529","20,114"
20,00941 中信上游半導體,17.29,0.19,1.11%,"48,511","28,640","19,870"
21,9904 寶成,31.40,0.00,0.00%,"49,688","30,438","19,249"
22,2382 廣達,294.50,2.00,0.68%,"56,945","39,433","17,512"
23,2885 元大金,37.30,0.75,2.05%,"157,868","140,956","16,912"
24,2890 永豐金,27.35,0.10,0.37%,"148,174","131,279","16,895"
25,00885 富邦越南,17.18,-0.02,-0.12%,"35,745","18,922","16,823"
26,2606 裕民,69.60,6.30,9.95%,"49,487","32,945","16,542"
27,00882 中信中國高股息,15.46,-0.05,-0.32%,"53,375","39,145","14,229"
28,1303 南亞,63.40,-4.30,-6.35%,"235,938","222,082","13,856"
29,5608 四維航,20.75,1.85,9.79%,"27,479","14,162","13,317"
30,2454 聯發科,"1,405.00",5.00,0.36%,"43,423","31,027","12,396"
31,00915 凱基優選高股息30,22.33,0.23,1.04%,"23,193","11,250","11,943"
32,2344 華邦電,57.80,2.00,3.58%,"238,271","227,315","10,955"
33,3231 緯創,146.00,1.00,0.69%,"98,102","87,665","10,437"
34,2009 第一銅,47.75,4.30,9.90%,"19,983","9,706","10,277"
35,2006 東和鋼鐵,72.00,-1.50,-2.04%,"24,830","14,698","10,132"
36,6153 嘉聯益,16.35,0.10,0.62%,"19,828","10,119","9,708"
37,8039 台虹,78.00,-1.30,-1.64%,"53,276","43,661","9,615"
38,00713 元大台灣高息低波,50.45,0.10,0.20%,"26,814","17,431","9,382"
39,2316 楠梓電,103.00,-1.50,-1.44%,"36,734","27,370","9,363"
40,9933 中鼎,34.20,-1.05,-2.98%,"26,956","17,929","9,026"
41,2312 金寶,22.80,0.05,0.22%,"60,380","51,712","8,668"
42,00939 統一台灣高息動能,14.10,0.08,0.57%,"31,064","22,942","8,122"
43,2356 英業達,46.05,0.95,2.11%,"63,160","55,132","8,027"
44,009802富邦旗艦50,10.95,0.05,0.46%,"23,558","16,248","7,310"
45,3535 晶彩科,90.90,-0.40,-0.44%,"18,405","11,330","7,074"
46,3189 景碩,148.00,0.00,0.00%,"34,184","27,438","6,745"
47,6116 彩晶,7.40,0.04,0.54%,"22,564","16,081","6,482"
48,2002 中鋼,18.90,-0.15,-0.79%,"108,263","102,046","6,216"
49,00929 復華台灣科技優息,17.75,0.00,0.00%,"54,942","48,863","6,079"
50,1313 聯成,11.45,0.15,1.33%,"21,409","15,331","6,077"
