Rank,Stock,Price,Change,ChangePercent,NetSell
1,2892 第一金,27.70,+ 0.10,+0.36%,"-200,834"
2,2887 台新新光金,23.60,+ 0.30,+1.29%,"-109,343"
3,3481 群創,45.70,-3.40,-6.92%,"-96,925"
4,2880 華南金,30.15,-0.40,-1.31%,"-77,027"
5,2883 凱基金,21.55,-0.10,-0.46%,"-59,458"
6,2618 長榮航,35.20,-0.25,-0.71%,"-48,977"
7,2801 彰銀,20.15,-0.05,-0.25%,"-42,118"
8,2886 兆豐金,39.40,-0.10,-0.25%,"-39,345"
9,1101 台泥,23.95,-0.35,-1.44%,"-38,286"
10,2382 廣達,316.50,0.00,0.00%,"-38,122"
11,3045 台灣大,110.50,-1.00,-0.90%,"-34,127"
12,1216 統一,70.80,-0.40,-0.56%,"-33,800"
13,1102 亞泥,33.25,-0.35,-1.04%,"-33,323"
14,2890 永豐金,29.55,+ 0.60,+2.07%,"-28,973"
15,2412 中華電,136.00,-0.50,-0.37%,"-28,041"
16,2884 玉山金,31.15,+ 0.25,+0.81%,"-27,141"
17,2633 台灣高鐵,25.05,-0.25,-0.99%,"-26,634"
18,2002 中鋼,19.50,-0.45,-2.26%,"-24,839"
19,00990A主動元大AI新經濟,19.38,-0.12,-0.62%,"-23,664"
20,8150 南茂,85.40,-1.40,-1.61%,"-22,866"
21,2834 臺企銀,16.00,+ 0.10,+0.63%,"-22,340"
22,5880 合庫金,22.70,+ 0.05,+0.22%,"-22,177"
23,9904 寶成,25.55,-0.10,-0.39%,"-21,692"
24,2356 英業達,62.60,-2.80,-4.28%,"-16,236"
25,2912 統一超,209.50,-3.00,-1.41%,"-15,719"
26,1301 台塑,44.75,-0.05,-0.11%,"-15,411"
27,2515 中工,12.85,-0.30,-2.28%,"-15,110"
28,4904 遠傳,94.00,-0.20,-0.21%,"-14,349"
29,00997A主動群益美國增長,13.03,-0.05,-0.38%,"-13,773"
30,00988A主動統一全球創新,21.92,-0.16,-0.72%,"-13,097"
31,5871 中租-KY,107.00,-2.00,-1.83%,"-11,401"
32,2105 正新,31.60,-0.35,-1.10%,"-11,259"
33,5876 上海商銀,39.45,-0.30,-0.75%,"-11,143"
34,2355 敬鵬,65.10,-1.90,-2.84%,"-9,902"
35,2402 毅嘉,70.10,+ 2.30,+3.39%,"-9,780"
36,1326 台化,44.50,-0.45,-1.00%,"-9,119"
37,6505 台塑化,49.30,-0.20,-0.40%,"-8,451"
38,9945 潤泰新,23.65,+ 0.70,+3.05%,"-7,899"
39,2327 國巨*,661.00,-30.00,-4.34%,"-7,493"
40,2867 三商壽,7.58,+ 0.08,+1.07%,"-7,167"
41,2486 一詮,289.00,-8.50,-2.86%,"-7,109"
42,4958 臻鼎-KY,540.00,+ 11.00,+2.08%,"-6,877"
43,2388 威盛,78.00,-6.20,-7.36%,"-6,355"
44,4938 和碩,81.40,+ 0.20,+0.25%,"-5,790"
45,2401 凌陽,30.10,+ 0.65,+2.21%,"-5,562"
46,8112 至上,83.30,-0.10,-0.12%,"-5,537"
47,3702 大聯大,121.50,-2.00,-1.62%,"-5,479"
48,2548 華固,121.00,-1.00,-0.82%,"-5,352"
49,9907 統一實,15.85,-0.10,-0.63%,"-5,308"
50,00753L中信中國50正2,9.99,+ 0.09,+0.91%,"-5,276"
